date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-23,0.12053258103430821,0.1396141730331221,0.0,40.0,6.0,1.0,1.0,0.11975464521760817,0.0,0.0,0.0,0.0
2020-03-24,0.14095310657969926,0.1706395448182603,0.0,42.0,2.0,1.0,0.0,0.1400579872802095,0.0,0.0,0.0,0.0
2020-03-25,0.17160105500328618,0.19854897753642464,0.0,74.0,32.0,1.0,0.0,0.1704935154009228,0.0,0.0,0.0,0.0
2020-03-26,0.17160105500328618,0.19854897753642464,0.0,80.0,6.0,2.0,1.0,0.1704935154009228,0.0,0.0,0.0,0.0
2020-03-27,0.17160105500328618,0.19854897753642464,0.0,91.0,11.0,2.0,0.0,0.1704935154009228,0.0,0.0,0.0,0.0
2020-03-28,0.18999668809963843,0.22645841025458893,0.0,106.0,15.0,2.0,0.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-03-29,0.18999668809963843,0.22645841025458893,0.0,114.0,8.0,4.0,2.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-03-30,0.18999668809963843,0.22645841025458893,0.0,114.0,0.0,4.0,0.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-03-31,0.18999668809963843,0.22645841025458893,0.0,166.0,52.0,4.0,0.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-04-01,0.18999668809963843,0.22645841025458893,0.0,192.0,26.0,4.0,0.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-04-02,0.18999668809963843,0.22645841025458893,0.0,235.0,43.0,4.0,0.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-04-03,0.18999668809963843,0.22645841025458893,0.0,269.0,34.0,5.0,1.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-04-04,0.18999668809963843,0.22645841025458893,0.0,270.0,1.0,5.0,0.0,0.18877042025190172,0.0,0.0,0.0,0.0
2020-04-05,0.21450131875410772,0.26368215545252477,0.0,299.0,29.0,7.0,2.0,0.21312663673774784,0.0,0.0,0.0,0.0
2020-04-06,0.21450131875410772,0.26368215545252477,0.0,337.0,38.0,7.0,0.0,0.21312663673774784,0.0,0.0,0.0,0.0
2020-04-07,0.21450131875410772,0.26368215545252477,0.0,367.0,30.0,11.0,4.0,0.21312663673774784,0.0,0.0,0.0,0.0
2020-04-08,0.21450131875410772,0.26368215545252477,0.0,423.0,56.0,14.0,3.0,0.21312663673774784,0.0,0.0,0.0,0.0
2020-04-09,0.21450131875410772,0.26368215545252477,0.0,444.0,21.0,15.0,1.0,0.21312663673774784,0.0,0.0,0.0,0.0
2020-04-10,0.21450131875410772,0.26368215545252477,0.0,521.0,77.0,15.0,0.0,0.21312663673774784,0.0,0.0,0.0,0.0
2020-04-11,0.21450131875410772,0.26368215545252477,0.0,521.0,0.0,15.0,0.0,0.21312663673774784,0.0,0.0,0.0,0.0
2020-04-12,0.2267536340813423,0.28231078041206786,0.0,555.0,34.0,18.0,3.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-13,0.2267536340813423,0.28231078041206786,0.0,607.0,52.0,19.0,1.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-14,0.2267536340813423,0.28231078041206786,0.0,665.0,58.0,22.0,3.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-15,0.2267536340813423,0.28231078041206786,0.0,770.0,105.0,25.0,3.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-16,0.2267536340813423,0.28231078041206786,0.0,794.0,24.0,29.0,4.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-17,0.2267536340813423,0.28231078041206786,0.0,845.0,51.0,30.0,1.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-18,0.2267536340813423,0.28231078041206786,0.0,908.0,63.0,30.0,0.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-19,0.2267536340813423,0.28231078041206786,0.0,933.0,25.0,30.0,0.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-20,0.2267536340813423,0.28231078041206786,0.0,996.0,63.0,33.0,3.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-21,0.2267536340813423,0.28231078041206786,0.0,1026.0,30.0,36.0,3.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-22,0.2267536340813423,0.28231078041206786,0.0,1092.0,66.0,36.0,0.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-23,0.2267536340813423,0.28231078041206786,0.0,1176.0,84.0,40.0,4.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-24,0.2267536340813423,0.28231078041206786,0.0,1226.0,50.0,40.0,0.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-25,0.2267536340813423,0.28231078041206786,0.0,1330.0,104.0,43.0,3.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-26,0.2267536340813423,0.28231078041206786,0.0,1463.0,133.0,49.0,6.0,0.22528526000748222,0.0,0.0,0.0,0.0
2020-04-27,0.23289695185045997,0.28231078041206786,0.0,1531.0,68.0,50.0,1.0,0.2314035415887268,0.0,0.0,0.0,0.0
2020-04-28,0.23289695185045997,0.28231078041206786,0.0,1703.0,172.0,60.0,10.0,0.2314035415887268,0.0,0.0,0.0,0.0
2020-04-29,0.23289695185045997,0.28231078041206786,0.0,1827.0,124.0,60.0,0.0,0.2314035415887268,0.0,0.0,0.0,0.0
2020-04-30,0.23289695185045997,0.28231078041206786,0.0,1827.0,0.0,60.0,0.0,0.2314035415887268,0.0,0.0,0.0,0.0
2020-05-01,0.23289695185045997,0.28231078041206786,3.225806451612904,2171.0,344.0,64.0,4.0,0.24356216485846116,0.0,0.0,0.0,0.0
2020-05-02,0.23289695185045997,0.28231078041206786,3.225806451612904,2469.0,298.0,72.0,8.0,0.24356216485846116,0.0,0.0,0.0,0.0
2020-05-03,0.23289695185045997,0.28231078041206786,3.225806451612904,2469.0,0.0,72.0,0.0,0.24356216485846116,0.0,0.0,0.0,0.0
2020-05-04,0.23289695185045997,0.28231078041206786,3.225806451612904,2469.0,0.0,72.0,0.0,0.24356216485846116,0.0,0.0,0.0,0.0
2020-05-05,0.23289695185045997,0.28231078041206786,3.225806451612904,2469.0,0.0,72.0,0.0,0.24356216485846116,0.0,0.0,0.0,0.0
2020-05-06,0.23289695185045997,0.28231078041206786,3.225806451612904,3224.0,755.0,95.0,23.0,0.24356216485846116,0.0,0.0,0.0,0.0
2020-05-07,0.23289695185045997,0.28231078041206786,3.225806451612904,3392.0,168.0,104.0,9.0,0.24356216485846116,0.0,0.0,0.0,0.0
