date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-29,0.14078422105726604,0.21607808570342635,0.0,81.0,7.0,1.0,1.0,0.12733187571942398,0.0,0.0,0.0,0.0
2020-03-30,0.14078422105726604,0.21607808570342635,0.0,97.0,16.0,4.0,3.0,0.12733187571942398,0.0,0.0,0.0,0.0
2020-03-31,0.14466837265548596,0.22250127944011935,0.17167381974248927,107.0,10.0,6.0,2.0,0.1448492607708367,0.0,0.0,0.0,0.0
2020-04-01,0.14466837265548596,0.22250127944011935,0.17167381974248927,115.0,8.0,7.0,1.0,0.1448492607708367,0.0,0.0,0.0,0.0
2020-04-02,0.14466837265548596,0.22250127944011935,0.17167381974248927,123.0,8.0,8.0,1.0,0.1448492607708367,0.0,0.0,0.0,0.0
2020-04-03,0.14466837265548596,0.22250127944011935,0.17167381974248927,132.0,9.0,9.0,1.0,0.1448492607708367,0.0,0.0,0.0,0.0
2020-04-04,0.14466837265548596,0.22250127944011935,0.17167381974248927,139.0,7.0,10.0,1.0,0.1448492607708367,0.0,0.0,0.0,0.0
2020-04-05,0.14466837265548596,0.22250127944011935,0.17167381974248927,157.0,18.0,10.0,0.0,0.1448492607708367,0.0,0.0,0.0,0.0
2020-04-06,0.14466837265548596,0.22250127944011935,0.17167381974248927,183.0,26.0,11.0,1.0,0.1448492607708367,0.0,0.0,0.0,0.0
2020-04-07,0.1498327753391526,0.22250127944011935,0.17167381974248927,194.0,11.0,14.0,3.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-08,0.1498327753391526,0.22250127944011935,0.17167381974248927,210.0,16.0,15.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-09,0.1498327753391526,0.22250127944011935,0.17167381974248927,264.0,54.0,18.0,3.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-10,0.1498327753391526,0.22250127944011935,0.17167381974248927,268.0,4.0,19.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-11,0.1498327753391526,0.22250127944011935,0.17167381974248927,275.0,7.0,20.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-12,0.1498327753391526,0.22250127944011935,0.17167381974248927,300.0,25.0,24.0,4.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-13,0.1498327753391526,0.22250127944011935,0.17167381974248927,330.0,30.0,27.0,3.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-14,0.1498327753391526,0.22250127944011935,0.17167381974248927,354.0,24.0,28.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-15,0.1498327753391526,0.22250127944011935,0.17167381974248927,397.0,43.0,28.0,0.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-16,0.1498327753391526,0.22250127944011935,0.17167381974248927,441.0,44.0,29.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-17,0.1498327753391526,0.22250127944011935,0.17167381974248927,465.0,24.0,31.0,2.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-18,0.1498327753391526,0.22250127944011935,0.17167381974248927,493.0,28.0,31.0,0.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-19,0.1498327753391526,0.22250127944011935,0.17167381974248927,520.0,27.0,32.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-20,0.1498327753391526,0.22250127944011935,0.17167381974248927,564.0,44.0,33.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-21,0.1498327753391526,0.22250127944011935,0.17167381974248927,598.0,34.0,34.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-22,0.1498327753391526,0.22250127944011935,0.17167381974248927,609.0,11.0,37.0,3.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-23,0.1498327753391526,0.22250127944011935,0.17167381974248927,703.0,94.0,43.0,6.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-24,0.1498327753391526,0.22250127944011935,0.17167381974248927,807.0,104.0,44.0,1.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-25,0.1498327753391526,0.22250127944011935,0.17167381974248927,866.0,59.0,46.0,2.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-26,0.1498327753391526,0.22250127944011935,0.17167381974248927,950.0,84.0,50.0,4.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-27,0.1498327753391526,0.22250127944011935,0.17167381974248927,1014.0,64.0,53.0,3.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-28,0.1498327753391526,0.22250127944011935,0.17167381974248927,1053.0,39.0,55.0,2.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-29,0.1498327753391526,0.22250127944011935,0.17167381974248927,1110.0,57.0,59.0,4.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-04-30,0.1498327753391526,0.22250127944011935,0.17167381974248927,1167.0,57.0,62.0,3.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-05-01,0.15369522776643274,0.22250127944011935,0.17167381974248927,1229.0,62.0,66.0,4.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-02,0.15369522776643274,0.22250127944011935,0.17167381974248927,1470.0,241.0,71.0,5.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-03,0.15369522776643274,0.22250127944011935,0.17167381974248927,1594.0,124.0,76.0,5.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-04,0.15369522776643274,0.22250127944011935,0.17167381974248927,1681.0,87.0,82.0,6.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-05,0.15369522776643274,0.22250127944011935,0.17167381974248927,1802.0,121.0,86.0,4.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-06,0.15369522776643274,0.22250127944011935,0.17167381974248927,1886.0,84.0,91.0,5.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-07,0.15369522776643274,0.22250127944011935,0.17167381974248927,2081.0,195.0,102.0,11.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-08,0.15369522776643274,0.22250127944011935,0.17167381974248927,2266.0,185.0,106.0,4.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-09,0.15369522776643274,0.22250127944011935,0.17167381974248927,2437.0,171.0,114.0,8.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-10,0.15369522776643274,0.22250127944011935,0.17167381974248927,2556.0,119.0,118.0,4.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-11,0.15369522776643274,0.22250127944011935,0.17167381974248927,2831.0,275.0,122.0,4.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-12,0.15369522776643274,0.22250127944011935,0.17167381974248927,2964.0,133.0,128.0,6.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-13,0.15369522776643274,0.22250127944011935,0.17167381974248927,3148.0,184.0,142.0,14.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-14,0.15369522776643274,0.22250127944011935,0.17167381974248927,3372.0,224.0,152.0,10.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-15,0.15369522776643274,0.22250127944011935,0.17167381974248927,3577.0,205.0,164.0,12.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-16,0.15369522776643274,0.22250127944011935,0.17167381974248927,3826.0,249.0,165.0,1.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-17,0.15369522776643274,0.22250127944011935,0.17167381974248927,4088.0,262.0,169.0,4.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-18,0.15369522776643274,0.22250127944011935,0.17167381974248927,4263.0,175.0,174.0,5.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-19,0.15369522776643274,0.22250127944011935,0.17167381974248927,4481.0,218.0,189.0,15.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-20,0.15369522776643274,0.22250127944011935,0.17167381974248927,4919.0,438.0,199.0,10.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-21,0.15369522776643274,0.22250127944011935,0.17167381974248927,5187.0,268.0,215.0,16.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-22,0.15369522776643274,0.22250127944011935,0.17167381974248927,5579.0,392.0,230.0,15.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-23,0.15369522776643274,0.22250127944011935,0.17167381974248927,5915.0,336.0,240.0,10.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-24,0.15369522776643274,0.22250127944011935,0.17167381974248927,6263.0,348.0,250.0,10.0,0.15303600282431387,0.0,0.0,0.0,0.0
2020-05-25,0.1498327753391526,0.21607808570342635,0.17167381974248927,6660.0,397.0,261.0,11.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-05-26,0.1498327753391526,0.21607808570342635,0.17167381974248927,7136.0,476.0,274.0,13.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-05-27,0.1498327753391526,0.21607808570342635,0.17167381974248927,7768.0,632.0,280.0,6.0,0.149537011700088,0.0,0.0,0.0,0.0
2020-05-28,0.1498327753391526,0.21607808570342635,0.17167381974248927,8387.0,619.0,293.0,13.0,0.149537011700088,0.0,0.0,0.0,0.0
