date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-04-28,0.15741973339932824,0.23572553157579162,0.20408163265306123,52.0,6.0,2.0,2.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-04-29,0.15741973339932824,0.23572553157579162,0.20408163265306123,52.0,0.0,2.0,0.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-04-30,0.15741973339932824,0.23572553157579162,0.20408163265306123,73.0,21.0,5.0,3.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-05-01,0.15741973339932824,0.23572553157579162,0.20408163265306123,73.0,0.0,5.0,0.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-05-02,0.15741973339932824,0.23572553157579162,0.20408163265306123,117.0,44.0,10.0,5.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-05-03,0.15741973339932824,0.23572553157579162,0.20408163265306123,117.0,0.0,10.0,0.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-05-04,0.15741973339932824,0.23572553157579162,0.20408163265306123,117.0,0.0,10.0,0.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-05-05,0.15741973339932824,0.23572553157579162,0.20408163265306123,170.0,53.0,17.0,7.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-05-06,0.15741973339932824,0.23572553157579162,0.20408163265306123,170.0,0.0,17.0,0.0,0.15979744776487673,0.0,0.0,0.0,0.0
2020-05-07,0.170766731397528,0.23572553157579162,0.20408163265306123,253.0,83.0,27.0,10.0,0.1719915582435177,0.0,0.0,0.0,0.0
2020-05-08,0.170766731397528,0.23572553157579162,0.20408163265306123,260.0,7.0,28.0,1.0,0.1719915582435177,0.0,0.0,0.0,0.0
2020-05-09,0.170766731397528,0.23572553157579162,0.20408163265306123,322.0,62.0,31.0,3.0,0.1719915582435177,0.0,0.0,0.0,0.0
2020-05-10,0.170766731397528,0.23572553157579162,0.20408163265306123,322.0,0.0,31.0,0.0,0.1719915582435177,0.0,0.0,0.0,0.0
