date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-01-22,0.0444179037304007,0.03878605953476423,0.0,547.0,547.0,17.0,17.0,0.038931455192525964,0.0,0.0,0.0,0.0
2020-01-23,0.06151054455201854,0.06600537831399247,0.0,639.0,92.0,18.0,1.0,0.05391172709452452,0.0,0.0,0.0,0.0
2020-01-24,0.06151054455201854,0.06600537831399247,0.0,916.0,277.0,26.0,8.0,0.05391172709452452,0.0,0.0,0.0,0.0
2020-01-25,0.06406511219790266,0.07009121558214876,0.0,1399.0,483.0,42.0,16.0,0.05615445494165673,0.0,0.0,0.0,0.0
2020-01-26,0.08457341088311836,0.10274851921467855,0.0,2062.0,663.0,56.0,14.0,0.07412503063983157,0.0,0.0,0.0,0.0
2020-01-27,0.08457341088311836,0.10274851921467855,0.0,2863.0,801.0,82.0,26.0,0.07412503063983157,0.0,0.0,0.0,0.0
2020-01-28,0.09140472661031407,0.10274851921467855,0.0,5494.0,2631.0,131.0,49.0,0.08012001469274269,0.0,0.0,0.0,0.0
2020-01-29,0.09140472661031407,0.10274851921467855,0.0,6070.0,576.0,133.0,2.0,0.08012001469274269,0.0,0.0,0.0,0.0
2020-01-30,0.09140472661031407,0.10274851921467855,0.0,8124.0,2054.0,171.0,38.0,0.08012001469274269,0.0,0.0,0.0,0.0
2020-01-31,0.09140472661031407,0.10274851921467855,0.0,9783.0,1659.0,213.0,42.0,0.08012001469274269,0.0,0.0,0.0,0.0
2020-02-01,0.09823604233750978,0.11362448892128164,0.0,11871.0,2088.0,259.0,46.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-02,0.09823604233750978,0.11362448892128164,0.0,16607.0,4736.0,361.0,102.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-03,0.09823604233750978,0.11362448892128164,0.0,19693.0,3086.0,425.0,64.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-04,0.09823604233750978,0.11362448892128164,0.0,23680.0,3987.0,490.0,65.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-05,0.09823604233750978,0.11362448892128164,0.0,27409.0,3729.0,562.0,72.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-06,0.09823604233750978,0.11362448892128164,0.0,30553.0,3144.0,632.0,70.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-07,0.09823604233750978,0.11362448892128164,0.0,34075.0,3522.0,717.0,85.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-08,0.09823604233750978,0.11362448892128164,0.0,36778.0,2703.0,804.0,87.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-09,0.09823604233750978,0.11362448892128164,0.0,39790.0,3012.0,904.0,100.0,0.08611499874565383,0.0,0.0,0.0,0.0
2020-02-10,0.09652821340571087,0.11090549649463086,0.0,42306.0,2516.0,1011.0,107.0,0.08460547038700715,0.0,0.0,0.0,0.0
2020-02-11,0.09652821340571087,0.11090549649463086,0.0,44327.0,2021.0,1111.0,100.0,0.08460547038700715,0.0,0.0,0.0,0.0
2020-02-12,0.09652821340571087,0.11090549649463086,0.0,44699.0,372.0,1116.0,5.0,0.08460547038700715,0.0,0.0,0.0,0.0
2020-02-13,0.09652821340571087,0.11090549649463086,0.0,59832.0,15133.0,1368.0,252.0,0.08460547038700715,0.0,0.0,0.0,0.0
2020-02-14,0.09652821340571087,0.11090549649463086,0.0,66292.0,6460.0,1520.0,152.0,0.08460547038700715,0.0,0.0,0.0,0.0
2020-02-15,0.09652821340571087,0.11090549649463086,0.0,68347.0,2055.0,1662.0,142.0,0.08460547038700715,0.0,0.0,0.0,0.0
2020-02-16,0.09994387126930872,0.11090549649463086,0.0,70446.0,2099.0,1765.0,103.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-17,0.09994387126930872,0.11090549649463086,0.0,72364.0,1918.0,1863.0,98.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-18,0.09994387126930872,0.11090549649463086,0.0,74139.0,1775.0,2002.0,139.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-19,0.09994387126930872,0.11090549649463086,0.0,74546.0,407.0,2114.0,112.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-20,0.09994387126930872,0.11090549649463086,0.0,74999.0,453.0,2236.0,122.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-21,0.09994387126930872,0.11090549649463086,0.0,75472.0,473.0,2236.0,0.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-22,0.09994387126930872,0.11090549649463086,0.0,76922.0,1450.0,2441.0,205.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-23,0.09994387126930872,0.11090549649463086,0.0,76938.0,16.0,2443.0,2.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-24,0.09994387126930872,0.11090549649463086,0.0,77152.0,214.0,2593.0,150.0,0.08761015064374197,0.0,0.0,0.0,0.0
2020-02-25,0.10506735806470549,0.11907717103094345,0.0,77660.0,508.0,2663.0,70.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-02-26,0.10506735806470549,0.11907717103094345,0.0,78065.0,405.0,2715.0,52.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-02-27,0.10506735806470549,0.11907717103094345,0.0,78498.0,433.0,2744.0,29.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-02-28,0.10506735806470549,0.11907717103094345,0.0,78824.0,326.0,2788.0,44.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-02-29,0.10506735806470549,0.11907717103094345,0.0,79251.0,427.0,2835.0,47.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-03-01,0.10506735806470549,0.11907717103094345,0.0,79826.0,575.0,2870.0,35.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-03-02,0.10506735806470549,0.11907717103094345,0.0,80026.0,200.0,2912.0,42.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-03-03,0.10506735806470549,0.11907717103094345,0.0,80151.0,125.0,2945.0,33.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-03-04,0.10506735806470549,0.11907717103094345,0.0,80271.0,120.0,2981.0,36.0,0.09209560633800641,0.0,0.0,0.0,0.0
2020-03-05,0.10506735806470549,0.11907717103094345,0.0,80422.0,151.0,3013.0,32.0,0.09209560633800641,0.0,0.0,0.0,0.0
