date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-04-10,0.15924006832718987,0.204021804668349,0.0,150.0,15.0,1.0,1.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-11,0.15924006832718987,0.204021804668349,0.0,187.0,37.0,2.0,1.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-12,0.15924006832718987,0.204021804668349,0.0,214.0,27.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-13,0.15924006832718987,0.204021804668349,0.0,298.0,84.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-14,0.15924006832718987,0.204021804668349,0.0,363.0,65.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-15,0.15924006832718987,0.204021804668349,0.0,435.0,72.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-16,0.15924006832718987,0.204021804668349,0.0,591.0,156.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-17,0.15924006832718987,0.204021804668349,0.0,732.0,141.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-18,0.15924006832718987,0.204021804668349,0.0,732.0,0.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-19,0.15924006832718987,0.204021804668349,0.0,846.0,114.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-20,0.15924006832718987,0.204021804668349,0.0,846.0,0.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-21,0.15924006832718987,0.204021804668349,0.0,945.0,99.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-22,0.15924006832718987,0.204021804668349,0.0,974.0,29.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-23,0.15924006832718987,0.204021804668349,0.0,986.0,12.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-24,0.15924006832718987,0.204021804668349,0.0,999.0,13.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-25,0.15924006832718987,0.204021804668349,0.0,1008.0,9.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-26,0.15924006832718987,0.204021804668349,0.0,1023.0,15.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-27,0.15924006832718987,0.204021804668349,0.0,1035.0,12.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-28,0.15924006832718987,0.204021804668349,0.0,1072.0,37.0,2.0,0.0,0.15499685566655722,0.0,0.0,0.0,0.0
2020-04-29,0.15924006832718987,0.204021804668349,0.1834862385321101,1077.0,5.0,2.0,0.0,0.15880225533353595,0.0,0.0,0.0,0.0
2020-04-30,0.15924006832718987,0.204021804668349,0.1834862385321101,1089.0,12.0,2.0,0.0,0.15880225533353595,0.0,0.0,0.0,0.0
2020-05-01,0.16445889733598512,0.204021804668349,0.1834862385321101,1097.0,8.0,2.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-02,0.16445889733598512,0.204021804668349,0.1834862385321101,1112.0,15.0,2.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-03,0.16445889733598512,0.204021804668349,0.1834862385321101,1112.0,0.0,2.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-04,0.16445889733598512,0.204021804668349,0.1834862385321101,1116.0,4.0,2.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-05,0.16445889733598512,0.204021804668349,0.1834862385321101,1120.0,4.0,2.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-06,0.16445889733598512,0.204021804668349,0.1834862385321101,1124.0,4.0,3.0,1.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-07,0.16445889733598512,0.204021804668349,0.1834862385321101,1133.0,9.0,3.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-08,0.16445889733598512,0.204021804668349,0.1834862385321101,1135.0,2.0,3.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-09,0.16445889733598512,0.204021804668349,0.1834862385321101,1189.0,54.0,3.0,0.0,0.16390051514378312,0.0,0.0,0.0,0.0
2020-05-10,0.17621222653226354,0.204021804668349,0.1834862385321101,1210.0,21.0,3.0,0.0,0.1753411077323282,0.0,0.0,0.0,0.0
2020-05-11,0.17621222653226354,0.204021804668349,0.1834862385321101,1227.0,17.0,3.0,0.0,0.1753411077323282,0.0,0.0,0.0,0.0
2020-05-12,0.17621222653226354,0.204021804668349,0.1834862385321101,1256.0,29.0,3.0,0.0,0.1753411077323282,0.0,0.0,0.0,0.0
2020-05-13,0.17621222653226354,0.204021804668349,0.1834862385321101,1268.0,12.0,3.0,0.0,0.1753411077323282,0.0,0.0,0.0,0.0
2020-05-14,0.17621222653226354,0.204021804668349,0.1834862385321101,1284.0,16.0,3.0,0.0,0.1753411077323282,0.0,0.0,0.0,0.0
2020-05-15,0.17621222653226354,0.204021804668349,0.1834862385321101,1309.0,25.0,4.0,1.0,0.1753411077323282,0.0,0.0,0.0,0.0
2020-05-16,0.17621222653226354,0.204021804668349,0.1834862385321101,1331.0,22.0,4.0,0.0,0.1753411077323282,0.0,0.0,0.0,0.0
2020-05-17,0.12661142309573042,0.12802130606359977,0.1834862385321101,1401.0,70.0,4.0,0.0,0.12704180426682876,0.0,0.0,0.0,0.0
2020-05-18,0.12661142309573042,0.12802130606359977,0.1834862385321101,1518.0,117.0,7.0,3.0,0.12704180426682876,0.0,0.0,0.0,0.0
2020-05-19,0.12661142309573042,0.12802130606359977,0.1834862385321101,1618.0,100.0,7.0,0.0,0.12704180426682876,0.0,0.0,0.0,0.0
