date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-12-22,0.0,0.0,0.0,832.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,877.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0,951.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,992.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,992.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,1039.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,1039.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,1220.0,181.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0,1252.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,1320.0,68.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,1320.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,1320.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,1320.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,1363.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,1363.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,1445.0,82.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,1445.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,1556.0,111.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
2021-01-09,0.0,0.0,0.0,1556.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,1556.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,1556.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,1596.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,1596.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,1805.0,209.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,1877.0,72.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,1877.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,1877.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,1877.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,1877.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,1910.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,1913.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,1940.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-23,0.0,0.0,0.0,1940.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,1940.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,1950.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,1970.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0,2085.0,115.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0,2085.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,2135.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-30,0.0,0.0,0.0,2135.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,2135.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,2135.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,2267.0,132.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-03,0.0,0.0,0.0,2309.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,2309.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,2326.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-06,0.0,0.0,0.0,2326.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,0.0,0.0,0.0,2326.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,2326.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.0,2401.0,75.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,0.0,0.0,0.0,2418.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-11,0.0,0.0,0.0,2429.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
