date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2021-12-27,0.12824540244634838,0.1237390220286394,0.0,2306.0,57.0,1.0,1.0,0.11867209918731243,78500.0,40447.0,38053.0,0.0
2021-12-28,0.12824540244634838,0.1237390220286394,0.0,2437.0,131.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2021-12-29,0.12824540244634838,0.1237390220286394,0.0,2437.0,0.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2021-12-30,0.12824540244634838,0.1237390220286394,0.0,2610.0,173.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2021-12-31,0.12824540244634838,0.1237390220286394,0.0,2611.0,1.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2022-01-01,0.12824540244634838,0.1237390220286394,0.0,2611.0,0.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2022-01-02,0.12824540244634838,0.1237390220286394,0.0,2611.0,0.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2022-01-03,0.12824540244634838,0.1237390220286394,0.0,2930.0,319.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2022-01-04,0.12824540244634838,0.1237390220286394,0.0,3134.0,204.0,1.0,0.0,0.11867209918731243,78558.0,40469.0,38089.0,0.0
2022-01-05,0.12824540244634838,0.1237390220286394,0.0,3404.0,270.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2022-01-06,0.12824540244634838,0.1237390220286394,0.0,3404.0,0.0,1.0,0.0,0.11867209918731243,0.0,0.0,0.0,0.0
2022-01-07,0.12316945356115366,0.11430392159895565,0.0,3995.0,591.0,1.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-08,0.12316945356115366,0.11430392159895565,0.0,4499.0,504.0,1.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-09,0.12316945356115366,0.11430392159895565,0.0,4996.0,497.0,1.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-10,0.12316945356115366,0.11430392159895565,0.0,5472.0,476.0,2.0,1.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-11,0.12316945356115366,0.11430392159895565,0.0,5996.0,524.0,2.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-12,0.12316945356115366,0.11430392159895565,0.0,6453.0,457.0,2.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-13,0.12316945356115366,0.11430392159895565,0.0,7083.0,630.0,2.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-14,0.12316945356115366,0.11430392159895565,0.0,7083.0,0.0,2.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-15,0.12316945356115366,0.11430392159895565,0.0,7083.0,0.0,2.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-16,0.12316945356115366,0.11430392159895565,0.0,7871.0,788.0,3.0,1.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-17,0.12316945356115366,0.11430392159895565,0.0,8025.0,154.0,3.0,0.0,0.11393507261615297,0.0,0.0,0.0,0.0
2022-01-18,0.12311765816436596,0.11421111733243418,0.0,8790.0,765.0,3.0,0.0,0.11390769095967229,79270.0,41010.0,38260.0,0.0
2022-01-19,0.12311765816436596,0.11421111733243418,0.0,9014.0,224.0,3.0,0.0,0.11390769095967229,0.0,0.0,0.0,0.0
