date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-02-13,0.048910573613078705,0.04749217380767526,0.0,33.0,5.0,1.0,1.0,0.0381818844691866,0.0,0.0,0.0,0.0
2020-02-14,0.048910573613078705,0.04749217380767526,0.0,43.0,10.0,1.0,0.0,0.0381818844691866,0.0,0.0,0.0,0.0
2020-02-15,0.048910573613078705,0.04749217380767526,0.0,54.0,11.0,1.0,0.0,0.0381818844691866,0.0,0.0,0.0,0.0
2020-02-16,0.048910573613078705,0.04749217380767526,0.0,60.0,6.0,1.0,0.0,0.0381818844691866,0.0,0.0,0.0,0.0
2020-02-17,0.048910573613078705,0.04749217380767526,0.0,67.0,7.0,1.0,0.0,0.0381818844691866,0.0,0.0,0.0,0.0
2020-02-18,0.048910573613078705,0.04749217380767526,0.0,79.0,12.0,2.0,1.0,0.0381818844691866,0.0,0.0,0.0,0.0
2020-02-19,0.048910573613078705,0.04749217380767526,0.0,85.0,6.0,2.0,0.0,0.0381818844691866,0.0,0.0,0.0,0.0
2020-02-20,0.05686242890530495,0.06107532639875933,0.0,95.0,10.0,2.0,0.0,0.04438371624856149,0.0,0.0,0.0,0.0
2020-02-21,0.05686242890530495,0.06107532639875933,0.0,112.0,17.0,2.0,0.0,0.04438371624856149,0.0,0.0,0.0,0.0
2020-02-22,0.05686242890530495,0.06107532639875933,0.0,137.0,25.0,2.0,0.0,0.04438371624856149,0.0,0.0,0.0,0.0
2020-02-23,0.05686242890530495,0.06107532639875933,0.0,149.0,12.0,2.0,0.0,0.04438371624856149,0.0,0.0,0.0,0.0
2020-02-24,0.05686242890530495,0.06107532639875933,0.0,160.0,11.0,2.0,0.0,0.04438371624856149,0.0,0.0,0.0,0.0
2020-02-25,0.08065135912311028,0.08369762729685978,0.0,173.0,13.0,3.0,1.0,0.06294958326860707,0.0,0.0,0.0,0.0
2020-02-26,0.08065135912311028,0.08369762729685978,0.0,192.0,19.0,3.0,0.0,0.06294958326860707,0.0,0.0,0.0,0.0
2020-02-27,0.08065135912311028,0.08369762729685978,0.0,218.0,26.0,4.0,1.0,0.06294958326860707,0.0,0.0,0.0,0.0
2020-02-28,0.08065135912311028,0.08369762729685978,0.0,236.0,18.0,5.0,1.0,0.06294958326860707,0.0,0.0,0.0,0.0
2020-02-29,0.08065135912311028,0.08369762729685978,0.0,245.0,9.0,6.0,1.0,0.06294958326860707,0.0,0.0,0.0,0.0
2020-03-01,0.08462728676922339,0.08369762729685978,0.0,259.0,14.0,6.0,0.0,0.06604059207877475,0.0,0.0,0.0,0.0
2020-03-02,0.09784335911244854,0.10631992819496025,0.0,278.0,19.0,6.0,0.0,0.0763637689383732,0.0,0.0,0.0,0.0
2020-03-03,0.09784335911244854,0.10631992819496025,0.0,298.0,20.0,6.0,0.0,0.0763637689383732,0.0,0.0,0.0,0.0
2020-03-04,0.09784335911244854,0.10631992819496025,0.0,333.0,35.0,7.0,1.0,0.0763637689383732,0.0,0.0,0.0,0.0
2020-03-05,0.09784335911244854,0.10631992819496025,0.0,365.0,32.0,7.0,0.0,0.0763637689383732,0.0,0.0,0.0,0.0
