date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-26,0.09973343707359221,0.13551218615193802,0.2298850574712643,31.0,3.0,1.0,1.0,0.10604157017477579,0.0,0.0,0.0,0.0
2020-03-27,0.11709026058183426,0.1633201423797381,0.2298850574712643,31.0,0.0,1.0,0.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-03-28,0.11709026058183426,0.1633201423797381,0.2298850574712643,38.0,7.0,1.0,0.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-03-29,0.11709026058183426,0.1633201423797381,0.2298850574712643,42.0,4.0,1.0,0.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-03-30,0.11709026058183426,0.1633201423797381,0.2298850574712643,50.0,8.0,1.0,0.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-03-31,0.11709026058183426,0.1633201423797381,0.2298850574712643,59.0,9.0,1.0,0.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-04-01,0.11709026058183426,0.1633201423797381,0.2298850574712643,81.0,22.0,1.0,0.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-04-02,0.11709026058183426,0.1633201423797381,0.2298850574712643,110.0,29.0,3.0,2.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-04-03,0.11709026058183426,0.1633201423797381,0.2298850574712643,122.0,12.0,4.0,1.0,0.12234812877835492,0.0,0.0,0.0,0.0
2020-04-04,0.1268341226772272,0.1633201423797381,0.2298850574712643,126.0,4.0,4.0,0.0,0.13152913236188268,0.0,0.0,0.0,0.0
2020-04-05,0.1268341226772272,0.1633201423797381,0.2298850574712643,142.0,16.0,4.0,0.0,0.13152913236188268,0.0,0.0,0.0,0.0
2020-04-06,0.12900144901246416,0.16679144595743245,0.2298850574712643,158.0,16.0,6.0,2.0,0.1335650052247545,0.0,0.0,0.0,0.0
