date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-04-03,0.14719086452335964,0.18777105586520104,0.04553734061930782,130.0,14.0,1.0,1.0,0.1323549006750991,0.0,0.0,0.0,0.0
2020-04-04,0.14719086452335964,0.18777105586520104,0.04553734061930782,144.0,14.0,1.0,0.0,0.1323549006750991,0.0,0.0,0.0,0.0
2020-04-05,0.14719086452335964,0.18777105586520104,0.04553734061930782,147.0,3.0,1.0,0.0,0.1323549006750991,0.0,0.0,0.0,0.0
2020-04-06,0.14719086452335964,0.18777105586520104,0.04553734061930782,216.0,69.0,4.0,3.0,0.1323549006750991,0.0,0.0,0.0,0.0
2020-04-07,0.14719086452335964,0.18777105586520104,0.04553734061930782,228.0,12.0,4.0,0.0,0.1323549006750991,0.0,0.0,0.0,0.0
2020-04-08,0.14719086452335964,0.18777105586520104,0.04553734061930782,270.0,42.0,4.0,0.0,0.1323549006750991,0.0,0.0,0.0,0.0
2020-04-09,0.14719086452335964,0.18777105586520104,0.04553734061930782,280.0,10.0,4.0,0.0,0.1323549006750991,0.0,0.0,0.0,0.0
2020-04-10,0.14719086452335964,0.18777105586520104,0.09107468123861565,298.0,18.0,5.0,1.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-11,0.14719086452335964,0.18777105586520104,0.09107468123861565,339.0,41.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-12,0.14719086452335964,0.18777105586520104,0.09107468123861565,377.0,38.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-13,0.14719086452335964,0.18777105586520104,0.09107468123861565,419.0,42.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-14,0.14719086452335964,0.18777105586520104,0.09107468123861565,430.0,11.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-15,0.14719086452335964,0.18777105586520104,0.09107468123861565,449.0,19.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-16,0.14719086452335964,0.18777105586520104,0.09107468123861565,466.0,17.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-17,0.14719086452335964,0.18777105586520104,0.09107468123861565,489.0,23.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-18,0.14719086452335964,0.18777105586520104,0.09107468123861565,506.0,17.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-19,0.14719086452335964,0.18777105586520104,0.09107468123861565,554.0,48.0,5.0,0.0,0.13869319380718387,0.0,0.0,0.0,0.0
2020-04-20,0.14719086452335964,0.18777105586520104,0.09107468123861565,568.0,14.0,7.0,2.0,0.13869319380718387,0.0,0.0,0.0,0.0
