date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-10,0.0551312963808374,0.06667699492615471,0.0,41.0,9.0,1.0,1.0,0.04837778680004072,0.0,0.0,0.0,0.0
2020-03-11,0.0551312963808374,0.06667699492615471,0.0,61.0,20.0,3.0,2.0,0.04837778680004072,0.0,0.0,0.0,0.0
2020-03-12,0.0551312963808374,0.06667699492615471,0.0,61.0,0.0,3.0,0.0,0.04837778680004072,0.0,0.0,0.0,0.0
2020-03-13,0.0551312963808374,0.06667699492615471,0.0,77.0,16.0,3.0,0.0,0.04837778680004072,0.0,0.0,0.0,0.0
2020-03-14,0.0551312963808374,0.06667699492615471,0.0,93.0,16.0,3.0,0.0,0.04837778680004072,0.0,0.0,0.0,0.0
2020-03-15,0.07025790042735834,0.06667699492615471,0.0,110.0,17.0,3.0,0.0,0.06165617783062419,0.0,0.0,0.0,0.0
2020-03-16,0.08754544790909656,0.09270842445211923,0.0,110.0,0.0,3.0,0.0,0.07684709431828757,0.0,0.0,0.0,0.0
2020-03-17,0.08754544790909656,0.09270842445211923,0.0,120.0,10.0,3.0,0.0,0.07684709431828757,0.0,0.0,0.0,0.0
2020-03-18,0.12538919680819574,0.14963680710640462,0.0,133.0,13.0,3.0,0.0,0.11005217915882758,0.0,0.0,0.0,0.0
2020-03-19,0.12538919680819574,0.14963680710640462,0.0,157.0,24.0,4.0,1.0,0.11005217915882758,0.0,0.0,0.0,0.0
2020-03-20,0.12538919680819574,0.14963680710640462,0.0,163.0,6.0,4.0,0.0,0.11005217915882758,0.0,0.0,0.0,0.0
2020-03-21,0.12538919680819574,0.14963680710640462,0.0,187.0,24.0,4.0,0.0,0.11005217915882758,0.0,0.0,0.0,0.0
2020-03-22,0.12538919680819574,0.14963680710640462,0.0,248.0,61.0,4.0,0.0,0.11005217915882758,0.0,0.0,0.0,0.0
2020-03-23,0.12538919680819574,0.14963680710640462,0.0,267.0,19.0,4.0,0.0,0.11005217915882758,0.0,0.0,0.0,0.0
2020-03-24,0.12538919680819574,0.14963680710640462,0.0,318.0,51.0,4.0,0.0,0.11005217915882758,0.0,0.0,0.0,0.0
2020-03-25,0.12538919680819574,0.14963680710640462,0.0,333.0,15.0,6.0,2.0,0.11005217915882758,0.0,0.0,0.0,0.0
