date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-04-07,0.10892867436411,0.1343670012915695,0.0,8.0,3.0,1.0,1.0,0.10049480487439597,0.0,0.0,0.0,0.0
2020-04-08,0.10892867436411,0.1343670012915695,0.0,8.0,0.0,1.0,0.0,0.10049480487439597,0.0,0.0,0.0,0.0
2020-04-09,0.10892867436411,0.1343670012915695,0.2222222222222222,8.0,0.0,1.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-10,0.10892867436411,0.1343670012915695,0.2222222222222222,9.0,1.0,1.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-11,0.10892867436411,0.1343670012915695,0.2222222222222222,12.0,3.0,2.0,1.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-12,0.10892867436411,0.1343670012915695,0.2222222222222222,13.0,1.0,2.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-13,0.10892867436411,0.1343670012915695,0.2222222222222222,16.0,3.0,2.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-14,0.10892867436411,0.1343670012915695,0.2222222222222222,16.0,0.0,2.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-15,0.10892867436411,0.1343670012915695,0.2222222222222222,16.0,0.0,2.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-16,0.10892867436411,0.1343670012915695,0.2222222222222222,16.0,0.0,2.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-17,0.10892867436411,0.1343670012915695,0.2222222222222222,17.0,1.0,2.0,0.0,0.11556781976436416,0.0,0.0,0.0,0.0
2020-04-18,0.114372820625903,0.14319316231833512,0.2222222222222222,17.0,0.0,2.0,0.0,0.12058411911974556,0.0,0.0,0.0,0.0
2020-04-19,0.114372820625903,0.14319316231833512,0.2222222222222222,17.0,0.0,2.0,0.0,0.12058411911974556,0.0,0.0,0.0,0.0
