date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-23,0.09485166462494106,0.10126977843980792,0.0,40.0,10.0,1.0,1.0,0.09306140965508242,0.0,0.0,0.0,0.0
2020-03-24,0.09485166462494106,0.10126977843980792,0.0,44.0,4.0,1.0,0.0,0.09306140965508242,0.0,0.0,0.0,0.0
2020-03-25,0.09485166462494106,0.10126977843980792,0.0,51.0,7.0,1.0,0.0,0.09306140965508242,0.0,0.0,0.0,0.0
2020-03-26,0.09956257785130498,0.10897803147883876,0.0,65.0,14.0,1.0,0.0,0.0976778592635387,0.0,0.0,0.0,0.0
2020-03-27,0.09956257785130498,0.10897803147883876,0.0,70.0,5.0,1.0,0.0,0.0976778592635387,0.0,0.0,0.0,0.0
2020-03-28,0.10308586589455196,0.11476963781627277,0.0,89.0,19.0,1.0,0.0,0.1011401964698809,0.0,0.0,0.0,0.0
2020-03-29,0.13843750884533343,0.17264403495796918,0.0,111.0,22.0,1.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-03-30,0.13843750884533343,0.17264403495796918,0.0,131.0,20.0,2.0,1.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-03-31,0.13843750884533343,0.17264403495796918,0.0,135.0,4.0,2.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-01,0.13843750884533343,0.17264403495796918,0.0,174.0,39.0,2.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-02,0.13843750884533343,0.17264403495796918,0.0,184.0,10.0,2.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-03,0.13843750884533343,0.17264403495796918,0.0,210.0,26.0,4.0,2.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-04,0.13843750884533343,0.17264403495796918,0.0,214.0,4.0,4.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-05,0.13843750884533343,0.17264403495796918,0.0,232.0,18.0,5.0,1.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-06,0.13843750884533343,0.17264403495796918,0.0,238.0,6.0,5.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-07,0.13843750884533343,0.17264403495796918,0.0,254.0,16.0,6.0,1.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-08,0.13843750884533343,0.17264403495796918,0.0,276.0,22.0,6.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-09,0.13843750884533343,0.17264403495796918,0.0,288.0,12.0,7.0,1.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-10,0.13843750884533343,0.17264403495796918,0.0,305.0,17.0,7.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-11,0.13843750884533343,0.17264403495796918,0.0,318.0,13.0,10.0,3.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-12,0.13843750884533343,0.17264403495796918,0.0,323.0,5.0,10.0,0.0,0.1358301519411172,0.0,0.0,0.0,0.0
2020-04-13,0.13843750884533343,0.17264403495796918,0.2652519893899204,343.0,20.0,10.0,0.0,0.1392924891474594,0.0,0.0,0.0,0.0
2020-04-14,0.13843750884533343,0.17264403495796918,0.2652519893899204,373.0,30.0,11.0,1.0,0.1392924891474594,0.0,0.0,0.0,0.0
2020-04-15,0.13843750884533343,0.17264403495796918,0.2652519893899204,407.0,34.0,12.0,1.0,0.1392924891474594,0.0,0.0,0.0,0.0
2020-04-16,0.13843750884533343,0.17264403495796918,0.2652519893899204,442.0,35.0,13.0,1.0,0.1392924891474594,0.0,0.0,0.0,0.0
2020-04-17,0.14198059064163238,0.17264403495796918,0.2652519893899204,493.0,51.0,17.0,4.0,0.1427548263538016,0.0,0.0,0.0,0.0
2020-04-18,0.14198059064163238,0.17264403495796918,0.2652519893899204,542.0,49.0,19.0,2.0,0.1427548263538016,0.0,0.0,0.0,0.0
2020-04-19,0.14198059064163238,0.17264403495796918,0.2652519893899204,627.0,85.0,21.0,2.0,0.1427548263538016,0.0,0.0,0.0,0.0
2020-04-20,0.14198059064163238,0.17264403495796918,0.2652519893899204,665.0,38.0,22.0,1.0,0.1427548263538016,0.0,0.0,0.0,0.0
2020-04-21,0.14198059064163238,0.17264403495796918,0.2652519893899204,665.0,0.0,22.0,0.0,0.1427548263538016,0.0,0.0,0.0,0.0
2020-04-22,0.14198059064163238,0.17264403495796918,0.2652519893899204,873.0,208.0,28.0,6.0,0.1427548263538016,0.0,0.0,0.0,0.0
2020-04-23,0.14550387868487932,0.17843564129540318,0.2652519893899204,981.0,108.0,31.0,3.0,0.14623935802941523,0.0,0.0,0.0,0.0
2020-04-24,0.14550387868487932,0.17843564129540318,0.2652519893899204,1095.0,114.0,32.0,1.0,0.14623935802941523,0.0,0.0,0.0,0.0
