date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-04-01,0.15939095299150305,0.2305826465954819,0.26578073089701004,190.0,15.0,1.0,1.0,0.16494645242528494,0.0,0.0,0.0,0.0
2020-04-02,0.15939095299150305,0.2305826465954819,0.26578073089701004,195.0,5.0,1.0,0.0,0.16494645242528494,0.0,0.0,0.0,0.0
2020-04-03,0.15939095299150305,0.2305826465954819,0.3322259136212625,207.0,12.0,1.0,0.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-04,0.15939095299150305,0.2305826465954819,0.3322259136212625,219.0,12.0,2.0,1.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-05,0.15939095299150305,0.2305826465954819,0.3322259136212625,222.0,3.0,2.0,0.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-06,0.15939095299150305,0.2305826465954819,0.3322259136212625,226.0,4.0,2.0,0.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-07,0.15939095299150305,0.2305826465954819,0.3322259136212625,237.0,11.0,2.0,0.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-08,0.15939095299150305,0.2305826465954819,0.3322259136212625,244.0,7.0,2.0,0.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-09,0.15939095299150305,0.2305826465954819,0.3322259136212625,250.0,6.0,2.0,0.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-10,0.15939095299150305,0.2305826465954819,0.3322259136212625,265.0,15.0,2.0,0.0,0.16895645444305668,0.0,0.0,0.0,0.0
2020-04-11,0.16508092551467354,0.2305826465954819,0.3322259136212625,278.0,13.0,2.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-12,0.16508092551467354,0.2305826465954819,0.3322259136212625,280.0,2.0,2.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-13,0.16508092551467354,0.2305826465954819,0.3322259136212625,291.0,11.0,2.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-14,0.16508092551467354,0.2305826465954819,0.3322259136212625,299.0,8.0,2.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-15,0.16508092551467354,0.2305826465954819,0.3322259136212625,314.0,15.0,2.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-16,0.16508092551467354,0.2305826465954819,0.3322259136212625,335.0,21.0,2.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-17,0.16508092551467354,0.2305826465954819,0.3322259136212625,342.0,7.0,2.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-18,0.16508092551467354,0.2305826465954819,0.3322259136212625,350.0,8.0,3.0,1.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-19,0.16508092551467354,0.2305826465954819,0.3322259136212625,367.0,17.0,3.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-20,0.16508092551467354,0.2305826465954819,0.3322259136212625,377.0,10.0,5.0,2.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-21,0.16508092551467354,0.2305826465954819,0.3322259136212625,412.0,35.0,5.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-22,0.16508092551467354,0.2305826465954819,0.3322259136212625,442.0,30.0,6.0,1.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-23,0.16508092551467354,0.2305826465954819,0.3322259136212625,479.0,37.0,6.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-24,0.16508092551467354,0.2305826465954819,0.3322259136212625,545.0,66.0,7.0,1.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-25,0.16508092551467354,0.2305826465954819,0.3322259136212625,614.0,69.0,7.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-26,0.16508092551467354,0.2305826465954819,0.3322259136212625,671.0,57.0,9.0,2.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-27,0.16508092551467354,0.2305826465954819,0.3322259136212625,736.0,65.0,9.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-28,0.16508092551467354,0.2305826465954819,0.3322259136212625,823.0,87.0,9.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-29,0.16508092551467354,0.2305826465954819,0.3322259136212625,882.0,59.0,9.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-04-30,0.16508092551467354,0.2305826465954819,0.3322259136212625,933.0,51.0,9.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-01,0.16508092551467354,0.2305826465954819,0.3322259136212625,1024.0,91.0,9.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-02,0.16508092551467354,0.2305826465954819,0.3322259136212625,1115.0,91.0,9.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-03,0.16508092551467354,0.2305826465954819,0.3322259136212625,1182.0,67.0,9.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-04,0.16508092551467354,0.2305826465954819,0.3322259136212625,1271.0,89.0,10.0,1.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-05,0.16508092551467354,0.2305826465954819,0.3322259136212625,1329.0,58.0,11.0,1.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-06,0.16508092551467354,0.2305826465954819,0.3322259136212625,1433.0,104.0,12.0,1.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-07,0.16508092551467354,0.2305826465954819,0.3322259136212625,1492.0,59.0,13.0,1.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-08,0.16508092551467354,0.2305826465954819,0.3322259136212625,1551.0,59.0,13.0,0.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-09,0.16508092551467354,0.2305826465954819,0.3322259136212625,1634.0,83.0,17.0,4.0,0.17426906858125105,0.0,0.0,0.0,0.0
2020-05-10,0.16508092551467354,0.2305826465954819,0.3322259136212625,1709.0,75.0,19.0,2.0,0.17426906858125105,0.0,0.0,0.0,0.0
