date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-03,0.025912377789017463,0.022908024179821594,0.0,165.0,45.0,1.0,1.0,0.021637424361058755,0.0,0.0,0.0,0.0
2020-03-04,0.025912377789017463,0.022908024179821594,0.0,222.0,57.0,2.0,1.0,0.021637424361058755,0.0,0.0,0.0,0.0
2020-03-05,0.025912377789017463,0.022908024179821594,0.0,259.0,37.0,3.0,1.0,0.021637424361058755,0.0,0.0,0.0,0.0
2020-03-06,0.025912377789017463,0.022908024179821594,0.0,400.0,141.0,5.0,2.0,0.021637424361058755,0.0,0.0,0.0,0.0
2020-03-07,0.025912377789017463,0.022908024179821594,0.0,500.0,100.0,10.0,5.0,0.021637424361058755,0.0,0.0,0.0,0.0
2020-03-08,0.025912377789017463,0.022908024179821594,0.0,673.0,173.0,17.0,7.0,0.021637424361058755,0.0,0.0,0.0,0.0
2020-03-09,0.04355653121482172,0.051548209225521134,0.0,1073.0,400.0,28.0,11.0,0.03638334794394434,0.0,0.0,0.0,0.0
2020-03-10,0.07006232223564875,0.09449817715222535,0.0,1695.0,622.0,35.0,7.0,0.058511673730297614,0.0,0.0,0.0,0.0
2020-03-11,0.07006232223564875,0.09449817715222535,0.0,2277.0,582.0,54.0,19.0,0.058511673730297614,0.0,0.0,0.0,0.0
2020-03-12,0.07006232223564875,0.09449817715222535,0.0,2277.0,0.0,55.0,1.0,0.058511673730297614,0.0,0.0,0.0,0.0
2020-03-13,0.07006232223564875,0.09449817715222535,0.0,5232.0,2955.0,133.0,78.0,0.058511673730297614,0.0,0.0,0.0,0.0
2020-03-14,0.097141746047225,0.13841725141236935,0.0,6391.0,1159.0,195.0,62.0,0.08113090094194542,0.0,0.0,0.0,0.0
2020-03-15,0.097141746047225,0.13841725141236935,0.0,7798.0,1407.0,289.0,94.0,0.08113090094194542,0.0,0.0,0.0,0.0
2020-03-16,0.09949561853340291,0.14223181889505793,0.0,9942.0,2144.0,342.0,53.0,0.08309450664312354,0.0,0.0,0.0,0.0
2020-03-17,0.10301653704213964,0.1479639797609359,0.03669724770642202,11748.0,1806.0,533.0,191.0,0.09194961312247481,0.0,0.0,0.0,0.0
2020-03-18,0.10301653704213964,0.1479639797609359,0.09174311926605506,13910.0,2162.0,623.0,90.0,0.10080471960182609,0.0,0.0,0.0,0.0
2020-03-19,0.10772428201449549,0.1479639797609359,0.09174311926605506,17963.0,4053.0,830.0,207.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-20,0.10772428201449549,0.1479639797609359,0.09174311926605506,20410.0,2447.0,1043.0,213.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-21,0.10772428201449549,0.1479639797609359,0.09174311926605506,25374.0,4964.0,1375.0,332.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-22,0.10772428201449549,0.1479639797609359,0.09174311926605506,28768.0,3394.0,1772.0,397.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-23,0.10772428201449549,0.1479639797609359,0.09174311926605506,35136.0,6368.0,2311.0,539.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-24,0.10772428201449549,0.1479639797609359,0.09174311926605506,39885.0,4749.0,2808.0,497.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-25,0.10772428201449549,0.1479639797609359,0.09174311926605506,49515.0,9630.0,3647.0,839.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-26,0.10772428201449549,0.1479639797609359,0.09174311926605506,57786.0,8271.0,4365.0,718.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-27,0.10772428201449549,0.1479639797609359,0.09174311926605506,65719.0,7933.0,5138.0,773.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-28,0.10772428201449549,0.1479639797609359,0.09174311926605506,73235.0,7516.0,5982.0,844.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-29,0.10772428201449549,0.1479639797609359,0.09174311926605506,80110.0,6875.0,6803.0,821.0,0.10473193100418228,0.0,0.0,0.0,0.0
2020-03-30,0.12481458309061082,0.17565567775688584,0.09174311926605506,87956.0,7846.0,7716.0,913.0,0.11898695316177337,0.0,0.0,0.0,0.0
2020-03-31,0.12481458309061082,0.17565567775688584,0.12844036697247707,95923.0,7967.0,8464.0,748.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-01,0.12481458309061082,0.17565567775688584,0.12844036697247707,104118.0,8195.0,9387.0,923.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-02,0.12481458309061082,0.17565567775688584,0.12844036697247707,112065.0,7947.0,10348.0,961.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-03,0.12481458309061082,0.17565567775688584,0.12844036697247707,119199.0,7134.0,11198.0,850.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-04,0.12481458309061082,0.17565567775688584,0.12844036697247707,126168.0,6969.0,11947.0,749.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-05,0.12952232806296668,0.17565567775688584,0.12844036697247707,131646.0,5478.0,12641.0,694.0,0.12882386249171368,0.0,0.0,0.0,0.0
2020-04-06,0.12952232806296668,0.17565567775688584,0.12844036697247707,136675.0,5029.0,13341.0,700.0,0.12882386249171368,0.0,0.0,0.0,0.0
2020-04-07,0.12952232806296668,0.17565567775688584,0.12844036697247707,141942.0,5267.0,14045.0,704.0,0.12882386249171368,0.0,0.0,0.0,0.0
2020-04-08,0.12952232806296668,0.17565567775688584,0.12844036697247707,148220.0,6278.0,14792.0,747.0,0.12882386249171368,0.0,0.0,0.0,0.0
2020-04-09,0.12952232806296668,0.17565567775688584,0.12844036697247707,153222.0,5002.0,15447.0,655.0,0.12882386249171368,0.0,0.0,0.0,0.0
2020-04-10,0.12952232806296668,0.17565567775688584,0.12844036697247707,158273.0,5051.0,16081.0,634.0,0.12882386249171368,0.0,0.0,0.0,0.0
2020-04-11,0.12481458309061082,0.17565567775688584,0.12844036697247707,163027.0,4754.0,16606.0,525.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-12,0.12481458309061082,0.17565567775688584,0.12844036697247707,166831.0,3804.0,17209.0,603.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-13,0.12481458309061082,0.17565567775688584,0.12844036697247707,170099.0,3268.0,17756.0,547.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-14,0.12481458309061082,0.17565567775688584,0.12844036697247707,172541.0,2442.0,18056.0,300.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-15,0.12481458309061082,0.17565567775688584,0.12844036697247707,177644.0,5103.0,18708.0,652.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-16,0.12481458309061082,0.17565567775688584,0.12844036697247707,184948.0,7304.0,19315.0,607.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-17,0.12481458309061082,0.17565567775688584,0.12844036697247707,190839.0,5891.0,20002.0,687.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-18,0.12481458309061082,0.17565567775688584,0.12844036697247707,191726.0,887.0,20043.0,41.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-19,0.12481458309061082,0.17565567775688584,0.12844036697247707,198674.0,6948.0,20453.0,410.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-20,0.12481458309061082,0.17565567775688584,0.12844036697247707,200210.0,1536.0,20852.0,399.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-21,0.12481458309061082,0.17565567775688584,0.12844036697247707,204178.0,3968.0,21282.0,430.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-22,0.12481458309061082,0.17565567775688584,0.12844036697247707,208389.0,4211.0,21717.0,435.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-23,0.12481458309061082,0.17565567775688584,0.12844036697247707,213024.0,4635.0,22157.0,440.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-24,0.12481458309061082,0.17565567775688584,0.12844036697247707,202990.0,0.0,22524.0,367.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-25,0.12481458309061082,0.17565567775688584,0.12844036697247707,205905.0,2915.0,22902.0,378.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-26,0.12481458309061082,0.17565567775688584,0.12844036697247707,207634.0,1729.0,23190.0,288.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-27,0.12481458309061082,0.17565567775688584,0.12844036697247707,209465.0,1831.0,23521.0,331.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-28,0.12481458309061082,0.17565567775688584,0.12844036697247707,210773.0,1308.0,23822.0,301.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-29,0.12481458309061082,0.17565567775688584,0.12844036697247707,212917.0,2144.0,24275.0,453.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-04-30,0.12481458309061082,0.17565567775688584,0.12844036697247707,213435.0,518.0,24543.0,268.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-05-01,0.12481458309061082,0.17565567775688584,0.12844036697247707,215216.0,1781.0,24543.0,0.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-05-02,0.12481458309061082,0.17565567775688584,0.12844036697247707,216582.0,1366.0,25100.0,557.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-05-03,0.12481458309061082,0.17565567775688584,0.12844036697247707,217466.0,884.0,25264.0,164.0,0.12489665108935746,0.0,0.0,0.0,0.0
2020-05-04,0.12774208836753798,0.16895441055756807,0.11009174311926609,218011.0,545.0,25428.0,164.0,0.12440574966406295,0.0,0.0,0.0,0.0
2020-05-05,0.12774208836753798,0.16895441055756807,0.11009174311926609,219329.0,1318.0,25613.0,185.0,0.12440574966406295,0.0,0.0,0.0,0.0
2020-05-06,0.12774208836753798,0.16895441055756807,0.11009174311926609,220325.0,996.0,25857.0,244.0,0.12440574966406295,0.0,0.0,0.0,0.0
2020-05-07,0.12774208836753798,0.16895441055756807,0.11009174311926609,221447.0,1122.0,26070.0,213.0,0.12440574966406295,0.0,0.0,0.0,0.0
2020-05-08,0.12774208836753798,0.16895441055756807,0.11009174311926609,222857.0,1410.0,26299.0,229.0,0.12440574966406295,0.0,0.0,0.0,0.0
2020-05-09,0.12774208836753798,0.16895441055756807,0.11009174311926609,223578.0,721.0,26478.0,179.0,0.12440574966406295,0.0,0.0,0.0,0.0
2020-05-10,0.12774208836753798,0.16895441055756807,0.11009174311926609,224350.0,772.0,26621.0,143.0,0.12440574966406295,0.0,0.0,0.0,0.0
2020-05-11,0.12774208836753798,0.16895441055756807,0.12844036697247707,227436.0,3086.0,26744.0,123.0,0.12735115821583012,0.0,0.0,0.0,0.0
2020-05-12,0.12774208836753798,0.16895441055756807,0.12844036697247707,228030.0,594.0,26920.0,176.0,0.12735115821583012,0.0,0.0,0.0,0.0
2020-05-13,0.13423007303532253,0.17182049099050706,0.12844036697247707,228691.0,661.0,27104.0,184.0,0.13275107389406987,0.0,0.0,0.0,0.0
2020-05-14,0.13423007303532253,0.17182049099050706,0.12844036697247707,229540.0,849.0,27321.0,217.0,0.13275107389406987,0.0,0.0,0.0,0.0
2020-05-15,0.13423007303532253,0.17182049099050706,0.12844036697247707,230183.0,643.0,27459.0,138.0,0.13275107389406987,0.0,0.0,0.0,0.0
2020-05-16,0.13423007303532253,0.17182049099050706,0.12844036697247707,230698.0,515.0,27563.0,104.0,0.13275107389406987,0.0,0.0,0.0,0.0
2020-05-17,0.12892891483115712,0.16324286897538035,0.12844036697247707,230698.0,0.0,27563.0,0.0,0.12833296106641914,0.0,0.0,0.0,0.0
2020-05-18,0.12892891483115712,0.16324286897538035,0.12844036697247707,231606.0,908.0,27709.0,146.0,0.12833296106641914,0.0,0.0,0.0,0.0
2020-05-19,0.12892891483115712,0.16324286897538035,0.12844036697247707,232037.0,431.0,27778.0,69.0,0.12833296106641914,0.0,0.0,0.0,0.0
2020-05-20,0.12892891483115712,0.16324286897538035,0.12844036697247707,232555.0,518.0,27888.0,110.0,0.12833296106641914,0.0,0.0,0.0,0.0
2020-05-21,0.13244983333989382,0.16324286897538035,0.12844036697247707,233037.0,482.0,27940.0,52.0,0.1312783696181863,0.0,0.0,0.0,0.0
2020-05-22,0.12774208836753798,0.155593114726313,0.12844036697247707,234824.0,1787.0,28628.0,688.0,0.12735115821583012,0.0,0.0,0.0,0.0
