date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-09,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1112.0,265.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1296.0,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1567.0,271.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2369.0,802.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3062.0,693.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3795.0,733.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,4838.0,1043.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,6012.0,1174.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,7156.0,1144.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,8198.0,1042.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
