date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-11,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,62.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,73.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,82.0,9.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-03-14,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,102.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-15,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,113.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-16,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,119.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-17,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,142.0,23.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-03-18,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,156.0,14.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-19,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,194.0,38.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-03-20,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,244.0,50.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-03-21,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,330.0,86.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-22,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,396.0,66.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-03-23,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,499.0,103.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-03-24,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,536.0,37.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-25,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,657.0,121.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0
2020-03-26,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,727.0,70.0,20.0,8.0,3.0,0.0,0.0,0.0,0.0
2020-03-27,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,887.0,160.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-03-28,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,987.0,100.0,24.0,4.0,3.0,0.0,0.0,0.0,0.0
2020-03-29,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1024.0,37.0,27.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-03-30,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1251.0,227.0,32.0,5.0,3.0,0.0,0.0,0.0,0.0
2020-03-31,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1397.0,146.0,35.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-04-01,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1998.0,601.0,58.0,23.0,3.0,0.0,0.0,0.0,0.0
2020-04-02,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,2543.0,545.0,72.0,14.0,3.0,0.0,0.0,0.0,0.0
2020-04-03,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,2567.0,24.0,72.0,0.0,3.0,0.0,0.0,0.0,0.0
2020-04-04,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,3082.0,515.0,86.0,14.0,3.0,0.0,0.0,0.0,0.0
2020-04-05,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,3588.0,506.0,99.0,13.0,3.0,0.0,0.0,0.0,0.0
2020-04-06,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,4778.0,1190.0,136.0,37.0,3.0,0.0,0.0,0.0,0.0
2020-04-07,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,5311.0,533.0,150.0,14.0,3.0,0.0,0.0,0.0,0.0
2020-04-08,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,5916.0,605.0,178.0,28.0,3.0,0.0,0.0,0.0,0.0
