,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-24,9.9,11.31,8.33,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-25,9.9,11.31,8.33,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-26,9.9,11.31,8.33,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-27,9.9,11.31,8.33,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-28,9.9,11.31,8.33,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-29,9.9,11.31,8.33,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-01,22.92,26.19,27.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-02,22.92,26.19,27.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-03,22.92,26.19,27.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-04,22.92,26.19,27.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-05,22.92,26.19,27.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-06,22.92,26.19,27.78,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-07,22.92,26.19,27.78,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-08,22.92,26.19,27.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-09,22.92,26.19,27.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-10,22.92,26.19,27.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-11,22.92,26.19,27.78,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-12,22.92,26.19,27.78,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-13,22.92,26.19,27.78,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-14,29.17,33.33,38.89,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-15,29.17,33.33,38.89,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-16,29.17,33.33,38.89,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-17,29.17,33.33,38.89,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-18,30.73,35.12,41.67,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-19,30.73,35.12,41.67,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-20,30.73,35.12,41.67,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-03-21,30.73,35.12,41.67,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-03-22,30.73,35.12,41.67,0.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0
28,2020-03-23,30.73,35.12,41.67,0.0,40.0,6.0,1.0,1.0,0.0,0.0,0.0
29,2020-03-24,35.94,41.07,50.93,0.0,42.0,2.0,1.0,0.0,0.0,0.0,0.0
30,2020-03-25,43.75,50.0,59.26,0.0,74.0,32.0,1.0,0.0,0.0,0.0,0.0
31,2020-03-26,43.75,50.0,59.26,0.0,80.0,6.0,2.0,1.0,0.0,0.0,0.0
32,2020-03-27,43.75,50.0,59.26,0.0,91.0,11.0,2.0,0.0,0.0,0.0,0.0
33,2020-03-28,48.44,55.36,67.59,0.0,106.0,15.0,2.0,0.0,0.0,0.0,0.0
34,2020-03-29,48.44,55.36,67.59,0.0,114.0,8.0,4.0,2.0,0.0,0.0,0.0
35,2020-03-30,48.44,55.36,67.59,0.0,114.0,0.0,4.0,0.0,0.0,0.0,0.0
36,2020-03-31,48.44,55.36,67.59,0.0,166.0,52.0,4.0,0.0,0.0,0.0,0.0
37,2020-04-01,48.44,55.36,67.59,0.0,192.0,26.0,4.0,0.0,0.0,0.0,0.0
38,2020-04-02,48.44,55.36,67.59,0.0,235.0,43.0,4.0,0.0,0.0,0.0,0.0
39,2020-04-03,48.44,55.36,67.59,0.0,269.0,34.0,5.0,1.0,0.0,0.0,0.0
40,2020-04-04,48.44,55.36,67.59,0.0,270.0,1.0,5.0,0.0,0.0,0.0,0.0
41,2020-04-05,54.69,62.5,78.7,0.0,299.0,29.0,7.0,2.0,0.0,0.0,0.0
42,2020-04-06,54.69,62.5,78.7,0.0,337.0,38.0,7.0,0.0,0.0,0.0,0.0
43,2020-04-07,54.69,62.5,78.7,0.0,367.0,30.0,11.0,4.0,0.0,0.0,0.0
44,2020-04-08,54.69,62.5,78.7,0.0,423.0,56.0,14.0,3.0,0.0,0.0,0.0
45,2020-04-09,54.69,62.5,78.7,0.0,444.0,21.0,15.0,1.0,0.0,0.0,0.0
46,2020-04-10,54.69,62.5,78.7,0.0,521.0,77.0,15.0,0.0,0.0,0.0,0.0
47,2020-04-11,54.69,62.5,78.7,0.0,521.0,0.0,15.0,0.0,0.0,0.0,0.0
48,2020-04-12,57.81,66.07,84.26,0.0,555.0,34.0,18.0,3.0,0.0,0.0,0.0
49,2020-04-13,57.81,66.07,84.26,0.0,607.0,52.0,19.0,1.0,0.0,0.0,0.0
50,2020-04-14,57.81,66.07,84.26,0.0,665.0,58.0,22.0,3.0,0.0,0.0,0.0
