,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-02,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-03,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-04,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-05,3.12,3.57,5.56,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-06,3.12,3.57,5.56,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-07,3.12,3.57,5.56,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-08,3.12,3.57,5.56,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-09,3.12,3.57,5.56,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-10,9.38,10.71,16.67,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-11,9.38,10.71,16.67,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-12,17.19,19.64,30.56,0.0,24.0,4.0,1.0,1.0,0.0,0.0,0.0
17,2020-03-13,17.19,19.64,30.56,0.0,26.0,2.0,2.0,1.0,0.0,0.0,0.0
18,2020-03-14,20.31,23.21,36.11,0.0,37.0,11.0,3.0,1.0,0.0,0.0,0.0
19,2020-03-15,20.31,23.21,36.11,0.0,48.0,11.0,4.0,1.0,0.0,0.0,0.0
20,2020-03-16,20.31,23.21,36.11,0.0,54.0,6.0,4.0,0.0,0.0,0.0,0.0
21,2020-03-17,21.88,25.0,38.89,0.0,60.0,6.0,4.0,0.0,0.0,0.0,0.0
22,2020-03-18,21.88,25.0,38.89,0.0,74.0,14.0,7.0,3.0,0.0,0.0,0.0
23,2020-03-19,21.88,25.0,38.89,0.0,87.0,13.0,9.0,2.0,0.0,0.0,0.0
24,2020-03-20,21.88,25.0,38.89,0.0,90.0,3.0,11.0,2.0,0.0,0.0,0.0
25,2020-03-21,21.88,25.0,38.89,0.0,139.0,49.0,15.0,4.0,0.0,0.0,0.0
26,2020-03-22,23.96,27.38,38.89,0.0,201.0,62.0,17.0,2.0,0.0,0.0,0.0
27,2020-03-23,49.48,56.55,75.0,0.0,230.0,29.0,17.0,0.0,0.0,0.0,0.0
28,2020-03-24,49.48,56.55,75.0,0.0,264.0,34.0,19.0,2.0,0.0,0.0,0.0
29,2020-03-25,49.48,56.55,75.0,0.0,302.0,38.0,21.0,2.0,0.0,0.0,0.0
30,2020-03-26,49.48,56.55,75.0,0.0,367.0,65.0,25.0,4.0,0.0,0.0,0.0
31,2020-03-27,49.48,56.55,75.0,0.0,409.0,42.0,26.0,1.0,0.0,0.0,0.0
32,2020-03-28,49.48,56.55,75.0,0.0,454.0,45.0,29.0,3.0,0.0,0.0,0.0
33,2020-03-29,49.48,56.55,75.0,0.0,511.0,57.0,31.0,2.0,0.0,0.0,0.0
34,2020-03-30,55.99,63.99,86.57,0.0,584.0,73.0,35.0,4.0,0.0,0.0,0.0
35,2020-03-31,55.99,63.99,86.57,0.0,716.0,132.0,44.0,9.0,0.0,0.0,0.0
36,2020-04-01,55.99,63.99,86.57,0.0,847.0,131.0,58.0,14.0,0.0,0.0,0.0
37,2020-04-02,55.99,63.99,86.57,0.0,986.0,139.0,86.0,28.0,0.0,0.0,0.0
38,2020-04-03,55.99,63.99,86.57,0.0,1171.0,185.0,105.0,19.0,0.0,0.0,0.0
39,2020-04-04,59.11,63.99,86.57,25.0,1251.0,80.0,130.0,25.0,0.0,0.0,0.0
40,2020-04-05,59.11,63.99,86.57,25.0,1320.0,69.0,152.0,22.0,0.0,0.0,0.0
41,2020-04-06,59.11,63.99,86.57,25.0,1423.0,103.0,173.0,21.0,0.0,0.0,0.0
42,2020-04-07,59.11,63.99,86.57,25.0,1468.0,45.0,193.0,20.0,0.0,0.0,0.0
43,2020-04-08,59.11,63.99,86.57,25.0,1572.0,104.0,205.0,12.0,0.0,0.0,0.0
44,2020-04-09,59.11,63.99,86.57,25.0,1666.0,94.0,235.0,30.0,0.0,0.0,0.0
45,2020-04-10,59.11,63.99,86.57,25.0,1761.0,95.0,256.0,21.0,0.0,0.0,0.0
46,2020-04-11,59.11,63.99,86.57,25.0,1825.0,64.0,275.0,19.0,0.0,0.0,0.0
47,2020-04-12,59.11,63.99,86.57,25.0,1914.0,89.0,293.0,18.0,0.0,0.0,0.0
48,2020-04-13,60.68,63.99,86.57,37.5,1983.0,69.0,313.0,20.0,0.0,0.0,0.0
49,2020-04-14,63.8,67.56,92.13,37.5,2070.0,87.0,326.0,13.0,0.0,0.0,0.0
50,2020-04-15,63.8,67.56,92.13,37.5,2160.0,90.0,336.0,10.0,0.0,0.0,0.0
51,2020-04-16,63.8,67.56,92.13,37.5,2268.0,108.0,348.0,12.0,0.0,0.0,0.0
52,2020-04-17,63.8,67.56,92.13,37.5,2418.0,150.0,364.0,16.0,0.0,0.0,0.0
53,2020-04-18,63.8,67.56,92.13,37.5,2534.0,116.0,367.0,3.0,0.0,0.0,0.0
54,2020-04-19,63.8,67.56,92.13,37.5,2629.0,95.0,375.0,8.0,0.0,0.0,0.0
55,2020-04-20,63.8,67.56,92.13,37.5,2718.0,89.0,384.0,9.0,0.0,0.0,0.0
56,2020-04-21,63.8,67.56,92.13,37.5,2811.0,93.0,392.0,8.0,0.0,0.0,0.0
57,2020-04-22,63.8,67.56,92.13,37.5,2910.0,99.0,402.0,10.0,0.0,0.0,0.0
58,2020-04-23,68.49,72.92,92.13,37.5,3007.0,97.0,407.0,5.0,0.0,0.0,0.0
59,2020-04-24,53.12,55.36,76.85,37.5,3127.0,120.0,415.0,8.0,0.0,0.0,0.0
60,2020-04-25,53.12,55.36,76.85,37.5,3256.0,129.0,419.0,4.0,0.0,0.0,0.0
61,2020-04-26,53.12,55.36,76.85,37.5,3382.0,126.0,425.0,6.0,0.0,0.0,0.0
62,2020-04-27,53.12,55.36,76.85,37.5,3517.0,135.0,432.0,7.0,0.0,0.0,0.0
63,2020-04-28,53.12,55.36,76.85,37.5,3649.0,132.0,437.0,5.0,0.0,0.0,0.0
64,2020-04-29,53.12,55.36,76.85,37.5,3848.0,199.0,444.0,7.0,0.0,0.0,0.0
65,2020-04-30,53.12,55.36,76.85,37.5,4006.0,158.0,450.0,6.0,0.0,0.0,0.0
66,2020-05-01,53.12,55.36,76.85,37.5,4154.0,148.0,453.0,3.0,0.0,0.0,0.0
67,2020-05-02,53.12,55.36,76.85,37.5,4295.0,141.0,459.0,6.0,0.0,0.0,0.0
68,2020-05-03,53.12,55.36,76.85,37.5,4474.0,179.0,463.0,4.0,0.0,0.0,0.0
69,2020-05-04,53.12,55.36,76.85,37.5,4648.0,174.0,465.0,2.0,0.0,0.0,0.0
70,2020-05-05,53.12,55.36,76.85,37.5,4838.0,190.0,470.0,5.0,0.0,0.0,0.0
71,2020-05-06,53.12,55.36,76.85,37.5,4997.0,159.0,476.0,6.0,0.0,0.0,0.0
72,2020-05-07,53.12,55.36,76.85,37.5,5182.0,185.0,483.0,7.0,0.0,0.0,0.0
73,2020-05-08,53.12,55.36,76.85,37.5,5369.0,187.0,488.0,5.0,0.0,0.0,0.0
74,2020-05-09,53.12,55.36,76.85,37.5,5558.0,189.0,494.0,6.0,0.0,0.0,0.0
75,2020-05-10,53.12,55.36,76.85,37.5,5723.0,165.0,502.0,8.0,0.0,0.0,0.0
76,2020-05-11,53.12,55.36,76.85,37.5,5891.0,168.0,507.0,5.0,0.0,0.0,0.0
77,2020-05-12,59.37,62.5,87.96,37.5,6067.0,176.0,515.0,8.0,0.0,0.0,0.0
78,2020-05-13,59.37,62.5,87.96,37.5,6253.0,186.0,522.0,7.0,0.0,0.0,0.0
79,2020-05-14,53.12,55.36,76.85,37.5,6442.0,189.0,529.0,7.0,0.0,0.0,0.0
80,2020-05-15,53.12,55.36,76.85,37.5,6629.0,187.0,536.0,7.0,0.0,0.0,0.0
81,2020-05-16,53.12,55.36,76.85,37.5,6821.0,192.0,542.0,6.0,0.0,0.0,0.0
82,2020-05-17,53.12,55.36,76.85,37.5,7019.0,198.0,548.0,6.0,0.0,0.0,0.0
83,2020-05-18,53.12,55.36,76.85,37.5,7201.0,182.0,555.0,7.0,0.0,0.0,0.0
84,2020-05-19,53.12,55.36,76.85,37.5,7377.0,176.0,561.0,6.0,0.0,0.0,0.0
85,2020-05-20,53.12,55.36,76.85,37.5,7542.0,165.0,568.0,7.0,0.0,0.0,0.0
86,2020-05-21,53.12,55.36,76.85,37.5,7728.0,186.0,575.0,7.0,0.0,0.0,0.0
87,2020-05-22,53.12,55.36,76.85,37.5,7918.0,190.0,582.0,7.0,0.0,0.0,0.0
88,2020-05-23,53.12,55.36,76.85,37.5,8113.0,195.0,592.0,10.0,0.0,0.0,0.0
89,2020-05-24,57.81,60.71,76.85,37.5,8306.0,193.0,600.0,8.0,0.0,0.0,0.0
90,2020-05-25,57.81,60.71,76.85,37.5,8503.0,197.0,609.0,9.0,0.0,0.0,0.0
91,2020-05-26,57.81,60.71,76.85,37.5,8697.0,194.0,617.0,8.0,0.0,0.0,0.0
92,2020-05-27,57.81,60.71,76.85,37.5,8857.0,160.0,623.0,6.0,0.0,0.0,0.0
93,2020-05-28,57.81,60.71,76.85,37.5,8997.0,140.0,630.0,7.0,0.0,0.0,0.0
94,2020-05-29,57.81,60.71,76.85,37.5,9134.0,137.0,638.0,8.0,0.0,0.0,0.0
95,2020-05-30,57.81,60.71,76.85,37.5,9267.0,133.0,646.0,8.0,0.0,0.0,0.0
96,2020-05-31,57.81,60.71,76.85,37.5,9394.0,127.0,653.0,7.0,0.0,0.0,0.0
97,2020-06-01,57.81,60.71,76.85,37.5,9513.0,119.0,661.0,8.0,0.0,0.0,0.0
98,2020-06-02,57.81,60.71,76.85,37.5,9626.0,113.0,667.0,6.0,0.0,0.0,0.0
99,2020-06-03,57.81,60.71,76.85,37.5,9733.0,107.0,673.0,6.0,0.0,0.0,0.0
100,2020-06-04,60.94,60.71,76.85,62.5,9831.0,98.0,681.0,8.0,0.0,0.0,0.0
101,2020-06-05,60.94,60.71,76.85,62.5,9935.0,104.0,690.0,9.0,0.0,0.0,0.0
102,2020-06-06,60.94,60.71,76.85,62.5,10050.0,115.0,698.0,8.0,0.0,0.0,0.0
103,2020-06-07,60.94,60.71,76.85,62.5,10154.0,104.0,707.0,9.0,0.0,0.0,0.0
104,2020-06-08,60.94,60.71,76.85,62.5,10265.0,111.0,715.0,8.0,0.0,0.0,0.0
105,2020-06-09,60.94,60.71,76.85,62.5,10382.0,117.0,724.0,9.0,0.0,0.0,0.0
106,2020-06-10,60.94,60.71,76.85,62.5,10484.0,102.0,732.0,8.0,0.0,0.0,0.0
107,2020-06-11,60.94,60.71,76.85,62.5,10589.0,105.0,741.0,9.0,0.0,0.0,0.0
108,2020-06-12,60.94,60.71,76.85,62.5,10698.0,109.0,751.0,10.0,0.0,0.0,0.0
109,2020-06-13,60.94,60.71,76.85,62.5,10810.0,112.0,760.0,9.0,0.0,0.0,0.0
110,2020-06-14,53.12,53.57,65.74,50.0,10919.0,109.0,767.0,7.0,0.0,0.0,0.0
111,2020-06-15,53.12,53.57,65.74,50.0,11031.0,112.0,777.0,10.0,0.0,0.0,0.0
112,2020-06-16,53.12,53.57,65.74,50.0,11147.0,116.0,788.0,11.0,0.0,0.0,0.0
113,2020-06-17,53.12,53.57,65.74,50.0,11268.0,121.0,799.0,11.0,0.0,0.0,0.0
114,2020-06-18,53.12,53.57,65.74,50.0,11385.0,117.0,811.0,12.0,0.0,0.0,0.0
115,2020-06-19,53.12,53.57,65.74,50.0,11504.0,119.0,825.0,14.0,0.0,0.0,0.0
116,2020-06-20,53.12,53.57,65.74,50.0,11631.0,127.0,837.0,12.0,0.0,0.0,0.0
117,2020-06-21,53.12,53.57,65.74,50.0,11771.0,140.0,845.0,8.0,0.0,0.0,0.0
118,2020-06-22,53.12,53.57,65.74,50.0,11920.0,149.0,852.0,7.0,0.0,0.0,0.0
119,2020-06-23,53.12,53.57,65.74,50.0,12076.0,156.0,861.0,9.0,0.0,0.0,0.0
120,2020-06-24,53.12,53.57,65.74,50.0,12248.0,172.0,869.0,8.0,0.0,0.0,0.0
121,2020-06-25,53.12,53.57,65.74,50.0,12445.0,197.0,878.0,9.0,0.0,0.0,0.0
122,2020-06-26,53.12,53.57,65.74,50.0,12685.0,240.0,885.0,7.0,0.0,0.0,0.0
123,2020-06-27,53.12,53.57,65.74,50.0,12968.0,283.0,892.0,7.0,0.0,0.0,0.0
124,2020-06-28,59.37,60.71,65.74,50.0,13273.0,305.0,897.0,5.0,0.0,0.0,0.0
125,2020-06-29,59.37,60.71,65.74,50.0,13571.0,298.0,905.0,8.0,0.0,0.0,0.0
126,2020-06-30,59.37,60.71,65.74,50.0,13907.0,336.0,912.0,7.0,0.0,0.0,0.0
127,2020-07-01,59.37,60.71,65.74,50.0,14272.0,365.0,920.0,8.0,0.0,0.0,0.0
128,2020-07-02,59.37,60.71,65.74,50.0,14657.0,385.0,928.0,8.0,0.0,0.0,0.0
129,2020-07-03,59.37,60.71,65.74,50.0,15070.0,413.0,937.0,9.0,0.0,0.0,0.0
130,2020-07-04,59.37,60.71,65.74,50.0,15500.0,430.0,946.0,9.0,0.0,0.0,0.0
131,2020-07-05,59.37,60.71,65.74,50.0,15941.0,441.0,952.0,6.0,0.0,0.0,0.0
132,2020-07-06,59.37,60.71,65.74,50.0,16404.0,463.0,959.0,7.0,0.0,0.0,0.0
133,2020-07-07,59.37,60.71,65.74,50.0,16879.0,475.0,968.0,9.0,0.0,0.0,0.0
134,2020-07-08,59.37,60.71,65.74,50.0,17348.0,469.0,978.0,10.0,0.0,0.0,0.0
135,2020-07-09,59.37,60.71,65.74,50.0,17808.0,460.0,988.0,10.0,0.0,0.0,0.0
136,2020-07-10,64.06,66.07,74.07,50.0,18242.0,434.0,996.0,8.0,0.0,0.0,0.0
137,2020-07-11,64.06,66.07,74.07,50.0,18712.0,470.0,1004.0,8.0,0.0,0.0,0.0
138,2020-07-12,64.06,66.07,74.07,50.0,19195.0,483.0,1011.0,7.0,0.0,0.0,0.0
139,2020-07-13,64.06,66.07,74.07,50.0,19689.0,494.0,1018.0,7.0,0.0,0.0,0.0
140,2020-07-14,64.06,66.07,74.07,50.0,20216.0,527.0,1028.0,10.0,0.0,0.0,0.0
141,2020-07-15,64.06,66.07,74.07,50.0,20770.0,554.0,1040.0,12.0,0.0,0.0,0.0
142,2020-07-16,64.06,66.07,74.07,50.0,21355.0,585.0,1052.0,12.0,0.0,0.0,0.0
143,2020-07-17,64.06,66.07,74.07,50.0,21948.0,593.0,1057.0,5.0,0.0,0.0,0.0
144,2020-07-18,64.06,66.07,74.07,50.0,22549.0,601.0,1068.0,11.0,0.0,0.0,0.0
145,2020-07-19,64.06,66.07,74.07,50.0,23084.0,535.0,1078.0,10.0,0.0,0.0,0.0
146,2020-07-20,64.06,66.07,74.07,50.0,23691.0,607.0,1087.0,9.0,0.0,0.0,0.0
147,2020-07-21,64.06,66.07,74.07,50.0,24278.0,587.0,1100.0,13.0,0.0,0.0,0.0
148,2020-07-22,64.06,66.07,74.07,50.0,24872.0,594.0,1111.0,11.0,0.0,0.0,0.0
149,2020-07-23,64.06,66.07,74.07,50.0,25484.0,612.0,1124.0,13.0,0.0,0.0,0.0
