,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-03,12.5,14.29,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-04,20.83,23.81,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-05,20.83,23.81,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-06,20.83,23.81,11.11,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-07,20.83,23.81,11.11,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-08,20.83,23.81,11.11,0.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0
6,2020-03-09,20.83,23.81,11.11,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-10,20.83,23.81,11.11,0.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-11,28.65,32.74,25.0,0.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-12,28.65,32.74,25.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-13,28.65,32.74,25.0,0.0,31.0,12.0,2.0,1.0,0.0,0.0,0.0
11,2020-03-14,28.65,32.74,25.0,0.0,34.0,3.0,2.0,0.0,0.0,0.0,0.0
12,2020-03-15,28.65,32.74,25.0,0.0,45.0,11.0,2.0,0.0,0.0,0.0,0.0
13,2020-03-16,38.02,43.45,41.67,0.0,56.0,11.0,2.0,0.0,0.0,0.0,0.0
14,2020-03-17,38.02,43.45,41.67,0.0,68.0,12.0,2.0,0.0,0.0,0.0,0.0
15,2020-03-18,38.02,43.45,41.67,0.0,79.0,11.0,2.0,0.0,0.0,0.0,0.0
16,2020-03-19,56.77,64.88,75.0,0.0,97.0,18.0,3.0,1.0,0.0,0.0,0.0
17,2020-03-20,64.58,73.81,88.89,0.0,128.0,31.0,3.0,0.0,0.0,0.0,0.0
18,2020-03-21,64.58,73.81,88.89,0.0,158.0,30.0,4.0,1.0,0.0,0.0,0.0
19,2020-03-22,64.58,73.81,88.89,0.0,266.0,108.0,4.0,0.0,0.0,0.0,0.0
