,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-01,19.27,22.02,19.44,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,19.27,22.02,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,27.6,31.55,30.56,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,27.6,31.55,30.56,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,27.6,31.55,30.56,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,27.6,31.55,30.56,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,27.6,31.55,30.56,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,27.6,31.55,30.56,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,27.6,31.55,30.56,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,30.73,35.12,36.11,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,30.73,35.12,36.11,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,30.73,35.12,36.11,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,30.73,35.12,36.11,0.0,15.0,4.0,1.0,1.0,0.0,0.0,0.0
13,2020-03-14,46.35,52.98,52.78,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-15,46.35,52.98,52.78,0.0,23.0,8.0,1.0,0.0,0.0,0.0,0.0
15,2020-03-16,46.35,52.98,52.78,0.0,28.0,5.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-17,46.35,52.98,52.78,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-18,46.35,52.98,52.78,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
18,2020-03-19,51.04,58.33,61.11,0.0,44.0,16.0,1.0,0.0,0.0,0.0,0.0
19,2020-03-20,51.04,58.33,61.11,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0
20,2020-03-21,51.04,58.33,61.11,0.0,53.0,9.0,1.0,0.0,0.0,0.0,0.0
21,2020-03-22,51.04,58.33,61.11,0.0,65.0,12.0,1.0,0.0,0.0,0.0,0.0
22,2020-03-23,55.21,63.1,68.52,0.0,72.0,7.0,1.0,0.0,0.0,0.0,0.0
23,2020-03-24,55.21,63.1,68.52,0.0,87.0,15.0,1.0,0.0,0.0,0.0,0.0
24,2020-03-25,55.21,63.1,68.52,0.0,93.0,6.0,2.0,1.0,0.0,0.0,0.0
25,2020-03-26,55.21,63.1,68.52,0.0,122.0,29.0,3.0,1.0,0.0,0.0,0.0
26,2020-03-27,55.21,63.1,68.52,0.0,165.0,43.0,3.0,0.0,0.0,0.0,0.0
27,2020-03-28,55.21,63.1,68.52,0.0,182.0,17.0,4.0,1.0,0.0,0.0,0.0
28,2020-03-29,55.21,63.1,68.52,0.0,209.0,27.0,4.0,0.0,0.0,0.0,0.0
29,2020-03-30,55.21,63.1,68.52,0.0,273.0,64.0,4.0,0.0,0.0,0.0,0.0
30,2020-03-31,66.67,76.19,88.89,0.0,298.0,25.0,5.0,1.0,0.0,0.0,0.0
31,2020-04-01,66.67,76.19,88.89,0.0,359.0,61.0,5.0,0.0,0.0,0.0,0.0
32,2020-04-02,66.67,76.19,88.89,0.0,400.0,41.0,5.0,0.0,0.0,0.0,0.0
33,2020-04-03,66.67,76.19,88.89,0.0,443.0,43.0,5.0,0.0,0.0,0.0,0.0
34,2020-04-04,66.67,76.19,88.89,0.0,521.0,78.0,5.0,0.0,0.0,0.0,0.0
35,2020-04-05,66.67,76.19,88.89,0.0,584.0,63.0,7.0,2.0,0.0,0.0,0.0
36,2020-04-06,66.67,76.19,88.89,0.0,641.0,57.0,7.0,0.0,0.0,0.0,0.0
37,2020-04-07,66.67,76.19,88.89,0.0,717.0,76.0,8.0,1.0,0.0,0.0,0.0
38,2020-04-08,72.92,76.19,88.89,50.0,822.0,105.0,8.0,0.0,0.0,0.0,0.0
39,2020-04-09,72.92,76.19,88.89,50.0,926.0,104.0,9.0,1.0,0.0,0.0,0.0
40,2020-04-10,72.92,76.19,88.89,50.0,991.0,65.0,10.0,1.0,0.0,0.0,0.0
41,2020-04-11,72.92,76.19,88.89,50.0,1058.0,67.0,11.0,1.0,0.0,0.0,0.0
42,2020-04-12,72.92,76.19,88.89,50.0,1098.0,40.0,11.0,0.0,0.0,0.0,0.0
43,2020-04-13,72.92,76.19,88.89,50.0,1148.0,50.0,12.0,1.0,0.0,0.0,0.0
44,2020-04-14,72.92,76.19,88.89,50.0,1197.0,49.0,13.0,1.0,0.0,0.0,0.0
45,2020-04-15,72.92,76.19,88.89,50.0,1253.0,56.0,13.0,0.0,0.0,0.0,0.0
46,2020-04-16,74.48,77.98,91.67,50.0,1283.0,30.0,15.0,2.0,0.0,0.0,0.0
47,2020-04-17,74.48,77.98,91.67,50.0,1340.0,57.0,15.0,0.0,0.0,0.0,0.0
48,2020-04-18,74.48,77.98,91.67,50.0,1373.0,33.0,18.0,3.0,0.0,0.0,0.0
49,2020-04-19,74.48,77.98,91.67,50.0,1398.0,25.0,19.0,1.0,0.0,0.0,0.0
50,2020-04-20,74.48,77.98,91.67,50.0,1436.0,38.0,19.0,0.0,0.0,0.0,0.0
51,2020-04-21,74.48,77.98,91.67,50.0,1480.0,44.0,20.0,1.0,0.0,0.0,0.0
52,2020-04-22,74.48,77.98,91.67,50.0,1518.0,38.0,20.0,0.0,0.0,0.0,0.0
53,2020-04-23,74.48,77.98,91.67,50.0,1548.0,30.0,20.0,0.0,0.0,0.0,0.0
54,2020-04-24,74.48,77.98,91.67,50.0,1592.0,44.0,21.0,1.0,0.0,0.0,0.0
55,2020-04-25,74.48,77.98,91.67,50.0,1617.0,25.0,21.0,0.0,0.0,0.0,0.0
56,2020-04-26,74.48,77.98,91.67,50.0,1645.0,28.0,21.0,0.0,0.0,0.0,0.0
57,2020-04-27,72.4,75.6,87.96,50.0,1678.0,33.0,22.0,1.0,0.0,0.0,0.0
58,2020-04-28,72.4,75.6,87.96,50.0,1717.0,39.0,22.0,0.0,0.0,0.0,0.0
59,2020-04-29,72.4,75.6,87.96,50.0,1766.0,49.0,23.0,1.0,0.0,0.0,0.0
60,2020-04-30,72.4,75.6,87.96,50.0,1804.0,38.0,24.0,1.0,0.0,0.0,0.0
61,2020-05-01,72.4,75.6,87.96,50.0,1854.0,50.0,25.0,1.0,0.0,0.0,0.0
62,2020-05-02,72.4,75.6,87.96,50.0,1894.0,40.0,25.0,0.0,0.0,0.0,0.0
63,2020-05-03,72.4,75.6,87.96,50.0,1932.0,38.0,25.0,0.0,0.0,0.0,0.0
64,2020-05-04,72.4,75.6,87.96,50.0,1984.0,52.0,26.0,1.0,0.0,0.0,0.0
65,2020-05-05,72.4,75.6,87.96,50.0,2060.0,76.0,26.0,0.0,0.0,0.0,0.0
66,2020-05-06,72.4,75.6,87.96,50.0,2127.0,67.0,28.0,2.0,0.0,0.0,0.0
67,2020-05-07,72.4,75.6,87.96,50.0,2204.0,77.0,28.0,0.0,0.0,0.0,0.0
68,2020-05-08,72.4,75.6,87.96,50.0,2279.0,75.0,28.0,0.0,0.0,0.0,0.0
69,2020-05-09,70.83,73.81,85.19,50.0,2422.0,143.0,31.0,3.0,0.0,0.0,0.0
70,2020-05-10,70.83,73.81,85.19,50.0,2519.0,97.0,32.0,1.0,0.0,0.0,0.0
71,2020-05-11,70.83,73.81,85.19,50.0,2589.0,70.0,32.0,0.0,0.0,0.0,0.0
72,2020-05-12,70.83,73.81,85.19,50.0,2693.0,104.0,33.0,1.0,0.0,0.0,0.0
73,2020-05-13,70.83,73.81,85.19,50.0,2758.0,65.0,35.0,2.0,0.0,0.0,0.0
74,2020-05-14,70.83,73.81,85.19,50.0,2879.0,121.0,35.0,0.0,0.0,0.0,0.0
75,2020-05-15,70.83,73.81,85.19,50.0,2980.0,101.0,36.0,1.0,0.0,0.0,0.0
76,2020-05-16,70.83,73.81,85.19,50.0,3138.0,158.0,36.0,0.0,0.0,0.0,0.0
77,2020-05-17,69.79,72.62,83.33,50.0,3274.0,136.0,39.0,3.0,0.0,0.0,0.0
78,2020-05-18,61.46,63.1,75.93,50.0,3387.0,113.0,40.0,1.0,0.0,0.0,0.0
79,2020-05-19,61.46,63.1,75.93,50.0,3518.0,131.0,41.0,1.0,0.0,0.0,0.0
80,2020-05-20,61.46,63.1,75.93,50.0,3631.0,113.0,43.0,2.0,0.0,0.0,0.0
81,2020-05-21,61.46,63.1,75.93,50.0,3749.0,118.0,44.0,1.0,0.0,0.0,0.0
82,2020-05-22,61.46,63.1,75.93,50.0,3855.0,106.0,46.0,2.0,0.0,0.0,0.0
83,2020-05-23,61.46,63.1,75.93,50.0,3982.0,127.0,49.0,3.0,0.0,0.0,0.0
84,2020-05-24,61.46,63.1,75.93,50.0,4122.0,140.0,49.0,0.0,0.0,0.0,0.0
85,2020-05-25,61.46,63.1,75.93,50.0,4271.0,149.0,51.0,2.0,0.0,0.0,0.0
86,2020-05-26,61.46,63.1,75.93,50.0,4403.0,132.0,52.0,1.0,0.0,0.0,0.0
87,2020-05-27,61.46,63.1,75.93,50.0,4568.0,165.0,54.0,2.0,0.0,0.0,0.0
88,2020-05-28,61.46,63.1,75.93,50.0,4759.0,191.0,56.0,2.0,0.0,0.0,0.0
89,2020-05-29,61.46,63.1,75.93,50.0,4989.0,230.0,58.0,2.0,0.0,0.0,0.0
90,2020-05-30,61.46,63.1,75.93,50.0,5246.0,257.0,61.0,3.0,0.0,0.0,0.0
91,2020-05-31,61.46,63.1,75.93,50.0,5494.0,248.0,63.0,2.0,0.0,0.0,0.0
92,2020-06-01,61.46,63.1,75.93,50.0,5662.0,168.0,68.0,5.0,0.0,0.0,0.0
93,2020-06-02,61.46,63.1,75.93,50.0,5935.0,273.0,71.0,3.0,0.0,0.0,0.0
94,2020-06-03,70.31,73.21,83.33,50.0,6260.0,325.0,76.0,5.0,0.0,0.0,0.0
95,2020-06-04,70.31,73.21,83.33,50.0,6522.0,262.0,78.0,2.0,0.0,0.0,0.0
96,2020-06-05,70.31,73.21,83.33,50.0,6860.0,338.0,82.0,4.0,0.0,0.0,0.0
97,2020-06-06,71.35,74.4,85.19,50.0,7239.0,379.0,84.0,2.0,0.0,0.0,0.0
98,2020-06-07,71.35,74.4,85.19,50.0,7553.0,314.0,88.0,4.0,0.0,0.0,0.0
99,2020-06-08,67.19,69.64,77.78,50.0,7876.0,323.0,93.0,5.0,0.0,0.0,0.0
100,2020-06-09,67.19,69.64,77.78,50.0,8191.0,315.0,98.0,5.0,0.0,0.0,0.0
101,2020-06-10,67.19,69.64,77.78,50.0,8530.0,339.0,102.0,4.0,0.0,0.0,0.0
102,2020-06-11,67.19,69.64,77.78,50.0,8882.0,352.0,108.0,6.0,0.0,0.0,0.0
103,2020-06-12,67.19,69.64,77.78,50.0,9218.0,336.0,113.0,5.0,0.0,0.0,0.0
104,2020-06-13,67.19,69.64,77.78,50.0,9570.0,352.0,115.0,2.0,0.0,0.0,0.0
105,2020-06-14,70.31,73.21,83.33,50.0,9957.0,387.0,119.0,4.0,0.0,0.0,0.0
106,2020-06-15,70.31,73.21,83.33,50.0,10324.0,367.0,122.0,3.0,0.0,0.0,0.0
107,2020-06-16,70.31,73.21,83.33,50.0,10662.0,338.0,126.0,4.0,0.0,0.0,0.0
108,2020-06-17,67.19,69.64,77.78,50.0,10991.0,329.0,133.0,7.0,0.0,0.0,0.0
109,2020-06-18,67.19,69.64,77.78,50.0,11329.0,338.0,139.0,6.0,0.0,0.0,0.0
110,2020-06-19,67.19,69.64,77.78,50.0,11767.0,438.0,143.0,4.0,0.0,0.0,0.0
111,2020-06-20,67.19,69.64,77.78,50.0,12238.0,471.0,148.0,5.0,0.0,0.0,0.0
112,2020-06-21,78.65,82.74,96.3,50.0,12729.0,491.0,154.0,6.0,0.0,0.0,0.0
113,2020-06-22,78.65,82.74,96.3,50.0,13207.0,478.0,161.0,7.0,0.0,0.0,0.0
114,2020-06-23,78.65,82.74,96.3,50.0,13715.0,508.0,167.0,6.0,0.0,0.0,0.0
115,2020-06-24,78.65,82.74,96.3,50.0,14305.0,590.0,174.0,7.0,0.0,0.0,0.0
116,2020-06-25,78.65,82.74,96.3,50.0,14852.0,547.0,180.0,6.0,0.0,0.0,0.0
117,2020-06-26,78.65,82.74,96.3,50.0,15369.0,517.0,187.0,7.0,0.0,0.0,0.0
118,2020-06-27,78.65,82.74,96.3,50.0,15890.0,521.0,193.0,6.0,0.0,0.0,0.0
119,2020-06-28,78.65,82.74,96.3,50.0,16424.0,534.0,198.0,5.0,0.0,0.0,0.0
120,2020-06-29,78.65,82.74,96.3,50.0,16968.0,544.0,206.0,8.0,0.0,0.0,0.0
121,2020-06-30,78.65,82.74,96.3,50.0,17524.0,556.0,213.0,7.0,0.0,0.0,0.0
122,2020-07-01,78.65,82.74,96.3,50.0,18112.0,588.0,220.0,7.0,0.0,0.0,0.0
123,2020-07-02,78.65,82.74,96.3,50.0,18684.0,572.0,228.0,8.0,0.0,0.0,0.0
124,2020-07-03,78.65,82.74,96.3,50.0,19267.0,583.0,235.0,7.0,0.0,0.0,0.0
125,2020-07-04,78.65,82.74,96.3,50.0,19801.0,534.0,241.0,6.0,0.0,0.0,0.0
126,2020-07-05,78.65,82.74,96.3,50.0,20324.0,523.0,250.0,9.0,0.0,0.0,0.0
127,2020-07-06,78.65,82.74,96.3,50.0,20837.0,513.0,258.0,8.0,0.0,0.0,0.0
128,2020-07-07,78.65,82.74,96.3,50.0,21374.0,537.0,265.0,7.0,0.0,0.0,0.0
129,2020-07-08,78.65,82.74,96.3,50.0,21916.0,542.0,274.0,9.0,0.0,0.0,0.0
130,2020-07-09,78.65,82.74,96.3,50.0,22464.0,548.0,284.0,10.0,0.0,0.0,0.0
131,2020-07-10,78.65,82.74,96.3,50.0,22990.0,526.0,292.0,8.0,0.0,0.0,0.0
132,2020-07-11,78.65,82.74,96.3,50.0,23521.0,531.0,298.0,6.0,0.0,0.0,0.0
133,2020-07-12,78.65,82.74,96.3,50.0,24041.0,520.0,306.0,8.0,0.0,0.0,0.0
134,2020-07-13,78.65,82.74,96.3,50.0,24570.0,529.0,313.0,7.0,0.0,0.0,0.0
135,2020-07-14,78.65,82.74,96.3,50.0,25113.0,543.0,319.0,6.0,0.0,0.0,0.0
136,2020-07-15,78.65,82.74,96.3,50.0,25672.0,559.0,326.0,7.0,0.0,0.0,0.0
137,2020-07-16,78.65,82.74,96.3,50.0,26165.0,493.0,334.0,8.0,0.0,0.0,0.0
138,2020-07-17,78.65,82.74,96.3,50.0,26636.0,471.0,341.0,7.0,0.0,0.0,0.0
139,2020-07-18,78.65,82.74,96.3,50.0,27133.0,497.0,349.0,8.0,0.0,0.0,0.0
140,2020-07-19,78.65,82.74,96.3,50.0,27521.0,388.0,354.0,5.0,0.0,0.0,0.0
141,2020-07-20,78.65,82.74,96.3,50.0,27890.0,369.0,363.0,9.0,0.0,0.0,0.0
142,2020-07-21,78.65,82.74,96.3,50.0,28242.0,352.0,376.0,13.0,0.0,0.0,0.0
143,2020-07-22,78.65,82.74,96.3,50.0,28633.0,391.0,385.0,9.0,0.0,0.0,0.0
144,2020-07-23,78.65,82.74,96.3,50.0,28980.0,347.0,391.0,6.0,0.0,0.0,0.0
145,2020-07-24,78.65,82.74,96.3,50.0,29312.0,332.0,400.0,9.0,0.0,0.0,0.0
146,2020-07-25,78.65,82.74,96.3,50.0,29633.0,321.0,408.0,8.0,0.0,0.0,0.0
147,2020-07-26,78.65,82.74,96.3,50.0,30050.0,417.0,417.0,9.0,0.0,0.0,0.0
148,2020-07-27,78.65,82.74,96.3,50.0,30446.0,396.0,423.0,6.0,0.0,0.0,0.0
149,2020-07-28,77.08,80.95,93.52,50.0,30858.0,412.0,430.0,7.0,0.0,0.0,0.0
150,2020-07-29,77.08,80.95,93.52,50.0,31221.0,363.0,438.0,8.0,0.0,0.0,0.0
151,2020-07-30,77.08,80.95,93.52,50.0,31560.0,339.0,441.0,3.0,0.0,0.0,0.0
152,2020-07-31,77.08,80.95,93.52,50.0,31878.0,318.0,448.0,7.0,0.0,0.0,0.0
153,2020-08-01,77.08,80.95,93.52,50.0,32157.0,279.0,454.0,6.0,0.0,0.0,0.0
154,2020-08-02,77.08,80.95,93.52,50.0,32443.0,286.0,462.0,8.0,0.0,0.0,0.0
155,2020-08-03,77.08,80.95,93.52,50.0,32684.0,241.0,468.0,6.0,0.0,0.0,0.0
156,2020-08-04,77.08,80.95,93.52,50.0,32910.0,226.0,473.0,5.0,0.0,0.0,0.0
157,2020-08-05,75.0,78.57,93.52,50.0,33103.0,193.0,476.0,3.0,0.0,0.0,0.0
158,2020-08-06,75.0,78.57,93.52,50.0,33247.0,144.0,479.0,3.0,0.0,0.0,0.0
159,2020-08-07,75.0,78.57,93.52,50.0,33376.0,129.0,483.0,4.0,0.0,0.0,0.0
160,2020-08-08,75.0,78.57,93.52,50.0,33481.0,105.0,488.0,5.0,0.0,0.0,0.0
161,2020-08-09,75.0,78.57,93.52,50.0,33568.0,87.0,490.0,2.0,0.0,0.0,0.0
162,2020-08-10,70.31,73.21,85.19,50.0,33647.0,79.0,492.0,2.0,0.0,0.0,0.0
