,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-16,20.83,23.81,22.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-17,23.96,23.81,22.22,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-18,26.04,26.19,22.22,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-19,27.6,27.98,22.22,25.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-20,56.77,61.31,74.07,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-21,56.77,61.31,74.07,25.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-22,59.9,61.31,74.07,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-23,59.9,61.31,74.07,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-24,79.69,80.36,96.3,75.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-25,79.69,80.36,96.3,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-26,79.69,80.36,96.3,75.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-27,79.69,80.36,96.3,75.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-28,79.69,80.36,96.3,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-29,79.69,80.36,96.3,75.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-30,79.69,80.36,96.3,75.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-31,79.69,80.36,96.3,75.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-01,79.69,80.36,96.3,75.0,21.0,7.0,1.0,1.0,0.0,0.0,0.0
17,2020-04-02,79.69,80.36,96.3,75.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-03,79.69,80.36,96.3,75.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-04,79.69,80.36,96.3,75.0,28.0,4.0,4.0,3.0,0.0,0.0,0.0
20,2020-04-05,79.69,80.36,96.3,75.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0
21,2020-04-06,79.69,80.36,96.3,75.0,29.0,1.0,5.0,1.0,0.0,0.0,0.0
22,2020-04-07,79.69,80.36,96.3,75.0,33.0,4.0,6.0,1.0,0.0,0.0,0.0
23,2020-04-08,84.38,85.71,96.3,75.0,40.0,7.0,7.0,1.0,0.0,0.0,0.0
