,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-24,25.52,25.6,25.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-25,25.52,25.6,25.0,25.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-26,30.73,31.55,30.56,25.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-27,30.73,31.55,30.56,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-28,30.73,31.55,30.56,25.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-29,30.73,31.55,30.56,25.0,41.0,5.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-01,30.73,31.55,30.56,25.0,47.0,6.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-02,30.73,31.55,30.56,25.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-03,30.73,31.55,30.56,25.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-04,30.73,31.55,30.56,25.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-05,30.73,31.55,30.56,25.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-06,30.73,31.55,30.56,25.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-07,30.73,31.55,30.56,25.0,85.0,25.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-08,30.73,31.55,30.56,25.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-09,30.73,31.55,30.56,25.0,95.0,10.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-10,30.73,31.55,30.56,25.0,110.0,15.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-11,30.73,31.55,30.56,25.0,195.0,85.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-12,30.73,31.55,30.56,25.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-13,30.73,31.55,30.56,25.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-14,30.73,31.55,30.56,25.0,210.0,15.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-15,30.73,31.55,30.56,25.0,214.0,4.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-16,30.73,31.55,30.56,25.0,214.0,0.0,1.0,1.0,0.0,0.0,0.0
22,2020-03-17,30.73,31.55,30.56,25.0,228.0,14.0,1.0,0.0,0.0,0.0,0.0
23,2020-03-18,53.12,57.14,66.67,25.0,256.0,28.0,1.0,0.0,0.0,0.0,0.0
24,2020-03-19,56.25,57.14,66.67,50.0,278.0,22.0,1.0,0.0,0.0,0.0,0.0
25,2020-03-20,56.25,57.14,66.67,50.0,285.0,7.0,1.0,0.0,0.0,0.0,0.0
26,2020-03-21,56.25,57.14,66.67,50.0,305.0,20.0,1.0,0.0,0.0,0.0,0.0
27,2020-03-22,57.81,58.93,69.44,50.0,334.0,29.0,2.0,1.0,0.0,0.0,0.0
28,2020-03-23,57.81,58.93,69.44,50.0,377.0,43.0,2.0,0.0,0.0,0.0,0.0
29,2020-03-24,57.81,58.93,69.44,50.0,392.0,15.0,3.0,1.0,0.0,0.0,0.0
30,2020-03-25,57.81,58.93,69.44,50.0,419.0,27.0,4.0,1.0,0.0,0.0,0.0
31,2020-03-26,59.9,61.31,73.15,50.0,458.0,39.0,4.0,0.0,0.0,0.0,0.0
32,2020-03-27,59.9,61.31,73.15,50.0,466.0,8.0,4.0,0.0,0.0,0.0,0.0
33,2020-03-28,63.02,64.88,78.7,50.0,476.0,10.0,4.0,0.0,0.0,0.0,0.0
34,2020-03-29,63.02,64.88,78.7,50.0,499.0,23.0,4.0,0.0,0.0,0.0,0.0
35,2020-03-30,63.02,64.88,78.7,50.0,515.0,16.0,4.0,0.0,0.0,0.0,0.0
36,2020-03-31,65.1,67.26,78.7,50.0,567.0,52.0,4.0,0.0,0.0,0.0,0.0
37,2020-04-01,69.79,67.26,78.7,87.5,569.0,2.0,4.0,0.0,0.0,0.0,0.0
38,2020-04-02,69.79,67.26,78.7,87.5,643.0,74.0,4.0,0.0,0.0,0.0,0.0
39,2020-04-03,69.79,67.26,78.7,87.5,672.0,29.0,4.0,0.0,0.0,0.0,0.0
40,2020-04-04,69.79,67.26,78.7,87.5,688.0,16.0,4.0,0.0,0.0,0.0,0.0
41,2020-04-05,69.79,67.26,78.7,87.5,700.0,12.0,4.0,0.0,0.0,0.0,0.0
42,2020-04-06,69.79,67.26,78.7,87.5,756.0,56.0,4.0,0.0,0.0,0.0,0.0
43,2020-04-07,69.79,67.26,78.7,87.5,811.0,55.0,5.0,1.0,0.0,0.0,0.0
44,2020-04-08,69.79,67.26,78.7,87.5,823.0,12.0,5.0,0.0,0.0,0.0,0.0
45,2020-04-09,72.4,70.24,75.0,87.5,887.0,64.0,5.0,0.0,0.0,0.0,0.0
46,2020-04-10,72.4,70.24,75.0,87.5,925.0,38.0,6.0,1.0,0.0,0.0,0.0
47,2020-04-11,72.4,70.24,75.0,87.5,1040.0,115.0,6.0,0.0,0.0,0.0,0.0
48,2020-04-12,72.4,70.24,75.0,87.5,1136.0,96.0,6.0,0.0,0.0,0.0,0.0
49,2020-04-13,72.4,70.24,75.0,87.5,1361.0,225.0,6.0,0.0,0.0,0.0,0.0
50,2020-04-14,72.4,70.24,75.0,87.5,1528.0,167.0,7.0,1.0,0.0,0.0,0.0
51,2020-04-15,72.4,70.24,75.0,87.5,1671.0,143.0,7.0,0.0,0.0,0.0,0.0
52,2020-04-16,72.4,70.24,75.0,87.5,1700.0,29.0,7.0,0.0,0.0,0.0,0.0
53,2020-04-17,72.4,70.24,75.0,87.5,1740.0,40.0,7.0,0.0,0.0,0.0,0.0
54,2020-04-18,72.4,70.24,75.0,87.5,1773.0,33.0,7.0,0.0,0.0,0.0,0.0
55,2020-04-19,72.4,70.24,75.0,87.5,1881.0,108.0,7.0,0.0,0.0,0.0,0.0
56,2020-04-20,72.4,70.24,75.0,87.5,1907.0,26.0,7.0,0.0,0.0,0.0,0.0
57,2020-04-21,72.4,70.24,75.0,87.5,1973.0,66.0,7.0,0.0,0.0,0.0,0.0
58,2020-04-22,72.4,70.24,75.0,87.5,2027.0,54.0,7.0,0.0,0.0,0.0,0.0
59,2020-04-23,72.4,70.24,75.0,87.5,2217.0,190.0,8.0,1.0,0.0,0.0,0.0
60,2020-04-24,72.4,70.24,75.0,87.5,2518.0,301.0,8.0,0.0,0.0,0.0,0.0
61,2020-04-25,72.4,70.24,75.0,87.5,2588.0,70.0,8.0,0.0,0.0,0.0,0.0
62,2020-04-26,72.4,70.24,75.0,87.5,2647.0,59.0,8.0,0.0,0.0,0.0,0.0
63,2020-04-27,72.4,70.24,75.0,87.5,2723.0,76.0,8.0,0.0,0.0,0.0,0.0
64,2020-04-28,72.4,70.24,75.0,87.5,2811.0,88.0,8.0,0.0,0.0,0.0,0.0
65,2020-04-29,72.4,70.24,75.0,87.5,2921.0,110.0,8.0,0.0,0.0,0.0,0.0
66,2020-04-30,72.4,70.24,75.0,87.5,3040.0,119.0,8.0,0.0,0.0,0.0,0.0
67,2020-05-01,72.4,70.24,75.0,87.5,3170.0,130.0,8.0,0.0,0.0,0.0,0.0
68,2020-05-02,72.4,70.24,75.0,87.5,3284.0,114.0,8.0,0.0,0.0,0.0,0.0
69,2020-05-03,72.4,70.24,75.0,87.5,3383.0,99.0,8.0,0.0,0.0,0.0,0.0
70,2020-05-04,72.4,70.24,75.0,87.5,3533.0,150.0,8.0,0.0,0.0,0.0,0.0
71,2020-05-05,72.4,70.24,75.0,87.5,3720.0,187.0,8.0,0.0,0.0,0.0,0.0
72,2020-05-06,72.4,70.24,75.0,87.5,3934.0,214.0,8.0,0.0,0.0,0.0,0.0
73,2020-05-07,72.4,70.24,75.0,87.5,4199.0,265.0,8.0,0.0,0.0,0.0,0.0
74,2020-05-08,72.4,70.24,75.0,87.5,4444.0,245.0,8.0,0.0,0.0,0.0,0.0
75,2020-05-09,72.4,70.24,75.0,87.5,4774.0,330.0,8.0,0.0,0.0,0.0,0.0
76,2020-05-10,72.4,70.24,75.0,87.5,4941.0,167.0,8.0,0.0,0.0,0.0,0.0
77,2020-05-11,72.4,70.24,75.0,87.5,5236.0,295.0,8.0,0.0,0.0,0.0,0.0
78,2020-05-12,72.4,70.24,75.0,87.5,5531.0,295.0,9.0,1.0,0.0,0.0,0.0
79,2020-05-13,72.4,70.24,75.0,87.5,5816.0,285.0,10.0,1.0,0.0,0.0,0.0
80,2020-05-14,72.4,70.24,75.0,87.5,6198.0,382.0,10.0,0.0,0.0,0.0,0.0
81,2020-05-15,72.4,70.24,75.0,87.5,6583.0,385.0,12.0,2.0,0.0,0.0,0.0
82,2020-05-16,72.4,70.24,75.0,87.5,6747.0,164.0,12.0,0.0,0.0,0.0,0.0
83,2020-05-17,72.4,70.24,75.0,87.5,6956.0,209.0,12.0,0.0,0.0,0.0,0.0
84,2020-05-18,72.4,70.24,75.0,87.5,7184.0,228.0,12.0,0.0,0.0,0.0,0.0
85,2020-05-19,72.4,70.24,75.0,87.5,7532.0,348.0,12.0,0.0,0.0,0.0,0.0
86,2020-05-20,72.4,70.24,75.0,87.5,7888.0,356.0,12.0,0.0,0.0,0.0,0.0
87,2020-05-21,72.4,70.24,75.0,87.5,8174.0,286.0,12.0,0.0,0.0,0.0,0.0
88,2020-05-22,72.4,70.24,75.0,87.5,8414.0,240.0,12.0,0.0,0.0,0.0,0.0
89,2020-05-23,72.4,70.24,75.0,87.5,8802.0,388.0,13.0,1.0,0.0,0.0,0.0
90,2020-05-24,72.4,70.24,75.0,87.5,9138.0,336.0,14.0,1.0,0.0,0.0,0.0
91,2020-05-25,72.4,70.24,75.0,87.5,9171.0,33.0,14.0,0.0,0.0,0.0,0.0
92,2020-05-26,72.4,70.24,75.0,87.5,9366.0,195.0,14.0,0.0,0.0,0.0,0.0
