,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-17,34.9,39.88,36.11,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-18,34.9,39.88,36.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-19,41.15,47.02,47.22,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-20,41.15,47.02,47.22,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-21,41.15,47.02,47.22,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-22,41.15,47.02,47.22,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-23,41.15,47.02,47.22,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-24,41.15,47.02,47.22,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-25,41.15,47.02,47.22,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-26,41.15,47.02,47.22,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-27,41.15,47.02,47.22,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-28,47.4,54.17,62.04,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-29,47.4,54.17,62.04,0.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-30,47.4,54.17,62.04,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-31,47.4,54.17,62.04,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-01,52.08,54.17,62.04,37.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-02,52.08,54.17,62.04,37.5,46.0,12.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-03,64.06,67.86,83.33,37.5,51.0,5.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-04,64.06,67.86,83.33,37.5,52.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-05,64.06,67.86,83.33,37.5,56.0,4.0,1.0,1.0,0.0,0.0,0.0
20,2020-04-06,64.06,67.86,83.33,37.5,60.0,4.0,2.0,1.0,0.0,0.0,0.0
21,2020-04-07,64.06,67.86,83.33,37.5,63.0,3.0,3.0,1.0,0.0,0.0,0.0
22,2020-04-08,67.19,71.43,88.89,37.5,63.0,0.0,3.0,0.0,0.0,0.0,0.0
23,2020-04-09,67.19,71.43,88.89,37.5,66.0,3.0,3.0,0.0,0.0,0.0,0.0
24,2020-04-10,67.19,71.43,88.89,37.5,67.0,1.0,4.0,1.0,0.0,0.0,0.0
25,2020-04-11,68.75,73.21,88.89,37.5,68.0,1.0,4.0,0.0,0.0,0.0,0.0
26,2020-04-12,68.75,73.21,88.89,37.5,71.0,3.0,4.0,0.0,0.0,0.0,0.0
27,2020-04-13,68.75,73.21,88.89,37.5,72.0,1.0,4.0,0.0,0.0,0.0,0.0
28,2020-04-14,68.75,73.21,88.89,37.5,72.0,0.0,4.0,0.0,0.0,0.0,0.0
29,2020-04-15,70.31,75.0,88.89,37.5,73.0,1.0,5.0,1.0,0.0,0.0,0.0
30,2020-04-16,70.31,75.0,88.89,37.5,75.0,2.0,5.0,0.0,0.0,0.0,0.0
31,2020-04-17,70.31,75.0,88.89,37.5,75.0,0.0,5.0,0.0,0.0,0.0,0.0
32,2020-04-18,70.31,75.0,88.89,37.5,75.0,0.0,5.0,0.0,0.0,0.0,0.0
33,2020-04-19,72.4,77.38,88.89,37.5,75.0,0.0,5.0,0.0,0.0,0.0,0.0
34,2020-04-20,72.4,77.38,88.89,37.5,75.0,0.0,5.0,0.0,0.0,0.0,0.0
35,2020-04-21,72.4,77.38,88.89,37.5,75.0,0.0,5.0,0.0,0.0,0.0,0.0
36,2020-04-22,72.4,77.38,88.89,37.5,75.0,0.0,5.0,0.0,0.0,0.0,0.0
37,2020-04-23,72.4,77.38,88.89,37.5,76.0,1.0,6.0,1.0,0.0,0.0,0.0
38,2020-04-24,72.4,77.38,88.89,37.5,77.0,1.0,6.0,0.0,0.0,0.0,0.0
39,2020-04-25,72.4,77.38,88.89,37.5,79.0,2.0,6.0,0.0,0.0,0.0,0.0
40,2020-04-26,72.4,77.38,88.89,37.5,79.0,0.0,6.0,0.0,0.0,0.0,0.0
41,2020-04-27,72.4,77.38,88.89,37.5,80.0,1.0,6.0,0.0,0.0,0.0,0.0
42,2020-04-28,72.4,77.38,88.89,37.5,80.0,0.0,6.0,0.0,0.0,0.0,0.0
43,2020-04-29,72.4,77.38,88.89,37.5,80.0,0.0,7.0,1.0,0.0,0.0,0.0
44,2020-04-30,72.4,77.38,88.89,37.5,81.0,1.0,7.0,0.0,0.0,0.0,0.0
45,2020-05-01,72.4,77.38,88.89,37.5,81.0,0.0,7.0,0.0,0.0,0.0,0.0
46,2020-05-02,72.4,77.38,88.89,37.5,81.0,0.0,7.0,0.0,0.0,0.0,0.0
47,2020-05-03,72.4,77.38,88.89,37.5,82.0,1.0,7.0,0.0,0.0,0.0,0.0
