,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-28,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-04,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-05,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-06,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-07,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-08,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-09,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-10,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-11,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-12,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-13,0.0,0.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-14,6.77,7.74,8.33,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-15,6.77,7.74,8.33,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-16,6.77,7.74,8.33,0.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-17,6.77,7.74,8.33,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-18,6.77,7.74,8.33,0.0,51.0,15.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-19,6.77,7.74,8.33,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-20,6.77,7.74,8.33,0.0,69.0,18.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-21,6.77,7.74,8.33,0.0,76.0,7.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-22,6.77,7.74,8.33,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-23,6.77,7.74,8.33,0.0,81.0,5.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-24,6.77,7.74,8.33,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-03-25,8.33,9.52,8.33,0.0,86.0,5.0,0.0,0.0,0.0,0.0,0.0
27,2020-03-26,8.33,9.52,8.33,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-03-27,8.33,9.52,8.33,0.0,94.0,8.0,0.0,0.0,0.0,0.0,0.0
29,2020-03-28,8.33,9.52,8.33,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-03-29,8.33,9.52,8.33,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-03-30,8.33,9.52,8.33,0.0,152.0,58.0,0.0,0.0,0.0,0.0,0.0
32,2020-03-31,8.33,9.52,8.33,0.0,152.0,0.0,1.0,1.0,0.0,0.0,0.0
33,2020-04-01,10.42,11.9,12.04,0.0,163.0,11.0,2.0,1.0,0.0,0.0,0.0
34,2020-04-02,10.42,11.9,12.04,0.0,304.0,141.0,4.0,2.0,0.0,0.0,0.0
35,2020-04-03,8.85,10.12,9.26,0.0,351.0,47.0,4.0,0.0,0.0,0.0,0.0
36,2020-04-04,13.02,14.88,16.67,0.0,440.0,89.0,5.0,1.0,0.0,0.0,0.0
37,2020-04-05,13.02,14.88,16.67,0.0,562.0,122.0,8.0,3.0,0.0,0.0,0.0
38,2020-04-06,16.15,18.45,22.22,0.0,700.0,138.0,13.0,5.0,0.0,0.0,0.0
39,2020-04-07,16.15,18.45,22.22,0.0,861.0,161.0,13.0,0.0,0.0,0.0,0.0
40,2020-04-08,22.4,25.6,33.33,0.0,1066.0,205.0,13.0,0.0,0.0,0.0,0.0
41,2020-04-09,28.65,32.74,33.33,0.0,1486.0,420.0,16.0,3.0,0.0,0.0,0.0
42,2020-04-10,28.65,32.74,33.33,0.0,1981.0,495.0,19.0,3.0,0.0,0.0,0.0
43,2020-04-11,28.65,32.74,33.33,0.0,2226.0,245.0,23.0,4.0,0.0,0.0,0.0
44,2020-04-12,28.65,32.74,33.33,0.0,2578.0,352.0,26.0,3.0,0.0,0.0,0.0
45,2020-04-13,28.65,32.74,33.33,0.0,2919.0,341.0,29.0,3.0,0.0,0.0,0.0
46,2020-04-14,28.65,32.74,33.33,0.0,3281.0,362.0,33.0,4.0,0.0,0.0,0.0
47,2020-04-15,28.65,32.74,33.33,0.0,3728.0,447.0,36.0,3.0,0.0,0.0,0.0
48,2020-04-16,28.65,32.74,33.33,0.0,4204.0,476.0,40.0,4.0,0.0,0.0,0.0
49,2020-04-17,28.65,32.74,33.33,0.0,4779.0,575.0,42.0,2.0,0.0,0.0,0.0
50,2020-04-18,28.65,32.74,33.33,0.0,5297.0,518.0,45.0,3.0,0.0,0.0,0.0
51,2020-04-19,28.65,32.74,33.33,0.0,5807.0,510.0,47.0,2.0,0.0,0.0,0.0
52,2020-04-20,33.85,38.69,31.48,0.0,6264.0,457.0,51.0,4.0,0.0,0.0,0.0
53,2020-04-21,33.85,38.69,31.48,0.0,6723.0,459.0,55.0,4.0,0.0,0.0,0.0
54,2020-04-22,33.85,38.69,31.48,0.0,7281.0,558.0,58.0,3.0,0.0,0.0,0.0
55,2020-04-23,33.85,38.69,31.48,0.0,8022.0,741.0,60.0,2.0,0.0,0.0,0.0
56,2020-04-24,33.85,38.69,31.48,0.0,8773.0,751.0,63.0,3.0,0.0,0.0,0.0
57,2020-04-25,33.85,38.69,31.48,0.0,9590.0,817.0,67.0,4.0,0.0,0.0,0.0
58,2020-04-26,33.85,38.69,31.48,0.0,10463.0,873.0,72.0,5.0,0.0,0.0,0.0
59,2020-04-27,33.85,38.69,31.48,0.0,11289.0,826.0,75.0,3.0,0.0,0.0,0.0
60,2020-04-28,33.85,38.69,31.48,0.0,12208.0,919.0,79.0,4.0,0.0,0.0,0.0
61,2020-04-29,33.85,38.69,31.48,0.0,13181.0,973.0,84.0,5.0,0.0,0.0,0.0
62,2020-04-30,33.85,38.69,31.48,0.0,14027.0,846.0,89.0,5.0,0.0,0.0,0.0
63,2020-05-01,33.85,38.69,31.48,0.0,14917.0,890.0,93.0,4.0,0.0,0.0,0.0
64,2020-05-02,33.85,38.69,31.48,0.0,15828.0,911.0,97.0,4.0,0.0,0.0,0.0
65,2020-05-03,33.85,38.69,31.48,0.0,16705.0,877.0,99.0,2.0,0.0,0.0,0.0
66,2020-05-04,33.85,38.69,31.48,0.0,17489.0,784.0,103.0,4.0,0.0,0.0,0.0
67,2020-05-05,33.85,38.69,31.48,0.0,18350.0,861.0,107.0,4.0,0.0,0.0,0.0
68,2020-05-06,33.85,38.69,31.48,0.0,19255.0,905.0,112.0,5.0,0.0,0.0,0.0
69,2020-05-07,33.85,38.69,31.48,0.0,20168.0,913.0,116.0,4.0,0.0,0.0,0.0
70,2020-05-08,33.85,38.69,31.48,0.0,21101.0,933.0,121.0,5.0,0.0,0.0,0.0
71,2020-05-09,33.85,38.69,31.48,0.0,22052.0,951.0,126.0,5.0,0.0,0.0,0.0
72,2020-05-10,33.85,38.69,31.48,0.0,22973.0,921.0,131.0,5.0,0.0,0.0,0.0
73,2020-05-11,33.85,38.69,31.48,0.0,23906.0,933.0,135.0,4.0,0.0,0.0,0.0
74,2020-05-12,33.85,38.69,31.48,0.0,24873.0,967.0,142.0,7.0,0.0,0.0,0.0
75,2020-05-13,33.85,38.69,31.48,0.0,25825.0,952.0,146.0,4.0,0.0,0.0,0.0
76,2020-05-14,33.85,38.69,31.48,0.0,26772.0,947.0,151.0,5.0,0.0,0.0,0.0
77,2020-05-15,33.85,38.69,31.48,0.0,27730.0,958.0,156.0,5.0,0.0,0.0,0.0
78,2020-05-16,33.85,38.69,31.48,0.0,28681.0,951.0,160.0,4.0,0.0,0.0,0.0
79,2020-05-17,33.85,38.69,31.48,0.0,29650.0,969.0,165.0,5.0,0.0,0.0,0.0
80,2020-05-18,33.85,38.69,31.48,0.0,30572.0,922.0,171.0,6.0,0.0,0.0,0.0
81,2020-05-19,33.85,38.69,31.48,0.0,31508.0,936.0,175.0,4.0,0.0,0.0,0.0
82,2020-05-20,33.85,38.69,31.48,0.0,32426.0,918.0,179.0,4.0,0.0,0.0,0.0
83,2020-05-21,33.85,38.69,31.48,0.0,33371.0,945.0,185.0,6.0,0.0,0.0,0.0
84,2020-05-22,33.85,38.69,31.48,0.0,34303.0,932.0,190.0,5.0,0.0,0.0,0.0
85,2020-05-23,33.85,38.69,31.48,0.0,35244.0,941.0,194.0,4.0,0.0,0.0,0.0
86,2020-05-24,33.85,38.69,31.48,0.0,36198.0,954.0,199.0,5.0,0.0,0.0,0.0
87,2020-05-25,33.85,38.69,31.48,0.0,37144.0,946.0,204.0,5.0,0.0,0.0,0.0
88,2020-05-26,33.85,38.69,31.48,0.0,38059.0,915.0,208.0,4.0,0.0,0.0,0.0
89,2020-05-27,33.85,38.69,31.48,0.0,38956.0,897.0,214.0,6.0,0.0,0.0,0.0
90,2020-05-28,33.85,38.69,31.48,0.0,39858.0,902.0,219.0,5.0,0.0,0.0,0.0
91,2020-05-29,33.85,38.69,31.48,0.0,40764.0,906.0,224.0,5.0,0.0,0.0,0.0
92,2020-05-30,33.85,38.69,31.48,0.0,41658.0,894.0,229.0,5.0,0.0,0.0,0.0
93,2020-05-31,33.85,38.69,31.48,0.0,42556.0,898.0,235.0,6.0,0.0,0.0,0.0
94,2020-06-01,33.85,38.69,31.48,0.0,43403.0,847.0,240.0,5.0,0.0,0.0,0.0
95,2020-06-02,33.85,38.69,31.48,0.0,44255.0,852.0,243.0,3.0,0.0,0.0,0.0
96,2020-06-03,33.85,38.69,31.48,0.0,45116.0,861.0,248.0,5.0,0.0,0.0,0.0
97,2020-06-04,33.85,38.69,31.48,0.0,45981.0,865.0,253.0,5.0,0.0,0.0,0.0
98,2020-06-05,33.85,38.69,31.48,0.0,46868.0,887.0,259.0,6.0,0.0,0.0,0.0
99,2020-06-06,33.85,38.69,31.48,0.0,47751.0,883.0,263.0,4.0,0.0,0.0,0.0
100,2020-06-07,33.85,38.69,31.48,0.0,48630.0,879.0,269.0,6.0,0.0,0.0,0.0
101,2020-06-08,33.85,38.69,31.48,0.0,49453.0,823.0,276.0,7.0,0.0,0.0,0.0
102,2020-06-09,33.85,38.69,31.48,0.0,50265.0,812.0,282.0,6.0,0.0,0.0,0.0
103,2020-06-10,33.85,38.69,31.48,0.0,51066.0,801.0,288.0,6.0,0.0,0.0,0.0
104,2020-06-11,33.85,38.69,31.48,0.0,51816.0,750.0,293.0,5.0,0.0,0.0,0.0
105,2020-06-12,33.85,38.69,31.48,0.0,52520.0,704.0,298.0,5.0,0.0,0.0,0.0
106,2020-06-13,33.85,38.69,31.48,0.0,53241.0,721.0,303.0,5.0,0.0,0.0,0.0
107,2020-06-14,33.85,38.69,31.48,0.0,53973.0,732.0,308.0,5.0,0.0,0.0,0.0
108,2020-06-15,33.85,38.69,31.48,0.0,54680.0,707.0,312.0,4.0,0.0,0.0,0.0
109,2020-06-16,33.85,38.69,31.48,0.0,55369.0,689.0,318.0,6.0,0.0,0.0,0.0
110,2020-06-17,33.85,38.69,31.48,0.0,56032.0,663.0,324.0,6.0,0.0,0.0,0.0
111,2020-06-18,33.85,38.69,31.48,0.0,56657.0,625.0,331.0,7.0,0.0,0.0,0.0
112,2020-06-19,33.85,38.69,31.48,0.0,57333.0,676.0,337.0,6.0,0.0,0.0,0.0
113,2020-06-20,33.85,38.69,31.48,0.0,57936.0,603.0,343.0,6.0,0.0,0.0,0.0
114,2020-06-21,33.85,38.69,31.48,0.0,58505.0,569.0,346.0,3.0,0.0,0.0,0.0
115,2020-06-22,33.85,38.69,31.48,0.0,59023.0,518.0,351.0,5.0,0.0,0.0,0.0
116,2020-06-23,33.85,38.69,31.48,0.0,59487.0,464.0,357.0,6.0,0.0,0.0,0.0
117,2020-06-24,33.85,38.69,31.48,0.0,59945.0,458.0,362.0,5.0,0.0,0.0,0.0
118,2020-06-25,33.85,38.69,31.48,0.0,60382.0,437.0,367.0,5.0,0.0,0.0,0.0
119,2020-06-26,33.85,38.69,31.48,0.0,60713.0,331.0,373.0,6.0,0.0,0.0,0.0
120,2020-06-27,33.85,38.69,31.48,0.0,61095.0,382.0,377.0,4.0,0.0,0.0,0.0
121,2020-06-28,33.85,38.69,31.48,0.0,61475.0,380.0,383.0,6.0,0.0,0.0,0.0
122,2020-06-29,33.85,38.69,31.48,0.0,61790.0,315.0,387.0,4.0,0.0,0.0,0.0
123,2020-06-30,33.85,38.69,31.48,0.0,62118.0,328.0,392.0,5.0,0.0,0.0,0.0
124,2020-07-01,33.85,38.69,31.48,0.0,62424.0,306.0,398.0,6.0,0.0,0.0,0.0
125,2020-07-02,33.85,38.69,31.48,0.0,62698.0,274.0,405.0,7.0,0.0,0.0,0.0
126,2020-07-03,33.85,38.69,31.48,0.0,62997.0,299.0,412.0,7.0,0.0,0.0,0.0
127,2020-07-04,33.85,38.69,31.48,0.0,63270.0,273.0,418.0,6.0,0.0,0.0,0.0
128,2020-07-05,33.85,38.69,31.48,0.0,63554.0,284.0,423.0,5.0,0.0,0.0,0.0
129,2020-07-06,33.85,38.69,31.48,0.0,63804.0,250.0,429.0,6.0,0.0,0.0,0.0
130,2020-07-07,33.85,38.69,31.48,0.0,64003.0,199.0,436.0,7.0,0.0,0.0,0.0
131,2020-07-08,33.85,38.69,31.48,0.0,64224.0,221.0,443.0,7.0,0.0,0.0,0.0
132,2020-07-09,33.85,38.69,31.48,0.0,64411.0,187.0,449.0,6.0,0.0,0.0,0.0
133,2020-07-10,33.85,38.69,31.48,0.0,64604.0,193.0,454.0,5.0,0.0,0.0,0.0
134,2020-07-11,33.85,38.69,31.48,0.0,64767.0,163.0,459.0,5.0,0.0,0.0,0.0
135,2020-07-12,33.85,38.69,31.48,0.0,64932.0,165.0,464.0,5.0,0.0,0.0,0.0
136,2020-07-13,33.85,38.69,31.48,0.0,65114.0,182.0,468.0,4.0,0.0,0.0,0.0
137,2020-07-14,33.85,38.69,31.48,0.0,65269.0,155.0,474.0,6.0,0.0,0.0,0.0
138,2020-07-15,33.85,38.69,31.48,0.0,65443.0,174.0,480.0,6.0,0.0,0.0,0.0
139,2020-07-16,33.85,38.69,31.48,0.0,65623.0,180.0,485.0,5.0,0.0,0.0,0.0
140,2020-07-17,33.85,38.69,31.48,0.0,65782.0,159.0,491.0,6.0,0.0,0.0,0.0
141,2020-07-18,33.85,38.69,31.48,0.0,65953.0,171.0,495.0,4.0,0.0,0.0,0.0
142,2020-07-19,33.85,38.69,31.48,0.0,66095.0,142.0,499.0,4.0,0.0,0.0,0.0
143,2020-07-20,33.85,38.69,31.48,0.0,66213.0,118.0,503.0,4.0,0.0,0.0,0.0
144,2020-07-21,33.85,38.69,31.48,0.0,66348.0,135.0,507.0,4.0,0.0,0.0,0.0
145,2020-07-22,33.85,38.69,31.48,0.0,66521.0,173.0,513.0,6.0,0.0,0.0,0.0
146,2020-07-23,33.85,38.69,31.48,0.0,66688.0,167.0,519.0,6.0,0.0,0.0,0.0
147,2020-07-24,33.85,38.69,31.48,0.0,66846.0,158.0,524.0,5.0,0.0,0.0,0.0
148,2020-07-25,33.85,38.69,31.48,0.0,67002.0,156.0,530.0,6.0,0.0,0.0,0.0
149,2020-07-26,33.85,38.69,31.48,0.0,67132.0,130.0,534.0,4.0,0.0,0.0,0.0
150,2020-07-27,33.85,38.69,31.48,0.0,67251.0,119.0,538.0,4.0,0.0,0.0,0.0
151,2020-07-28,33.85,38.69,31.48,0.0,67366.0,115.0,543.0,5.0,0.0,0.0,0.0
152,2020-07-29,33.85,38.69,31.48,0.0,67518.0,152.0,548.0,5.0,0.0,0.0,0.0
153,2020-07-30,33.85,38.69,31.48,0.0,67665.0,147.0,553.0,5.0,0.0,0.0,0.0
154,2020-07-31,33.85,38.69,31.48,0.0,67808.0,143.0,559.0,6.0,0.0,0.0,0.0
