,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-04,6.25,7.14,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-05,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-06,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-07,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-08,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-09,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-02-10,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-02-11,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-02-12,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-02-13,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-14,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-15,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-16,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-17,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-18,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-19,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-20,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-21,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-22,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-23,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-24,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-25,6.25,7.14,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-02-26,12.5,14.29,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-02-27,12.5,14.29,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-02-28,12.5,14.29,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
