,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-16,17.71,20.24,16.67,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-17,23.96,27.38,27.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-18,23.96,27.38,27.78,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-19,23.96,27.38,27.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-20,23.96,27.38,27.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-21,23.96,27.38,27.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-22,23.96,27.38,27.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-23,23.96,27.38,27.78,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-24,23.96,27.38,27.78,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-25,23.96,27.38,27.78,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-26,23.96,27.38,27.78,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-27,23.96,27.38,27.78,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-28,23.96,27.38,27.78,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-29,23.96,27.38,27.78,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-30,48.18,55.06,70.83,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-31,48.18,55.06,70.83,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-01,48.18,55.06,70.83,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
