,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-06,26.04,29.76,31.48,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-07,26.04,29.76,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-08,26.04,29.76,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-09,26.04,29.76,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-10,26.04,29.76,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-11,27.6,31.55,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-12,27.6,31.55,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-13,27.6,31.55,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-14,27.6,31.55,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-15,27.6,31.55,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-16,27.6,31.55,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-17,27.6,31.55,31.48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-18,28.65,32.74,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-19,28.65,32.74,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-20,28.65,32.74,33.33,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-21,28.65,32.74,33.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-22,28.65,32.74,33.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-23,31.77,36.31,38.89,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-24,31.77,36.31,38.89,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-25,31.77,36.31,38.89,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-26,33.85,38.69,42.59,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-27,56.77,64.88,83.33,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-28,56.77,64.88,83.33,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-29,56.77,64.88,83.33,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-30,56.77,64.88,83.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-31,56.77,64.88,83.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-01,56.77,64.88,83.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
