,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-11,7.29,8.33,5.56,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-12,21.35,24.4,30.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-13,29.17,33.33,44.44,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-14,29.17,33.33,44.44,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-15,29.17,33.33,44.44,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-16,33.85,38.69,52.78,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-17,42.71,48.81,68.52,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-18,46.35,52.98,75.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-19,46.35,52.98,75.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-20,46.35,52.98,75.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-21,52.6,60.12,86.11,0.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-22,56.77,64.88,93.52,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-23,56.77,64.88,93.52,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-24,56.77,64.88,93.52,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-25,56.77,64.88,93.52,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-26,56.77,64.88,93.52,0.0,43.0,11.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-27,56.77,64.88,93.52,0.0,61.0,18.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-28,56.77,64.88,93.52,0.0,74.0,13.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-29,56.77,64.88,93.52,0.0,81.0,7.0,1.0,1.0,0.0,0.0,0.0
19,2020-03-30,56.77,64.88,93.52,0.0,97.0,16.0,4.0,3.0,0.0,0.0,0.0
20,2020-03-31,64.58,66.67,96.3,50.0,107.0,10.0,6.0,2.0,0.0,0.0,0.0
21,2020-04-01,64.58,66.67,96.3,50.0,115.0,8.0,7.0,1.0,0.0,0.0,0.0
22,2020-04-02,64.58,66.67,96.3,50.0,123.0,8.0,8.0,1.0,0.0,0.0,0.0
23,2020-04-03,64.58,66.67,96.3,50.0,132.0,9.0,9.0,1.0,0.0,0.0,0.0
24,2020-04-04,64.58,66.67,96.3,50.0,139.0,7.0,10.0,1.0,0.0,0.0,0.0
25,2020-04-05,64.58,66.67,96.3,50.0,157.0,18.0,10.0,0.0,0.0,0.0,0.0
26,2020-04-06,64.58,66.67,96.3,50.0,183.0,26.0,11.0,1.0,0.0,0.0,0.0
27,2020-04-07,66.67,69.05,96.3,50.0,194.0,11.0,14.0,3.0,0.0,0.0,0.0
28,2020-04-08,66.67,69.05,96.3,50.0,210.0,16.0,15.0,1.0,0.0,0.0,0.0
29,2020-04-09,66.67,69.05,96.3,50.0,264.0,54.0,18.0,3.0,0.0,0.0,0.0
30,2020-04-10,66.67,69.05,96.3,50.0,268.0,4.0,19.0,1.0,0.0,0.0,0.0
31,2020-04-11,66.67,69.05,96.3,50.0,275.0,7.0,20.0,1.0,0.0,0.0,0.0
32,2020-04-12,66.67,69.05,96.3,50.0,300.0,25.0,24.0,4.0,0.0,0.0,0.0
33,2020-04-13,66.67,69.05,96.3,50.0,330.0,30.0,27.0,3.0,0.0,0.0,0.0
34,2020-04-14,66.67,69.05,96.3,50.0,354.0,24.0,28.0,1.0,0.0,0.0,0.0
35,2020-04-15,66.67,69.05,96.3,50.0,397.0,43.0,28.0,0.0,0.0,0.0,0.0
36,2020-04-16,66.67,69.05,96.3,50.0,441.0,44.0,29.0,1.0,0.0,0.0,0.0
37,2020-04-17,66.67,69.05,96.3,50.0,465.0,24.0,31.0,2.0,0.0,0.0,0.0
38,2020-04-18,66.67,69.05,96.3,50.0,493.0,28.0,31.0,0.0,0.0,0.0,0.0
39,2020-04-19,66.67,69.05,96.3,50.0,520.0,27.0,32.0,1.0,0.0,0.0,0.0
40,2020-04-20,66.67,69.05,96.3,50.0,564.0,44.0,33.0,1.0,0.0,0.0,0.0
41,2020-04-21,66.67,69.05,96.3,50.0,598.0,34.0,34.0,1.0,0.0,0.0,0.0
42,2020-04-22,66.67,69.05,96.3,50.0,609.0,11.0,37.0,3.0,0.0,0.0,0.0
43,2020-04-23,66.67,69.05,96.3,50.0,703.0,94.0,43.0,6.0,0.0,0.0,0.0
44,2020-04-24,66.67,69.05,96.3,50.0,807.0,104.0,44.0,1.0,0.0,0.0,0.0
45,2020-04-25,66.67,69.05,96.3,50.0,866.0,59.0,46.0,2.0,0.0,0.0,0.0
46,2020-04-26,66.67,69.05,96.3,50.0,950.0,84.0,50.0,4.0,0.0,0.0,0.0
47,2020-04-27,66.67,69.05,96.3,50.0,1014.0,64.0,53.0,3.0,0.0,0.0,0.0
48,2020-04-28,66.67,69.05,96.3,50.0,1053.0,39.0,55.0,2.0,0.0,0.0,0.0
49,2020-04-29,66.67,69.05,96.3,50.0,1110.0,57.0,59.0,4.0,0.0,0.0,0.0
50,2020-04-30,66.67,69.05,96.3,50.0,1167.0,57.0,62.0,3.0,0.0,0.0,0.0
51,2020-05-01,68.23,70.83,96.3,50.0,1229.0,62.0,66.0,4.0,0.0,0.0,0.0
52,2020-05-02,68.23,70.83,96.3,50.0,1470.0,241.0,71.0,5.0,0.0,0.0,0.0
53,2020-05-03,68.23,70.83,96.3,50.0,1594.0,124.0,76.0,5.0,0.0,0.0,0.0
54,2020-05-04,68.23,70.83,96.3,50.0,1681.0,87.0,82.0,6.0,0.0,0.0,0.0
55,2020-05-05,68.23,70.83,96.3,50.0,1802.0,121.0,86.0,4.0,0.0,0.0,0.0
56,2020-05-06,68.23,70.83,96.3,50.0,1886.0,84.0,91.0,5.0,0.0,0.0,0.0
57,2020-05-07,68.23,70.83,96.3,50.0,2081.0,195.0,102.0,11.0,0.0,0.0,0.0
58,2020-05-08,68.23,70.83,96.3,50.0,2266.0,185.0,106.0,4.0,0.0,0.0,0.0
59,2020-05-09,68.23,70.83,96.3,50.0,2437.0,171.0,114.0,8.0,0.0,0.0,0.0
60,2020-05-10,68.23,70.83,96.3,50.0,2556.0,119.0,118.0,4.0,0.0,0.0,0.0
61,2020-05-11,68.23,70.83,96.3,50.0,2831.0,275.0,122.0,4.0,0.0,0.0,0.0
62,2020-05-12,68.23,70.83,96.3,50.0,2964.0,133.0,128.0,6.0,0.0,0.0,0.0
63,2020-05-13,68.23,70.83,96.3,50.0,3148.0,184.0,142.0,14.0,0.0,0.0,0.0
64,2020-05-14,68.23,70.83,96.3,50.0,3372.0,224.0,152.0,10.0,0.0,0.0,0.0
65,2020-05-15,68.23,70.83,96.3,50.0,3577.0,205.0,164.0,12.0,0.0,0.0,0.0
66,2020-05-16,68.23,70.83,96.3,50.0,3826.0,249.0,165.0,1.0,0.0,0.0,0.0
67,2020-05-17,68.23,70.83,96.3,50.0,4088.0,262.0,169.0,4.0,0.0,0.0,0.0
