,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-30,36.46,41.67,61.11,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-31,45.83,45.24,61.11,50.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0
2,2020-04-01,47.4,45.24,61.11,62.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2020-04-02,61.46,61.31,86.11,62.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0
4,2020-04-03,61.46,61.31,86.11,62.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0
5,2020-04-04,61.46,61.31,86.11,62.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0
6,2020-04-05,61.46,61.31,86.11,62.5,6.0,2.0,1.0,0.0,0.0,0.0,0.0
7,2020-04-06,61.46,61.31,86.11,62.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0
8,2020-04-07,61.46,61.31,86.11,62.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0
9,2020-04-08,61.46,61.31,86.11,62.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2020-04-09,61.46,61.31,86.11,62.5,13.0,7.0,1.0,0.0,0.0,0.0,0.0
11,2020-04-10,61.46,61.31,86.11,62.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0
12,2020-04-11,61.46,61.31,86.11,62.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-04-12,61.46,61.31,86.11,62.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2020-04-13,61.46,61.31,86.11,62.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0
15,2020-04-14,61.46,61.31,86.11,62.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2020-04-15,61.46,61.31,86.11,62.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0
17,2020-04-16,61.46,61.31,86.11,62.5,15.0,2.0,1.0,0.0,0.0,0.0,0.0
