,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-26,5.21,5.95,5.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-27,5.21,5.95,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-28,5.21,5.95,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-29,5.21,5.95,5.56,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-01,5.21,5.95,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-02,9.11,10.42,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-03,9.11,10.42,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-04,9.11,10.42,11.11,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-05,9.11,10.42,11.11,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-06,9.11,10.42,11.11,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-07,9.11,10.42,11.11,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-08,9.11,10.42,11.11,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-09,9.11,10.42,11.11,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-10,9.11,10.42,11.11,0.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-11,9.11,10.42,11.11,0.0,38.0,7.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-12,19.01,21.73,28.7,0.0,52.0,14.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-13,24.22,27.68,37.96,0.0,151.0,99.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-14,26.56,30.36,42.13,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-15,26.56,30.36,42.13,0.0,162.0,11.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-16,26.56,30.36,42.13,0.0,200.0,38.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-17,38.54,40.48,57.87,25.0,321.0,121.0,1.0,1.0,0.0,0.0,0.0
21,2020-03-18,40.1,42.26,60.65,25.0,372.0,51.0,3.0,2.0,0.0,0.0,0.0
22,2020-03-19,43.23,45.83,66.2,25.0,621.0,249.0,6.0,3.0,0.0,0.0,0.0
23,2020-03-20,43.23,45.83,66.2,25.0,793.0,172.0,11.0,5.0,0.0,0.0,0.0
24,2020-03-21,48.44,51.79,71.76,25.0,1021.0,228.0,15.0,4.0,0.0,0.0,0.0
25,2020-03-22,50.0,53.57,71.76,25.0,1546.0,525.0,25.0,10.0,0.0,0.0,0.0
26,2020-03-23,50.0,53.57,71.76,25.0,1924.0,378.0,34.0,9.0,0.0,0.0,0.0
