,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-09,19.79,22.62,19.44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-10,19.79,22.62,19.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-11,26.04,29.76,30.56,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-12,26.04,29.76,30.56,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-13,36.98,42.26,50.0,0.0,37.0,26.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-14,36.98,42.26,50.0,0.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-15,36.98,42.26,50.0,0.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-16,36.98,42.26,50.0,0.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-17,36.98,42.26,50.0,0.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-18,36.98,42.26,50.0,0.0,68.0,12.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-19,36.98,42.26,50.0,0.0,75.0,7.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-20,36.98,42.26,50.0,0.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-21,36.98,42.26,50.0,0.0,83.0,5.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-22,36.98,42.26,50.0,0.0,88.0,5.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-23,36.98,42.26,50.0,0.0,91.0,3.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-24,38.54,44.05,52.78,0.0,104.0,13.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-25,38.54,44.05,52.78,0.0,109.0,5.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-26,38.54,44.05,52.78,0.0,114.0,5.0,0.0,0.0,0.0,0.0,0.0
