,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-08,14.06,16.07,21.3,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-09,14.06,16.07,21.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-10,14.06,16.07,21.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-11,17.19,19.64,26.85,0.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0
4,2020-03-12,17.19,19.64,26.85,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
5,2020-03-13,30.73,35.12,50.93,0.0,23.0,16.0,1.0,0.0,0.0,0.0,0.0
6,2020-03-14,30.73,35.12,50.93,0.0,41.0,18.0,2.0,1.0,0.0,0.0,0.0
7,2020-03-15,30.73,35.12,50.93,0.0,51.0,10.0,2.0,0.0,0.0,0.0,0.0
8,2020-03-16,30.73,35.12,50.93,0.0,52.0,1.0,2.0,0.0,0.0,0.0,0.0
9,2020-03-17,33.85,38.69,56.48,0.0,67.0,15.0,2.0,0.0,0.0,0.0,0.0
10,2020-03-18,46.87,53.57,70.37,0.0,92.0,25.0,2.0,0.0,0.0,0.0,0.0
11,2020-03-19,46.87,53.57,70.37,0.0,94.0,2.0,3.0,1.0,0.0,0.0,0.0
12,2020-03-20,46.87,53.57,70.37,0.0,127.0,33.0,3.0,0.0,0.0,0.0,0.0
13,2020-03-21,48.44,55.36,73.15,0.0,163.0,36.0,3.0,0.0,0.0,0.0,0.0
14,2020-03-22,48.44,55.36,73.15,0.0,187.0,24.0,3.0,0.0,0.0,0.0,0.0
15,2020-03-23,48.44,55.36,73.15,0.0,201.0,14.0,3.0,0.0,0.0,0.0,0.0
16,2020-03-24,48.44,55.36,73.15,0.0,218.0,17.0,3.0,0.0,0.0,0.0,0.0
17,2020-03-25,48.44,55.36,73.15,0.0,242.0,24.0,3.0,0.0,0.0,0.0,0.0
18,2020-03-26,48.44,55.36,73.15,0.0,264.0,22.0,3.0,0.0,0.0,0.0,0.0
19,2020-03-27,48.44,55.36,73.15,0.0,293.0,29.0,3.0,0.0,0.0,0.0,0.0
20,2020-03-28,48.44,55.36,73.15,0.0,331.0,38.0,7.0,4.0,0.0,0.0,0.0
21,2020-03-29,48.44,55.36,73.15,0.0,346.0,15.0,8.0,1.0,0.0,0.0,0.0
22,2020-03-30,57.81,60.71,73.15,37.5,359.0,13.0,8.0,0.0,0.0,0.0,0.0
23,2020-03-31,49.48,51.19,73.15,37.5,399.0,40.0,8.0,0.0,0.0,0.0,0.0
24,2020-04-01,48.44,50.0,71.3,37.5,422.0,23.0,10.0,2.0,0.0,0.0,0.0
25,2020-04-02,48.44,50.0,71.3,37.5,457.0,35.0,10.0,0.0,0.0,0.0,0.0
26,2020-04-03,48.44,50.0,71.3,37.5,485.0,28.0,14.0,4.0,0.0,0.0,0.0
27,2020-04-04,48.44,50.0,71.3,37.5,503.0,18.0,17.0,3.0,0.0,0.0,0.0
28,2020-04-05,48.44,50.0,71.3,37.5,531.0,28.0,20.0,3.0,0.0,0.0,0.0
29,2020-04-06,48.44,50.0,71.3,37.5,549.0,18.0,22.0,2.0,0.0,0.0,0.0
30,2020-04-07,48.44,50.0,71.3,37.5,577.0,28.0,23.0,1.0,0.0,0.0,0.0
31,2020-04-08,48.44,50.0,71.3,37.5,593.0,16.0,24.0,1.0,0.0,0.0,0.0
32,2020-04-09,48.44,50.0,71.3,37.5,618.0,25.0,24.0,0.0,0.0,0.0,0.0
33,2020-04-10,54.69,50.0,71.3,87.5,635.0,17.0,25.0,1.0,0.0,0.0,0.0
34,2020-04-11,54.69,50.0,71.3,87.5,661.0,26.0,28.0,3.0,0.0,0.0,0.0
35,2020-04-12,57.81,53.57,71.3,87.5,675.0,14.0,29.0,1.0,0.0,0.0,0.0
