,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-10,8.33,9.52,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-11,8.33,9.52,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-12,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-13,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-14,14.58,16.67,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-15,14.58,16.67,11.11,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-16,27.08,30.95,33.33,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-17,27.08,30.95,33.33,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-18,27.08,30.95,33.33,0.0,20.0,5.0,1.0,1.0,0.0,0.0,0.0
9,2020-03-19,27.08,30.95,33.33,0.0,33.0,13.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-20,27.08,30.95,33.33,0.0,40.0,7.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-21,49.48,56.55,73.15,0.0,64.0,24.0,2.0,1.0,0.0,0.0,0.0
12,2020-03-22,49.48,56.55,73.15,0.0,75.0,11.0,4.0,2.0,0.0,0.0,0.0
13,2020-03-23,55.73,63.69,84.26,0.0,99.0,24.0,4.0,0.0,0.0,0.0,0.0
14,2020-03-24,55.73,63.69,84.26,0.0,114.0,15.0,4.0,0.0,0.0,0.0,0.0
15,2020-03-25,55.73,63.69,84.26,0.0,146.0,32.0,4.0,0.0,0.0,0.0,0.0
16,2020-03-26,55.73,63.69,84.26,0.0,152.0,6.0,7.0,3.0,0.0,0.0,0.0
17,2020-03-27,55.73,63.69,84.26,0.0,180.0,28.0,9.0,2.0,0.0,0.0,0.0
18,2020-03-28,55.73,63.69,84.26,0.0,207.0,27.0,11.0,2.0,0.0,0.0,0.0
19,2020-03-29,55.73,63.69,84.26,0.0,222.0,15.0,12.0,1.0,0.0,0.0,0.0
20,2020-03-30,55.73,63.69,84.26,0.0,246.0,24.0,12.0,0.0,0.0,0.0,0.0
21,2020-03-31,55.73,63.69,84.26,0.0,261.0,15.0,14.0,2.0,0.0,0.0,0.0
22,2020-04-01,55.73,63.69,84.26,0.0,282.0,21.0,16.0,2.0,0.0,0.0,0.0
23,2020-04-02,55.73,63.69,84.26,0.0,288.0,6.0,16.0,0.0,0.0,0.0,0.0
24,2020-04-03,55.73,63.69,84.26,0.0,302.0,14.0,16.0,0.0,0.0,0.0,0.0
25,2020-04-04,55.73,63.69,84.26,0.0,318.0,16.0,16.0,0.0,0.0,0.0,0.0
26,2020-04-05,55.73,63.69,84.26,0.0,345.0,27.0,17.0,1.0,0.0,0.0,0.0
27,2020-04-06,55.73,63.69,84.26,0.0,364.0,19.0,18.0,1.0,0.0,0.0,0.0
28,2020-04-07,55.73,63.69,84.26,0.0,384.0,20.0,19.0,1.0,0.0,0.0,0.0
29,2020-04-08,55.73,63.69,84.26,0.0,414.0,30.0,23.0,4.0,0.0,0.0,0.0
30,2020-04-09,55.73,63.69,84.26,0.0,443.0,29.0,24.0,1.0,0.0,0.0,0.0
31,2020-04-10,55.73,63.69,84.26,0.0,443.0,0.0,24.0,0.0,0.0,0.0,0.0
32,2020-04-11,55.73,63.69,84.26,0.0,484.0,41.0,27.0,3.0,0.0,0.0,0.0
33,2020-04-12,55.73,63.69,84.26,0.0,497.0,13.0,27.0,0.0,0.0,0.0,0.0
34,2020-04-13,55.73,63.69,84.26,0.0,497.0,0.0,27.0,0.0,0.0,0.0,0.0
35,2020-04-14,55.73,63.69,84.26,0.0,528.0,31.0,30.0,3.0,0.0,0.0,0.0
36,2020-04-15,55.73,63.69,84.26,0.0,542.0,14.0,32.0,2.0,0.0,0.0,0.0
37,2020-04-16,55.73,63.69,84.26,0.0,546.0,4.0,32.0,0.0,0.0,0.0,0.0
38,2020-04-17,55.73,63.69,84.26,0.0,557.0,11.0,35.0,3.0,0.0,0.0,0.0
39,2020-04-18,55.73,63.69,84.26,0.0,565.0,8.0,36.0,1.0,0.0,0.0,0.0
40,2020-04-19,55.73,63.69,84.26,0.0,576.0,11.0,36.0,0.0,0.0,0.0,0.0
41,2020-04-20,55.73,63.69,84.26,0.0,581.0,5.0,38.0,2.0,0.0,0.0,0.0
42,2020-04-21,55.73,63.69,84.26,0.0,600.0,19.0,38.0,0.0,0.0,0.0,0.0
43,2020-04-22,55.73,63.69,84.26,0.0,609.0,9.0,39.0,1.0,0.0,0.0,0.0
44,2020-04-23,55.73,63.69,84.26,0.0,616.0,7.0,41.0,2.0,0.0,0.0,0.0
45,2020-04-24,55.73,63.69,84.26,0.0,629.0,13.0,41.0,0.0,0.0,0.0,0.0
46,2020-04-25,55.73,63.69,84.26,0.0,629.0,0.0,41.0,0.0,0.0,0.0,0.0
47,2020-04-26,55.73,63.69,84.26,0.0,632.0,3.0,42.0,1.0,0.0,0.0,0.0
48,2020-04-27,60.42,69.05,84.26,0.0,635.0,3.0,42.0,0.0,0.0,0.0,0.0
49,2020-04-28,60.42,69.05,84.26,0.0,638.0,3.0,42.0,0.0,0.0,0.0,0.0
50,2020-04-29,60.42,69.05,84.26,0.0,641.0,3.0,43.0,1.0,0.0,0.0,0.0
51,2020-04-30,60.42,69.05,84.26,0.0,645.0,4.0,43.0,0.0,0.0,0.0,0.0
52,2020-05-01,60.42,69.05,84.26,0.0,649.0,4.0,44.0,1.0,0.0,0.0,0.0
53,2020-05-02,60.42,69.05,84.26,0.0,652.0,3.0,44.0,0.0,0.0,0.0,0.0
54,2020-05-03,60.42,69.05,84.26,0.0,662.0,10.0,45.0,1.0,0.0,0.0,0.0
55,2020-05-04,63.54,72.62,89.81,0.0,672.0,10.0,46.0,1.0,0.0,0.0,0.0
56,2020-05-05,51.04,58.33,67.59,0.0,688.0,16.0,48.0,2.0,0.0,0.0,0.0
57,2020-05-06,51.04,58.33,67.59,0.0,729.0,41.0,48.0,0.0,0.0,0.0,0.0
58,2020-05-07,51.04,58.33,67.59,0.0,736.0,7.0,48.0,0.0,0.0,0.0,0.0
59,2020-05-08,51.04,58.33,67.59,0.0,744.0,8.0,48.0,0.0,0.0,0.0,0.0
