,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-31,9.9,11.31,13.89,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-04-01,16.15,18.45,13.89,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-04-02,16.15,18.45,13.89,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-04-03,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-04-04,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-04-05,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-04-06,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-04-07,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-04-08,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-04-09,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-10,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-11,16.15,18.45,13.89,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-12,16.15,18.45,13.89,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-13,16.15,18.45,13.89,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0
14,2020-04-14,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
15,2020-04-15,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2020-04-16,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
17,2020-04-17,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-18,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-19,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
20,2020-04-20,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
21,2020-04-21,16.15,18.45,13.89,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
22,2020-04-22,16.15,18.45,13.89,0.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0
23,2020-04-23,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2020-04-24,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
25,2020-04-25,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
26,2020-04-26,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
27,2020-04-27,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
28,2020-04-28,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
29,2020-04-29,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
30,2020-04-30,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
31,2020-05-01,16.15,18.45,13.89,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
32,2020-05-02,16.15,18.45,13.89,0.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0
33,2020-05-03,16.15,18.45,13.89,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
34,2020-05-04,16.15,18.45,13.89,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
35,2020-05-05,16.15,18.45,13.89,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
36,2020-05-06,16.15,18.45,13.89,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
37,2020-05-07,16.15,18.45,13.89,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
38,2020-05-08,13.02,14.88,13.89,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
