,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-23,4.69,5.36,2.78,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-24,4.69,5.36,2.78,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-25,6.77,7.74,2.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-26,6.77,7.74,2.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-27,6.77,7.74,2.78,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-28,6.77,7.74,2.78,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-29,6.77,7.74,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-30,6.77,7.74,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-31,6.77,7.74,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-02-01,6.77,7.74,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-02,6.77,7.74,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-03,6.77,7.74,2.78,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-04,6.77,7.74,2.78,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-05,6.77,7.74,2.78,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-06,6.77,7.74,2.78,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-07,6.77,7.74,2.78,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-08,6.77,7.74,2.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-09,6.77,7.74,2.78,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-10,6.77,7.74,2.78,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-11,6.77,7.74,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-02-12,6.77,7.74,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-13,6.77,7.74,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-02-14,6.77,7.74,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-02-15,6.77,7.74,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-02-16,6.77,7.74,2.78,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-02-17,6.77,7.74,2.78,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
26,2020-02-18,6.77,7.74,2.78,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-02-19,6.77,7.74,2.78,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-02-20,6.77,7.74,2.78,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2020-02-21,6.77,7.74,2.78,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0
30,2020-02-22,6.77,7.74,2.78,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
31,2020-02-23,6.77,7.74,2.78,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
32,2020-02-24,6.77,7.74,2.78,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
33,2020-02-25,6.77,7.74,2.78,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0
34,2020-02-26,6.77,7.74,2.78,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
35,2020-02-27,6.77,7.74,2.78,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0
36,2020-02-28,6.77,7.74,2.78,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0
37,2020-02-29,6.77,7.74,2.78,0.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0
38,2020-03-01,6.77,7.74,2.78,0.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0
39,2020-03-02,6.77,7.74,2.78,0.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0
40,2020-03-03,6.77,7.74,2.78,0.0,51.0,6.0,0.0,0.0,0.0,0.0,0.0
41,2020-03-04,6.77,7.74,2.78,0.0,59.0,8.0,0.0,0.0,0.0,0.0,0.0
42,2020-03-05,6.77,7.74,2.78,0.0,71.0,12.0,0.0,0.0,0.0,0.0,0.0
43,2020-03-06,6.77,7.74,2.78,0.0,90.0,19.0,0.0,0.0,0.0,0.0,0.0
44,2020-03-07,6.77,7.74,2.78,0.0,98.0,8.0,0.0,0.0,0.0,0.0,0.0
45,2020-03-08,6.77,7.74,2.78,0.0,120.0,22.0,0.0,0.0,0.0,0.0,0.0
46,2020-03-09,8.85,10.12,2.78,0.0,144.0,24.0,1.0,1.0,0.0,0.0,0.0
47,2020-03-10,8.85,10.12,2.78,0.0,165.0,21.0,1.0,0.0,0.0,0.0,0.0
48,2020-03-11,15.1,17.26,13.89,0.0,228.0,63.0,1.0,0.0,0.0,0.0,0.0
49,2020-03-12,19.79,22.62,22.22,0.0,289.0,61.0,1.0,0.0,0.0,0.0,0.0
50,2020-03-13,20.83,23.81,22.22,0.0,386.0,97.0,1.0,0.0,0.0,0.0,0.0
51,2020-03-14,26.04,29.76,24.07,0.0,453.0,67.0,1.0,0.0,0.0,0.0,0.0
52,2020-03-15,30.73,29.76,24.07,37.5,549.0,96.0,1.0,0.0,0.0,0.0,0.0
