,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-20,31.77,36.31,43.52,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-21,31.77,36.31,43.52,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-22,31.77,36.31,43.52,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-23,35.94,41.07,50.93,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-24,42.19,41.07,50.93,50.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
5,2020-03-25,42.19,41.07,50.93,50.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
6,2020-03-26,42.19,41.07,50.93,50.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-27,46.87,42.86,53.7,75.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-28,58.33,55.95,74.07,75.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-29,58.33,55.95,74.07,75.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-30,58.33,55.95,74.07,75.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-31,58.33,55.95,74.07,75.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
12,2020-04-01,62.5,60.71,79.63,75.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-04-02,62.5,60.71,79.63,75.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2020-04-03,62.5,60.71,79.63,75.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
15,2020-04-04,62.5,60.71,79.63,75.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
16,2020-04-05,62.5,60.71,79.63,75.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
17,2020-04-06,62.5,60.71,79.63,75.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-07,62.5,60.71,79.63,75.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-08,62.5,60.71,79.63,75.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
20,2020-04-09,62.5,60.71,79.63,75.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
21,2020-04-10,62.5,60.71,79.63,75.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
22,2020-04-11,62.5,60.71,79.63,75.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
23,2020-04-12,62.5,60.71,79.63,75.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2020-04-13,62.5,60.71,79.63,75.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0
25,2020-04-14,62.5,60.71,79.63,75.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0
26,2020-04-15,62.5,60.71,79.63,75.0,56.0,45.0,1.0,0.0,0.0,0.0,0.0
27,2020-04-16,62.5,60.71,79.63,75.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0
28,2020-04-17,62.5,60.71,79.63,75.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0
29,2020-04-18,67.71,66.67,79.63,75.0,58.0,2.0,1.0,0.0,0.0,0.0,0.0
30,2020-04-19,67.71,66.67,79.63,75.0,61.0,3.0,1.0,0.0,0.0,0.0,0.0
31,2020-04-20,67.71,66.67,79.63,75.0,67.0,6.0,1.0,0.0,0.0,0.0,0.0
32,2020-04-21,67.71,66.67,79.63,75.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0
33,2020-04-22,67.71,66.67,79.63,75.0,73.0,5.0,1.0,0.0,0.0,0.0,0.0
34,2020-04-23,67.71,66.67,79.63,75.0,82.0,9.0,1.0,0.0,0.0,0.0,0.0
35,2020-04-24,67.71,66.67,79.63,75.0,88.0,6.0,1.0,0.0,0.0,0.0,0.0
36,2020-04-25,67.71,66.67,79.63,75.0,90.0,2.0,1.0,0.0,0.0,0.0,0.0
37,2020-04-26,70.83,70.24,79.63,75.0,106.0,16.0,1.0,0.0,0.0,0.0,0.0
38,2020-04-27,70.83,70.24,79.63,75.0,109.0,3.0,1.0,0.0,0.0,0.0,0.0
39,2020-04-28,70.83,70.24,79.63,75.0,114.0,5.0,1.0,0.0,0.0,0.0,0.0
40,2020-04-29,70.83,70.24,79.63,75.0,114.0,0.0,1.0,0.0,0.0,0.0,0.0
41,2020-04-30,70.83,70.24,79.63,75.0,121.0,7.0,1.0,0.0,0.0,0.0,0.0
42,2020-05-01,70.83,70.24,79.63,75.0,122.0,1.0,1.0,0.0,0.0,0.0,0.0
43,2020-05-02,73.44,73.21,87.96,75.0,152.0,30.0,2.0,1.0,0.0,0.0,0.0
44,2020-05-03,73.44,73.21,87.96,75.0,165.0,13.0,2.0,0.0,0.0,0.0,0.0
45,2020-05-04,73.44,73.21,87.96,75.0,175.0,10.0,2.0,0.0,0.0,0.0,0.0
46,2020-05-05,68.75,67.86,79.63,75.0,186.0,11.0,2.0,0.0,0.0,0.0,0.0
47,2020-05-06,68.75,67.86,79.63,75.0,191.0,5.0,2.0,0.0,0.0,0.0,0.0
48,2020-05-07,68.75,67.86,79.63,75.0,218.0,27.0,2.0,0.0,0.0,0.0,0.0
49,2020-05-08,68.75,67.86,79.63,75.0,230.0,12.0,2.0,0.0,0.0,0.0,0.0
50,2020-05-09,68.75,67.86,79.63,75.0,236.0,6.0,2.0,0.0,0.0,0.0,0.0
51,2020-05-10,68.75,67.86,79.63,75.0,246.0,10.0,2.0,0.0,0.0,0.0,0.0
52,2020-05-11,68.75,67.86,79.63,75.0,260.0,14.0,2.0,0.0,0.0,0.0,0.0
53,2020-05-12,70.83,70.24,79.63,75.0,267.0,7.0,2.0,0.0,0.0,0.0,0.0
54,2020-05-13,70.83,70.24,79.63,75.0,289.0,22.0,2.0,0.0,0.0,0.0,0.0
55,2020-05-14,70.83,70.24,79.63,75.0,315.0,26.0,2.0,0.0,0.0,0.0,0.0
56,2020-05-15,70.83,70.24,79.63,75.0,326.0,11.0,2.0,0.0,0.0,0.0,0.0
57,2020-05-16,70.83,70.24,79.63,75.0,328.0,2.0,3.0,1.0,0.0,0.0,0.0
58,2020-05-17,70.83,70.24,79.63,75.0,328.0,0.0,3.0,0.0,0.0,0.0,0.0
59,2020-05-18,73.7,73.51,79.17,75.0,328.0,0.0,3.0,0.0,0.0,0.0,0.0
60,2020-05-19,73.7,73.51,79.17,75.0,335.0,7.0,3.0,0.0,0.0,0.0,0.0
61,2020-05-20,73.7,73.51,79.17,75.0,349.0,14.0,3.0,0.0,0.0,0.0,0.0
62,2020-05-21,73.7,73.51,79.17,75.0,356.0,7.0,3.0,0.0,0.0,0.0,0.0
63,2020-05-22,73.7,73.51,79.17,75.0,362.0,6.0,3.0,0.0,0.0,0.0,0.0
64,2020-05-23,73.7,73.51,79.17,75.0,371.0,9.0,3.0,0.0,0.0,0.0,0.0
65,2020-05-24,73.7,73.51,79.17,75.0,380.0,9.0,3.0,0.0,0.0,0.0,0.0
66,2020-05-25,75.26,75.3,79.17,75.0,390.0,10.0,3.0,0.0,0.0,0.0,0.0
67,2020-05-26,75.26,75.3,79.17,75.0,390.0,0.0,4.0,1.0,0.0,0.0,0.0
