,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-23,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-24,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-26,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-27,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-02-29,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-01,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-02,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-03,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-04,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-05,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-06,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-07,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-08,0.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-09,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-10,0.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-11,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-12,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-13,0.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-14,6.25,7.14,11.11,0.0,88.0,33.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-15,18.75,21.43,22.22,0.0,101.0,13.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-16,32.81,37.5,47.22,0.0,182.0,81.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-17,32.81,37.5,47.22,0.0,228.0,46.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-18,37.5,42.86,55.56,0.0,265.0,37.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-19,37.5,42.86,55.56,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-03-20,37.5,42.86,55.56,0.0,461.0,196.0,0.0,0.0,0.0,0.0,0.0
27,2020-03-21,35.42,40.48,51.85,0.0,592.0,131.0,0.0,0.0,0.0,0.0,0.0
28,2020-03-22,35.42,40.48,51.85,0.0,687.0,95.0,1.0,1.0,0.0,0.0,0.0
29,2020-03-23,35.42,40.48,51.85,0.0,801.0,114.0,2.0,1.0,0.0,0.0,0.0
30,2020-03-24,35.42,40.48,51.85,0.0,977.0,176.0,2.0,0.0,0.0,0.0,0.0
31,2020-03-25,47.4,54.17,73.15,0.0,1197.0,220.0,3.0,1.0,0.0,0.0,0.0
32,2020-03-26,51.56,58.93,73.15,0.0,1361.0,164.0,4.0,1.0,0.0,0.0,0.0
33,2020-03-27,54.69,58.93,73.15,25.0,1665.0,304.0,5.0,1.0,0.0,0.0,0.0
34,2020-03-28,54.69,58.93,73.15,25.0,2015.0,350.0,6.0,1.0,0.0,0.0,0.0
35,2020-03-29,54.69,58.93,73.15,25.0,2245.0,230.0,7.0,1.0,0.0,0.0,0.0
36,2020-03-30,60.94,66.07,73.15,25.0,2555.0,310.0,8.0,1.0,0.0,0.0,0.0
37,2020-03-31,60.94,66.07,73.15,25.0,2844.0,289.0,12.0,4.0,0.0,0.0,0.0
38,2020-04-01,60.94,66.07,73.15,25.0,3137.0,293.0,16.0,4.0,0.0,0.0,0.0
39,2020-04-02,64.06,66.07,73.15,50.0,3510.0,373.0,18.0,2.0,0.0,0.0,0.0
40,2020-04-03,64.06,66.07,73.15,50.0,3843.0,333.0,22.0,4.0,0.0,0.0,0.0
41,2020-04-04,64.06,66.07,73.15,50.0,4355.0,512.0,27.0,5.0,0.0,0.0,0.0
42,2020-04-05,64.06,66.07,73.15,50.0,4665.0,310.0,34.0,7.0,0.0,0.0,0.0
43,2020-04-06,62.5,66.07,73.15,37.5,5009.0,344.0,37.0,3.0,0.0,0.0,0.0
44,2020-04-07,62.5,66.07,73.15,37.5,5310.0,301.0,43.0,6.0,0.0,0.0,0.0
45,2020-04-08,65.62,69.64,73.15,37.5,5740.0,430.0,48.0,5.0,0.0,0.0,0.0
46,2020-04-09,65.62,69.64,73.15,37.5,6166.0,426.0,57.0,9.0,0.0,0.0,0.0
47,2020-04-10,65.62,69.64,73.15,37.5,6695.0,529.0,65.0,8.0,0.0,0.0,0.0
48,2020-04-11,65.62,69.64,73.15,37.5,7366.0,671.0,73.0,8.0,0.0,0.0,0.0
49,2020-04-12,65.62,69.64,73.15,37.5,7652.0,286.0,80.0,7.0,0.0,0.0,0.0
50,2020-04-13,65.62,69.64,73.15,37.5,7964.0,312.0,82.0,2.0,0.0,0.0,0.0
51,2020-04-14,65.62,69.64,73.15,37.5,8356.0,392.0,92.0,10.0,0.0,0.0,0.0
