,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-01-22,27.08,30.95,26.39,0.0,547.0,547.0,17.0,17.0,0.0,0.0,0.0
1,2020-01-23,37.5,42.86,44.91,0.0,639.0,92.0,18.0,1.0,0.0,0.0,0.0
2,2020-01-24,37.5,42.86,44.91,0.0,916.0,277.0,26.0,8.0,0.0,0.0,0.0
3,2020-01-25,39.06,44.64,47.69,0.0,1399.0,483.0,42.0,16.0,0.0,0.0,0.0
4,2020-01-26,51.56,58.93,69.91,0.0,2062.0,663.0,56.0,14.0,0.0,0.0,0.0
5,2020-01-27,51.56,58.93,69.91,0.0,2863.0,801.0,82.0,26.0,0.0,0.0,0.0
6,2020-01-28,55.73,63.69,69.91,0.0,5494.0,2631.0,131.0,49.0,0.0,0.0,0.0
7,2020-01-29,55.73,63.69,69.91,0.0,6070.0,576.0,133.0,2.0,0.0,0.0,0.0
8,2020-01-30,55.73,63.69,69.91,0.0,8124.0,2054.0,171.0,38.0,0.0,0.0,0.0
9,2020-01-31,55.73,63.69,69.91,0.0,9783.0,1659.0,213.0,42.0,0.0,0.0,0.0
10,2020-02-01,59.9,68.45,77.31,0.0,11871.0,2088.0,259.0,46.0,0.0,0.0,0.0
11,2020-02-02,59.9,68.45,77.31,0.0,16607.0,4736.0,361.0,102.0,0.0,0.0,0.0
12,2020-02-03,59.9,68.45,77.31,0.0,19693.0,3086.0,425.0,64.0,0.0,0.0,0.0
13,2020-02-04,59.9,68.45,77.31,0.0,23680.0,3987.0,490.0,65.0,0.0,0.0,0.0
14,2020-02-05,59.9,68.45,77.31,0.0,27409.0,3729.0,562.0,72.0,0.0,0.0,0.0
15,2020-02-06,59.9,68.45,77.31,0.0,30553.0,3144.0,632.0,70.0,0.0,0.0,0.0
16,2020-02-07,59.9,68.45,77.31,0.0,34075.0,3522.0,717.0,85.0,0.0,0.0,0.0
17,2020-02-08,59.9,68.45,77.31,0.0,36778.0,2703.0,804.0,87.0,0.0,0.0,0.0
18,2020-02-09,59.9,68.45,77.31,0.0,39790.0,3012.0,904.0,100.0,0.0,0.0,0.0
19,2020-02-10,58.85,67.26,75.46,0.0,42306.0,2516.0,1011.0,107.0,0.0,0.0,0.0
20,2020-02-11,58.85,67.26,75.46,0.0,44327.0,2021.0,1111.0,100.0,0.0,0.0,0.0
21,2020-02-12,58.85,67.26,75.46,0.0,44699.0,372.0,1116.0,5.0,0.0,0.0,0.0
22,2020-02-13,58.85,67.26,75.46,0.0,59832.0,15133.0,1368.0,252.0,0.0,0.0,0.0
23,2020-02-14,58.85,67.26,75.46,0.0,66292.0,6460.0,1520.0,152.0,0.0,0.0,0.0
24,2020-02-15,58.85,67.26,75.46,0.0,68347.0,2055.0,1662.0,142.0,0.0,0.0,0.0
25,2020-02-16,60.94,69.64,75.46,0.0,70446.0,2099.0,1765.0,103.0,0.0,0.0,0.0
26,2020-02-17,60.94,69.64,75.46,0.0,72364.0,1918.0,1863.0,98.0,0.0,0.0,0.0
27,2020-02-18,60.94,69.64,75.46,0.0,74139.0,1775.0,2002.0,139.0,0.0,0.0,0.0
28,2020-02-19,60.94,69.64,75.46,0.0,74546.0,407.0,2114.0,112.0,0.0,0.0,0.0
29,2020-02-20,60.94,69.64,75.46,0.0,74999.0,453.0,2236.0,122.0,0.0,0.0,0.0
30,2020-02-21,60.94,69.64,75.46,0.0,75472.0,473.0,2236.0,0.0,0.0,0.0,0.0
31,2020-02-22,60.94,69.64,75.46,0.0,76922.0,1450.0,2441.0,205.0,0.0,0.0,0.0
32,2020-02-23,60.94,69.64,75.46,0.0,76938.0,16.0,2443.0,2.0,0.0,0.0,0.0
33,2020-02-24,60.94,69.64,75.46,0.0,77152.0,214.0,2593.0,150.0,0.0,0.0,0.0
34,2020-02-25,64.06,73.21,81.02,0.0,77660.0,508.0,2663.0,70.0,0.0,0.0,0.0
35,2020-02-26,64.06,73.21,81.02,0.0,78065.0,405.0,2715.0,52.0,0.0,0.0,0.0
36,2020-02-27,64.06,73.21,81.02,0.0,78498.0,433.0,2744.0,29.0,0.0,0.0,0.0
37,2020-02-28,64.06,73.21,81.02,0.0,78824.0,326.0,2788.0,44.0,0.0,0.0,0.0
38,2020-02-29,64.06,73.21,81.02,0.0,79251.0,427.0,2835.0,47.0,0.0,0.0,0.0
39,2020-03-01,64.06,73.21,81.02,0.0,79826.0,575.0,2870.0,35.0,0.0,0.0,0.0
40,2020-03-02,64.06,73.21,81.02,0.0,80026.0,200.0,2912.0,42.0,0.0,0.0,0.0
41,2020-03-03,64.06,73.21,81.02,0.0,80151.0,125.0,2945.0,33.0,0.0,0.0,0.0
42,2020-03-04,64.06,73.21,81.02,0.0,80271.0,120.0,2981.0,36.0,0.0,0.0,0.0
43,2020-03-05,64.06,73.21,81.02,0.0,80422.0,151.0,3013.0,32.0,0.0,0.0,0.0
44,2020-03-06,64.06,73.21,81.02,0.0,80573.0,151.0,3042.0,29.0,0.0,0.0,0.0
45,2020-03-07,64.06,73.21,81.02,0.0,80652.0,79.0,3070.0,28.0,0.0,0.0,0.0
46,2020-03-08,64.06,73.21,81.02,0.0,80699.0,47.0,3097.0,27.0,0.0,0.0,0.0
47,2020-03-09,64.06,73.21,81.02,0.0,80735.0,36.0,3120.0,23.0,0.0,0.0,0.0
48,2020-03-10,64.06,73.21,81.02,0.0,80757.0,22.0,3136.0,16.0,0.0,0.0,0.0
49,2020-03-11,64.06,73.21,81.02,0.0,80785.0,28.0,3158.0,22.0,0.0,0.0,0.0
50,2020-03-12,64.06,73.21,81.02,0.0,80793.0,8.0,3169.0,11.0,0.0,0.0,0.0
51,2020-03-13,64.06,73.21,81.02,0.0,80801.0,8.0,3176.0,7.0,0.0,0.0,0.0
52,2020-03-14,64.06,73.21,81.02,0.0,80827.0,26.0,3189.0,13.0,0.0,0.0,0.0
53,2020-03-15,64.06,73.21,81.02,0.0,80848.0,21.0,3199.0,10.0,0.0,0.0,0.0
54,2020-03-16,63.02,72.02,79.17,0.0,80867.0,19.0,3213.0,14.0,0.0,0.0,0.0
55,2020-03-17,63.02,72.02,79.17,0.0,80884.0,17.0,3226.0,13.0,0.0,0.0,0.0
56,2020-03-18,63.02,72.02,79.17,0.0,80906.0,22.0,3237.0,11.0,0.0,0.0,0.0
57,2020-03-19,63.02,72.02,79.17,0.0,80931.0,25.0,3245.0,8.0,0.0,0.0,0.0
58,2020-03-20,63.02,72.02,79.17,0.0,80977.0,46.0,3249.0,4.0,0.0,0.0,0.0
59,2020-03-21,63.02,72.02,79.17,0.0,81014.0,37.0,3255.0,6.0,0.0,0.0,0.0
60,2020-03-22,63.02,72.02,79.17,0.0,81094.0,80.0,3270.0,15.0,0.0,0.0,0.0
61,2020-03-23,63.02,72.02,79.17,0.0,81118.0,24.0,3270.0,0.0,0.0,0.0,0.0
62,2020-03-24,62.24,71.13,79.17,0.0,81180.0,62.0,3277.0,7.0,0.0,0.0,0.0
63,2020-03-25,62.24,71.13,79.17,0.0,81221.0,41.0,3281.0,4.0,0.0,0.0,0.0
64,2020-03-26,63.8,72.92,81.94,0.0,81298.0,77.0,3287.0,6.0,0.0,0.0,0.0
65,2020-03-27,63.8,72.92,81.94,0.0,81345.0,47.0,3292.0,5.0,0.0,0.0,0.0
66,2020-03-28,59.11,67.56,73.61,0.0,81401.0,56.0,3295.0,3.0,0.0,0.0,0.0
67,2020-03-29,59.11,67.56,73.61,0.0,81444.0,43.0,3300.0,5.0,0.0,0.0,0.0
68,2020-03-30,59.11,67.56,73.61,0.0,81478.0,34.0,3304.0,4.0,0.0,0.0,0.0
69,2020-03-31,61.2,69.94,73.61,0.0,83065.0,1587.0,3305.0,1.0,0.0,0.0,0.0
70,2020-04-01,61.2,69.94,73.61,0.0,83224.0,159.0,3312.0,7.0,0.0,0.0,0.0
71,2020-04-02,61.2,69.94,73.61,0.0,83304.0,80.0,3318.0,6.0,0.0,0.0,0.0
72,2020-04-03,59.11,67.56,69.91,0.0,83391.0,87.0,3322.0,4.0,0.0,0.0,0.0
73,2020-04-04,59.11,67.56,69.91,0.0,83467.0,76.0,3326.0,4.0,0.0,0.0,0.0
74,2020-04-05,59.11,67.56,69.91,0.0,83541.0,74.0,3329.0,3.0,0.0,0.0,0.0
75,2020-04-06,59.11,67.56,69.91,0.0,83653.0,112.0,3331.0,2.0,0.0,0.0,0.0
76,2020-04-07,59.11,67.56,69.91,0.0,83713.0,60.0,3331.0,0.0,0.0,0.0,0.0
77,2020-04-08,51.82,59.23,56.94,0.0,83904.0,191.0,3333.0,2.0,0.0,0.0,0.0
78,2020-04-09,51.82,59.23,56.94,0.0,84006.0,102.0,3335.0,2.0,0.0,0.0,0.0
79,2020-04-10,51.82,59.23,56.94,0.0,84081.0,75.0,3336.0,1.0,0.0,0.0,0.0
80,2020-04-11,53.39,59.23,56.94,12.5,84163.0,82.0,3339.0,3.0,0.0,0.0,0.0
81,2020-04-12,53.39,59.23,56.94,12.5,84328.0,165.0,3339.0,0.0,0.0,0.0,0.0
82,2020-04-13,53.39,59.23,56.94,12.5,84435.0,107.0,3341.0,2.0,0.0,0.0,0.0
83,2020-04-14,53.39,59.23,56.94,12.5,84512.0,77.0,3341.0,0.0,0.0,0.0,0.0
84,2020-04-15,53.39,59.23,56.94,12.5,84607.0,95.0,3342.0,1.0,0.0,0.0,0.0
85,2020-04-16,53.39,59.23,56.94,12.5,84712.0,105.0,3342.0,0.0,0.0,0.0,0.0
86,2020-04-17,53.39,59.23,56.94,12.5,85121.0,409.0,4632.0,1290.0,0.0,0.0,0.0
87,2020-04-18,53.39,59.23,56.94,12.5,85190.0,69.0,4632.0,0.0,0.0,0.0,0.0
88,2020-04-19,53.39,59.23,56.94,12.5,85251.0,61.0,4632.0,0.0,0.0,0.0,0.0
89,2020-04-20,53.39,59.23,56.94,12.5,85312.0,61.0,4632.0,0.0,0.0,0.0,0.0
90,2020-04-21,53.39,59.23,56.94,12.5,85378.0,66.0,4632.0,0.0,0.0,0.0,0.0
91,2020-04-22,53.39,59.23,56.94,12.5,85430.0,52.0,4632.0,0.0,0.0,0.0,0.0
92,2020-04-23,53.39,59.23,56.94,12.5,85468.0,38.0,4632.0,0.0,0.0,0.0,0.0
93,2020-04-24,53.39,59.23,56.94,12.5,85514.0,46.0,4632.0,0.0,0.0,0.0,0.0
94,2020-04-25,53.39,59.23,56.94,12.5,85550.0,36.0,4632.0,0.0,0.0,0.0,0.0
95,2020-04-26,53.39,59.23,56.94,12.5,85579.0,29.0,4633.0,1.0,0.0,0.0,0.0
96,2020-04-27,53.39,59.23,56.94,12.5,85610.0,31.0,4633.0,0.0,0.0,0.0,0.0
97,2020-04-28,53.39,59.23,56.94,12.5,85672.0,62.0,4633.0,0.0,0.0,0.0,0.0
98,2020-04-29,53.39,59.23,56.94,12.5,85701.0,29.0,4633.0,0.0,0.0,0.0,0.0
