,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-06,10.94,12.5,12.04,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-07,10.94,12.5,12.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-08,10.94,12.5,12.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-09,12.5,14.29,14.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-10,12.5,14.29,14.81,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-11,12.5,14.29,14.81,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-12,23.44,26.79,34.26,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-13,23.44,26.79,34.26,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-14,23.44,26.79,34.26,0.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-15,23.44,26.79,34.26,0.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-16,29.69,33.93,45.37,0.0,57.0,23.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-17,39.06,37.5,50.93,50.0,75.0,18.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-18,39.06,37.5,50.93,50.0,102.0,27.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-19,39.06,37.5,50.93,50.0,108.0,6.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-20,45.31,44.64,50.93,50.0,158.0,50.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-21,45.31,44.64,50.93,50.0,196.0,38.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-22,45.31,44.64,50.93,50.0,231.0,35.0,2.0,2.0,0.0,0.0,0.0
17,2020-03-23,46.88,46.43,53.7,50.0,277.0,46.0,3.0,1.0,0.0,0.0,0.0
18,2020-03-24,46.88,46.43,53.7,50.0,378.0,101.0,3.0,0.0,0.0,0.0,0.0
19,2020-03-25,66.15,68.45,87.96,50.0,470.0,92.0,4.0,1.0,0.0,0.0,0.0
