,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-15,9.38,10.71,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-16,9.38,10.71,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-17,9.38,10.71,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-18,9.38,10.71,11.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-19,11.46,13.1,11.11,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-20,11.46,13.1,11.11,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-21,14.58,16.67,16.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-22,14.58,16.67,16.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-23,14.58,16.67,16.67,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-24,14.58,16.67,16.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-25,14.58,16.67,16.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-26,14.58,16.67,16.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-27,14.58,16.67,16.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-28,56.77,64.88,80.56,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-29,56.77,64.88,80.56,0.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-30,59.9,68.45,86.11,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-31,75.52,75.6,97.22,75.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-01,75.52,75.6,97.22,75.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-02,75.52,75.6,97.22,75.0,22.0,3.0,2.0,2.0,0.0,0.0,0.0
19,2020-04-03,75.52,75.6,97.22,75.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0
20,2020-04-04,75.52,75.6,97.22,75.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0
21,2020-04-05,75.52,75.6,97.22,75.0,45.0,23.0,5.0,3.0,0.0,0.0,0.0
22,2020-04-06,75.52,75.6,97.22,75.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0
23,2020-04-07,75.52,75.6,97.22,75.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0
24,2020-04-08,75.52,75.6,97.22,75.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0
25,2020-04-09,75.52,75.6,97.22,75.0,60.0,15.0,5.0,0.0,0.0,0.0,0.0
26,2020-04-10,75.52,75.6,97.22,75.0,60.0,0.0,5.0,0.0,0.0,0.0,0.0
27,2020-04-11,75.52,75.6,97.22,75.0,60.0,0.0,5.0,0.0,0.0,0.0,0.0
28,2020-04-12,75.52,75.6,97.22,75.0,60.0,0.0,5.0,0.0,0.0,0.0,0.0
29,2020-04-13,75.52,75.6,97.22,75.0,60.0,0.0,5.0,0.0,0.0,0.0,0.0
30,2020-04-14,75.52,75.6,97.22,75.0,60.0,0.0,5.0,0.0,0.0,0.0,0.0
31,2020-04-15,75.52,75.6,97.22,75.0,117.0,57.0,5.0,0.0,0.0,0.0,0.0
32,2020-04-16,75.52,75.6,97.22,75.0,117.0,0.0,5.0,0.0,0.0,0.0,0.0
33,2020-04-17,75.52,75.6,97.22,75.0,143.0,26.0,6.0,1.0,0.0,0.0,0.0
34,2020-04-18,75.52,75.6,97.22,75.0,143.0,0.0,6.0,0.0,0.0,0.0,0.0
35,2020-04-19,75.52,75.6,97.22,75.0,143.0,0.0,6.0,0.0,0.0,0.0,0.0
36,2020-04-20,75.52,75.6,97.22,75.0,160.0,17.0,6.0,0.0,0.0,0.0,0.0
37,2020-04-21,75.52,75.6,97.22,75.0,165.0,5.0,6.0,0.0,0.0,0.0,0.0
38,2020-04-22,75.52,75.6,97.22,75.0,186.0,21.0,6.0,0.0,0.0,0.0,0.0
39,2020-04-23,75.52,75.6,97.22,75.0,186.0,0.0,6.0,0.0,0.0,0.0,0.0
40,2020-04-24,75.52,75.6,97.22,75.0,200.0,14.0,6.0,0.0,0.0,0.0,0.0
41,2020-04-25,75.52,75.6,97.22,75.0,200.0,0.0,6.0,0.0,0.0,0.0,0.0
42,2020-04-26,75.52,75.6,97.22,75.0,200.0,0.0,6.0,0.0,0.0,0.0,0.0
43,2020-04-27,75.52,75.6,97.22,75.0,200.0,0.0,6.0,0.0,0.0,0.0,0.0
44,2020-04-28,75.52,75.6,97.22,75.0,207.0,7.0,8.0,2.0,0.0,0.0,0.0
45,2020-04-29,75.52,75.6,97.22,75.0,207.0,0.0,8.0,0.0,0.0,0.0,0.0
46,2020-04-30,80.21,80.95,97.22,75.0,220.0,13.0,9.0,1.0,0.0,0.0,0.0
47,2020-05-01,80.21,80.95,97.22,75.0,229.0,9.0,9.0,0.0,0.0,0.0,0.0
48,2020-05-02,80.21,80.95,97.22,75.0,229.0,0.0,9.0,0.0,0.0,0.0,0.0
49,2020-05-03,80.21,80.95,97.22,75.0,229.0,0.0,9.0,0.0,0.0,0.0,0.0
50,2020-05-04,80.21,80.95,97.22,75.0,236.0,7.0,10.0,1.0,0.0,0.0,0.0
51,2020-05-05,80.21,80.95,97.22,75.0,236.0,0.0,10.0,0.0,0.0,0.0,0.0
52,2020-05-06,80.21,80.95,97.22,75.0,264.0,28.0,10.0,0.0,0.0,0.0,0.0
53,2020-05-07,80.21,80.95,97.22,75.0,264.0,0.0,10.0,0.0,0.0,0.0,0.0
54,2020-05-08,80.21,80.95,97.22,75.0,274.0,10.0,10.0,0.0,0.0,0.0,0.0
55,2020-05-09,80.21,80.95,97.22,75.0,274.0,0.0,10.0,0.0,0.0,0.0,0.0
56,2020-05-10,80.21,80.95,97.22,75.0,274.0,0.0,10.0,0.0,0.0,0.0,0.0
57,2020-05-11,80.21,80.95,97.22,75.0,333.0,59.0,11.0,1.0,0.0,0.0,0.0
58,2020-05-12,80.21,80.95,97.22,75.0,333.0,0.0,11.0,0.0,0.0,0.0,0.0
59,2020-05-13,80.21,80.95,97.22,75.0,333.0,0.0,11.0,0.0,0.0,0.0,0.0
60,2020-05-14,80.21,80.95,97.22,75.0,391.0,58.0,15.0,4.0,0.0,0.0,0.0
61,2020-05-15,80.21,80.95,97.22,75.0,391.0,0.0,15.0,0.0,0.0,0.0,0.0
62,2020-05-16,80.21,80.95,97.22,75.0,391.0,0.0,15.0,0.0,0.0,0.0,0.0
63,2020-05-17,80.21,80.95,97.22,75.0,391.0,0.0,15.0,0.0,0.0,0.0,0.0
64,2020-05-18,71.88,71.43,82.41,75.0,412.0,21.0,15.0,0.0,0.0,0.0,0.0
65,2020-05-19,71.88,71.43,82.41,75.0,420.0,8.0,15.0,0.0,0.0,0.0,0.0
66,2020-05-20,71.88,71.43,82.41,75.0,420.0,0.0,15.0,0.0,0.0,0.0,0.0
67,2020-05-21,71.88,71.43,82.41,75.0,469.0,49.0,16.0,1.0,0.0,0.0,0.0
68,2020-05-22,71.88,71.43,82.41,75.0,469.0,0.0,16.0,0.0,0.0,0.0,0.0
69,2020-05-23,71.88,71.43,82.41,75.0,487.0,18.0,16.0,0.0,0.0,0.0,0.0
70,2020-05-24,71.88,71.43,82.41,75.0,487.0,0.0,16.0,0.0,0.0,0.0,0.0
71,2020-05-25,71.88,71.43,82.41,75.0,487.0,0.0,16.0,0.0,0.0,0.0,0.0
72,2020-05-26,71.88,71.43,82.41,75.0,487.0,0.0,16.0,0.0,0.0,0.0,0.0
73,2020-05-27,71.88,71.43,82.41,75.0,571.0,84.0,19.0,3.0,0.0,0.0,0.0
74,2020-05-28,71.88,71.43,82.41,75.0,571.0,0.0,19.0,0.0,0.0,0.0,0.0
75,2020-05-29,71.88,71.43,82.41,75.0,571.0,0.0,19.0,0.0,0.0,0.0,0.0
76,2020-05-30,71.88,71.43,82.41,75.0,571.0,0.0,19.0,0.0,0.0,0.0,0.0
77,2020-05-31,71.88,71.43,82.41,75.0,611.0,40.0,20.0,1.0,0.0,0.0,0.0
78,2020-06-01,69.79,69.05,82.41,75.0,611.0,0.0,20.0,0.0,0.0,0.0,0.0
79,2020-06-02,55.21,63.1,73.15,0.0,611.0,0.0,20.0,0.0,0.0,0.0,0.0
