,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-25,16.15,18.45,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-26,16.15,18.45,13.89,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-27,16.15,18.45,13.89,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-28,16.15,18.45,13.89,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-29,16.15,18.45,13.89,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,16.15,18.45,13.89,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-02,16.15,18.45,13.89,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-03,18.23,20.83,13.89,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-04,18.23,20.83,13.89,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-05,18.23,20.83,13.89,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-06,18.23,20.83,13.89,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-07,18.23,20.83,13.89,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-08,18.23,20.83,13.89,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-09,18.23,20.83,13.89,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-10,22.92,26.19,22.22,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-11,22.92,26.19,22.22,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-12,22.92,26.19,22.22,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-13,28.13,32.14,31.48,0.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-14,31.25,35.71,37.04,0.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-15,32.81,37.5,39.81,0.0,49.0,11.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-16,33.85,38.69,41.67,0.0,57.0,8.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-17,41.67,38.69,41.67,62.5,65.0,8.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-18,43.23,40.48,44.44,62.5,81.0,16.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-19,46.35,44.05,50.0,62.5,105.0,24.0,1.0,1.0,0.0,0.0,0.0
24,2020-03-20,55.73,54.76,66.67,62.5,128.0,23.0,1.0,0.0,0.0,0.0,0.0
25,2020-03-21,61.98,61.9,77.78,62.5,206.0,78.0,1.0,0.0,0.0,0.0,0.0
26,2020-03-22,61.98,61.9,77.78,62.5,254.0,48.0,1.0,0.0,0.0,0.0,0.0
27,2020-03-23,74.48,76.19,96.3,62.5,315.0,61.0,1.0,0.0,0.0,0.0,0.0
28,2020-03-24,74.48,76.19,96.3,62.5,382.0,67.0,1.0,0.0,0.0,0.0,0.0
29,2020-03-25,74.48,76.19,96.3,62.5,442.0,60.0,1.0,0.0,0.0,0.0,0.0
30,2020-03-26,74.48,76.19,96.3,62.5,495.0,53.0,3.0,2.0,0.0,0.0,0.0
31,2020-03-27,74.48,76.19,96.3,62.5,586.0,91.0,3.0,0.0,0.0,0.0,0.0
32,2020-03-28,74.48,76.19,96.3,62.5,657.0,71.0,5.0,2.0,0.0,0.0,0.0
33,2020-03-29,74.48,76.19,96.3,62.5,713.0,56.0,6.0,1.0,0.0,0.0,0.0
34,2020-03-30,74.48,76.19,96.3,62.5,790.0,77.0,6.0,0.0,0.0,0.0,0.0
35,2020-03-31,74.48,76.19,96.3,62.5,867.0,77.0,6.0,0.0,0.0,0.0,0.0
36,2020-04-01,77.6,76.19,96.3,87.5,963.0,96.0,6.0,0.0,0.0,0.0,0.0
37,2020-04-02,79.69,78.57,96.3,87.5,1011.0,48.0,7.0,1.0,0.0,0.0,0.0
38,2020-04-03,79.69,78.57,96.3,87.5,1079.0,68.0,8.0,1.0,0.0,0.0,0.0
39,2020-04-04,79.69,78.57,96.3,87.5,1126.0,47.0,12.0,4.0,0.0,0.0,0.0
40,2020-04-05,79.69,78.57,96.3,87.5,1182.0,56.0,15.0,3.0,0.0,0.0,0.0
41,2020-04-06,79.69,78.57,96.3,87.5,1222.0,40.0,16.0,1.0,0.0,0.0,0.0
42,2020-04-07,79.69,78.57,96.3,87.5,1282.0,60.0,18.0,2.0,0.0,0.0,0.0
43,2020-04-08,79.69,78.57,96.3,87.5,1343.0,61.0,19.0,1.0,0.0,0.0,0.0
44,2020-04-09,79.69,78.57,96.3,87.5,1407.0,64.0,20.0,1.0,0.0,0.0,0.0
45,2020-04-10,79.69,78.57,96.3,87.5,1495.0,88.0,21.0,1.0,0.0,0.0,0.0
46,2020-04-11,81.77,80.95,96.3,87.5,1534.0,39.0,21.0,0.0,0.0,0.0,0.0
47,2020-04-12,81.77,80.95,96.3,87.5,1600.0,66.0,23.0,2.0,0.0,0.0,0.0
48,2020-04-13,81.77,80.95,96.3,87.5,1650.0,50.0,25.0,2.0,0.0,0.0,0.0
49,2020-04-14,81.77,80.95,96.3,87.5,1704.0,54.0,31.0,6.0,0.0,0.0,0.0
50,2020-04-15,81.77,80.95,96.3,87.5,1741.0,37.0,33.0,2.0,0.0,0.0,0.0
51,2020-04-16,81.77,80.95,96.3,87.5,1791.0,50.0,35.0,2.0,0.0,0.0,0.0
52,2020-04-17,81.77,80.95,96.3,87.5,1814.0,23.0,36.0,1.0,0.0,0.0,0.0
53,2020-04-18,81.77,80.95,96.3,87.5,1832.0,18.0,39.0,3.0,0.0,0.0,0.0
54,2020-04-19,81.77,80.95,96.3,87.5,1871.0,39.0,47.0,8.0,0.0,0.0,0.0
55,2020-04-20,81.77,80.95,96.3,87.5,1881.0,10.0,47.0,0.0,0.0,0.0,0.0
56,2020-04-21,81.77,80.95,96.3,87.5,1908.0,27.0,48.0,1.0,0.0,0.0,0.0
57,2020-04-22,81.77,80.95,96.3,87.5,1950.0,42.0,48.0,0.0,0.0,0.0,0.0
58,2020-04-23,81.77,80.95,96.3,87.5,1981.0,31.0,50.0,2.0,0.0,0.0,0.0
59,2020-04-24,81.77,80.95,96.3,87.5,2009.0,28.0,51.0,1.0,0.0,0.0,0.0
60,2020-04-25,81.77,80.95,96.3,87.5,2016.0,7.0,54.0,3.0,0.0,0.0,0.0
61,2020-04-26,81.77,80.95,96.3,87.5,2030.0,14.0,55.0,1.0,0.0,0.0,0.0
62,2020-04-27,78.12,76.79,89.81,87.5,2039.0,9.0,59.0,4.0,0.0,0.0,0.0
63,2020-04-28,78.12,76.79,89.81,87.5,2047.0,8.0,63.0,4.0,0.0,0.0,0.0
64,2020-04-29,78.12,76.79,89.81,87.5,2062.0,15.0,67.0,4.0,0.0,0.0,0.0
65,2020-04-30,78.12,76.79,89.81,87.5,2076.0,14.0,69.0,2.0,0.0,0.0,0.0
66,2020-05-01,78.12,76.79,89.81,87.5,2085.0,9.0,75.0,6.0,0.0,0.0,0.0
67,2020-05-02,78.12,76.79,89.81,87.5,2088.0,3.0,77.0,2.0,0.0,0.0,0.0
68,2020-05-03,78.12,76.79,89.81,87.5,2096.0,8.0,79.0,2.0,0.0,0.0,0.0
69,2020-05-04,80.21,79.17,89.81,87.5,2101.0,5.0,80.0,1.0,0.0,0.0,0.0
70,2020-05-05,80.21,79.17,89.81,87.5,2112.0,11.0,83.0,3.0,0.0,0.0,0.0
71,2020-05-06,80.21,79.17,89.81,87.5,2119.0,7.0,85.0,2.0,0.0,0.0,0.0
72,2020-05-07,80.21,79.17,89.81,87.5,2125.0,6.0,86.0,1.0,0.0,0.0,0.0
73,2020-05-08,80.21,79.17,89.81,87.5,2161.0,36.0,86.0,0.0,0.0,0.0,0.0
74,2020-05-09,80.21,79.17,89.81,87.5,2176.0,15.0,87.0,1.0,0.0,0.0,0.0
75,2020-05-10,80.21,79.17,89.81,87.5,2187.0,11.0,90.0,3.0,0.0,0.0,0.0
76,2020-05-11,69.27,66.67,70.37,87.5,2196.0,9.0,91.0,1.0,0.0,0.0,0.0
77,2020-05-12,69.27,66.67,70.37,87.5,2207.0,11.0,91.0,0.0,0.0,0.0,0.0
78,2020-05-13,69.27,66.67,70.37,87.5,2213.0,6.0,94.0,3.0,0.0,0.0,0.0
79,2020-05-14,69.27,66.67,70.37,87.5,2221.0,8.0,94.0,0.0,0.0,0.0,0.0
80,2020-05-15,69.27,66.67,70.37,87.5,2222.0,1.0,95.0,1.0,0.0,0.0,0.0
