,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-12,15.1,17.26,13.89,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-13,15.1,17.26,13.89,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-14,15.1,17.26,13.89,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-15,15.1,17.26,13.89,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-16,15.1,17.26,13.89,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-17,15.1,17.26,13.89,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-18,15.1,17.26,13.89,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0
7,2020-03-19,15.1,17.26,13.89,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-20,24.48,27.98,30.56,0.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-21,24.48,27.98,30.56,0.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-22,24.48,27.98,30.56,0.0,35.0,14.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-23,30.73,35.12,41.67,0.0,40.0,5.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-24,44.79,51.19,66.67,0.0,48.0,8.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-25,44.79,51.19,66.67,0.0,57.0,9.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-26,44.79,51.19,66.67,0.0,67.0,10.0,2.0,1.0,0.0,0.0,0.0
15,2020-03-27,44.79,51.19,66.67,0.0,80.0,13.0,2.0,0.0,0.0,0.0,0.0
16,2020-03-28,44.79,51.19,66.67,0.0,119.0,39.0,3.0,1.0,0.0,0.0,0.0
17,2020-03-29,44.79,51.19,66.67,0.0,139.0,20.0,3.0,0.0,0.0,0.0,0.0
18,2020-03-30,44.79,51.19,66.67,0.0,170.0,31.0,4.0,1.0,0.0,0.0,0.0
19,2020-03-31,44.79,51.19,66.67,0.0,186.0,16.0,6.0,2.0,0.0,0.0,0.0
20,2020-04-01,49.48,56.55,66.67,0.0,212.0,26.0,6.0,0.0,0.0,0.0,0.0
21,2020-04-02,49.48,56.55,66.67,0.0,233.0,21.0,6.0,0.0,0.0,0.0,0.0
22,2020-04-03,54.69,62.5,66.67,0.0,269.0,36.0,6.0,0.0,0.0,0.0,0.0
23,2020-04-04,54.69,62.5,66.67,0.0,288.0,19.0,6.0,0.0,0.0,0.0,0.0
24,2020-04-05,54.69,62.5,66.67,0.0,320.0,32.0,8.0,2.0,0.0,0.0,0.0
25,2020-04-06,54.69,62.5,66.67,0.0,350.0,30.0,9.0,1.0,0.0,0.0,0.0
26,2020-04-07,56.77,64.88,70.37,0.0,396.0,46.0,11.0,2.0,0.0,0.0,0.0
27,2020-04-08,56.77,64.88,70.37,0.0,457.0,61.0,12.0,1.0,0.0,0.0,0.0
28,2020-04-09,63.02,64.88,70.37,50.0,515.0,58.0,15.0,3.0,0.0,0.0,0.0
29,2020-04-10,63.02,64.88,70.37,50.0,564.0,49.0,15.0,0.0,0.0,0.0,0.0
30,2020-04-11,64.58,66.67,73.15,50.0,620.0,56.0,16.0,1.0,0.0,0.0,0.0
31,2020-04-12,64.58,66.67,73.15,50.0,669.0,49.0,18.0,2.0,0.0,0.0,0.0
32,2020-04-13,64.58,66.67,73.15,50.0,726.0,57.0,21.0,3.0,0.0,0.0,0.0
33,2020-04-14,64.58,66.67,73.15,50.0,766.0,40.0,21.0,0.0,0.0,0.0,0.0
34,2020-04-15,66.15,66.67,73.15,62.5,814.0,48.0,24.0,3.0,0.0,0.0,0.0
35,2020-04-16,66.15,66.67,73.15,62.5,862.0,48.0,27.0,3.0,0.0,0.0,0.0
36,2020-04-17,71.88,73.21,83.33,62.5,923.0,61.0,31.0,4.0,0.0,0.0,0.0
37,2020-04-18,71.88,73.21,83.33,62.5,986.0,63.0,32.0,1.0,0.0,0.0,0.0
38,2020-04-19,71.88,73.21,83.33,62.5,1035.0,49.0,34.0,2.0,0.0,0.0,0.0
39,2020-04-20,71.88,73.21,83.33,62.5,1087.0,52.0,36.0,2.0,0.0,0.0,0.0
40,2020-04-21,71.88,73.21,83.33,62.5,1137.0,50.0,38.0,2.0,0.0,0.0,0.0
41,2020-04-22,71.88,73.21,83.33,62.5,1189.0,52.0,40.0,2.0,0.0,0.0,0.0
42,2020-04-23,71.88,73.21,83.33,62.5,1235.0,46.0,43.0,3.0,0.0,0.0,0.0
43,2020-04-24,71.88,73.21,83.33,62.5,1285.0,50.0,49.0,6.0,0.0,0.0,0.0
44,2020-04-25,71.88,73.21,83.33,62.5,1337.0,52.0,51.0,2.0,0.0,0.0,0.0
45,2020-04-26,71.88,73.21,83.33,62.5,1369.0,32.0,54.0,3.0,0.0,0.0,0.0
46,2020-04-27,71.88,73.21,83.33,62.5,1389.0,20.0,56.0,2.0,0.0,0.0,0.0
47,2020-04-28,71.88,73.21,83.33,62.5,1437.0,48.0,58.0,2.0,0.0,0.0,0.0
48,2020-04-29,71.88,73.21,83.33,62.5,1467.0,30.0,58.0,0.0,0.0,0.0,0.0
49,2020-04-30,71.88,73.21,83.33,62.5,1501.0,34.0,61.0,3.0,0.0,0.0,0.0
50,2020-05-01,71.88,73.21,83.33,62.5,1537.0,36.0,64.0,3.0,0.0,0.0,0.0
51,2020-05-02,71.88,73.21,83.33,62.5,1611.0,74.0,66.0,2.0,0.0,0.0,0.0
52,2020-05-03,71.88,73.21,83.33,62.5,1649.0,38.0,67.0,1.0,0.0,0.0,0.0
53,2020-05-04,70.31,73.21,83.33,50.0,1668.0,19.0,69.0,2.0,0.0,0.0,0.0
54,2020-05-05,72.4,75.6,85.19,50.0,1685.0,17.0,69.0,0.0,0.0,0.0,0.0
55,2020-05-06,72.4,75.6,85.19,50.0,1703.0,18.0,69.0,0.0,0.0,0.0,0.0
56,2020-05-07,72.4,75.6,85.19,50.0,1729.0,26.0,73.0,4.0,0.0,0.0,0.0
57,2020-05-08,72.4,75.6,85.19,50.0,1741.0,12.0,74.0,1.0,0.0,0.0,0.0
58,2020-05-09,72.4,75.6,85.19,50.0,1754.0,13.0,74.0,0.0,0.0,0.0,0.0
59,2020-05-10,72.4,75.6,85.19,50.0,1766.0,12.0,77.0,3.0,0.0,0.0,0.0
