,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-10,18.75,14.29,22.22,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-11,18.75,14.29,22.22,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-12,21.88,17.86,22.22,50.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-13,31.25,28.57,38.89,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-14,31.25,28.57,38.89,50.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-15,40.62,32.14,44.44,100.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-16,44.79,36.9,51.85,100.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-17,44.79,36.9,51.85,100.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-18,44.79,36.9,51.85,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-19,44.79,36.9,51.85,100.0,58.0,18.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-20,44.79,36.9,51.85,100.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-21,44.79,36.9,51.85,100.0,67.0,9.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-22,44.79,36.9,51.85,100.0,84.0,17.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-23,53.12,46.43,62.96,100.0,95.0,11.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-24,73.96,70.24,92.59,100.0,116.0,21.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-25,73.96,70.24,92.59,100.0,124.0,8.0,3.0,3.0,0.0,0.0,0.0
16,2020-03-26,73.96,70.24,92.59,100.0,132.0,8.0,3.0,0.0,0.0,0.0,0.0
17,2020-03-27,73.96,70.24,92.59,100.0,146.0,14.0,3.0,0.0,0.0,0.0,0.0
18,2020-03-28,73.96,70.24,92.59,100.0,162.0,16.0,5.0,2.0,0.0,0.0,0.0
19,2020-03-29,73.96,70.24,92.59,100.0,179.0,17.0,5.0,0.0,0.0,0.0,0.0
20,2020-03-30,73.96,70.24,92.59,100.0,214.0,35.0,6.0,1.0,0.0,0.0,0.0
21,2020-03-31,73.96,70.24,92.59,100.0,230.0,16.0,7.0,1.0,0.0,0.0,0.0
22,2020-04-01,73.96,70.24,92.59,100.0,262.0,32.0,8.0,1.0,0.0,0.0,0.0
23,2020-04-02,73.96,70.24,92.59,100.0,320.0,58.0,9.0,1.0,0.0,0.0,0.0
24,2020-04-03,73.96,70.24,92.59,100.0,356.0,36.0,9.0,0.0,0.0,0.0,0.0
25,2020-04-04,76.04,72.62,92.59,100.0,396.0,40.0,9.0,0.0,0.0,0.0,0.0
26,2020-04-05,76.04,72.62,92.59,100.0,426.0,30.0,9.0,0.0,0.0,0.0,0.0
27,2020-04-06,76.04,72.62,92.59,100.0,446.0,20.0,9.0,0.0,0.0,0.0,0.0
28,2020-04-07,76.04,72.62,92.59,100.0,465.0,19.0,9.0,0.0,0.0,0.0,0.0
29,2020-04-08,76.04,72.62,92.59,100.0,494.0,29.0,9.0,0.0,0.0,0.0,0.0
30,2020-04-09,76.04,72.62,92.59,100.0,526.0,32.0,9.0,0.0,0.0,0.0,0.0
31,2020-04-10,76.04,72.62,92.59,100.0,564.0,38.0,10.0,1.0,0.0,0.0,0.0
32,2020-04-11,80.21,77.38,92.59,100.0,595.0,31.0,10.0,0.0,0.0,0.0,0.0
33,2020-04-12,80.21,77.38,92.59,100.0,616.0,21.0,10.0,0.0,0.0,0.0,0.0
34,2020-04-13,80.21,77.38,92.59,100.0,633.0,17.0,11.0,1.0,0.0,0.0,0.0
35,2020-04-14,80.21,77.38,92.59,100.0,662.0,29.0,12.0,1.0,0.0,0.0,0.0
36,2020-04-15,80.21,77.38,92.59,100.0,695.0,33.0,12.0,0.0,0.0,0.0,0.0
37,2020-04-16,84.38,82.14,94.44,100.0,715.0,20.0,12.0,0.0,0.0,0.0,0.0
38,2020-04-17,84.38,82.14,94.44,100.0,735.0,20.0,12.0,0.0,0.0,0.0,0.0
39,2020-04-18,84.38,82.14,94.44,100.0,735.0,0.0,12.0,0.0,0.0,0.0,0.0
40,2020-04-19,84.38,82.14,94.44,100.0,761.0,26.0,12.0,0.0,0.0,0.0,0.0
41,2020-04-20,84.38,82.14,94.44,100.0,767.0,6.0,12.0,0.0,0.0,0.0,0.0
42,2020-04-21,84.38,82.14,94.44,100.0,772.0,5.0,12.0,0.0,0.0,0.0,0.0
43,2020-04-22,84.38,82.14,94.44,100.0,784.0,12.0,12.0,0.0,0.0,0.0,0.0
44,2020-04-23,84.38,82.14,94.44,100.0,790.0,6.0,14.0,2.0,0.0,0.0,0.0
45,2020-04-24,84.38,82.14,94.44,100.0,795.0,5.0,14.0,0.0,0.0,0.0,0.0
46,2020-04-25,84.38,82.14,94.44,100.0,804.0,9.0,14.0,0.0,0.0,0.0,0.0
47,2020-04-26,84.38,82.14,94.44,100.0,810.0,6.0,14.0,0.0,0.0,0.0,0.0
48,2020-04-27,84.38,82.14,94.44,100.0,817.0,7.0,14.0,0.0,0.0,0.0,0.0
49,2020-04-28,84.38,82.14,94.44,100.0,822.0,5.0,15.0,1.0,0.0,0.0,0.0
50,2020-04-29,84.38,82.14,94.44,100.0,837.0,15.0,15.0,0.0,0.0,0.0,0.0
51,2020-04-30,84.38,82.14,94.44,100.0,843.0,6.0,15.0,0.0,0.0,0.0,0.0
52,2020-05-01,84.38,82.14,94.44,100.0,850.0,7.0,15.0,0.0,0.0,0.0,0.0
53,2020-05-02,84.38,82.14,94.44,100.0,857.0,7.0,15.0,0.0,0.0,0.0,0.0
54,2020-05-03,84.38,82.14,94.44,100.0,864.0,7.0,15.0,0.0,0.0,0.0,0.0
55,2020-05-04,83.33,80.95,92.59,100.0,872.0,8.0,15.0,0.0,0.0,0.0,0.0
56,2020-05-05,83.33,80.95,92.59,100.0,874.0,2.0,15.0,0.0,0.0,0.0,0.0
57,2020-05-06,83.33,80.95,92.59,100.0,878.0,4.0,15.0,0.0,0.0,0.0,0.0
