,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-01,17.19,19.64,19.44,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,17.19,19.64,19.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,17.19,19.64,19.44,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,17.19,19.64,19.44,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,17.19,19.64,19.44,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,17.19,19.64,19.44,0.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,17.19,19.64,19.44,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,17.19,19.64,19.44,0.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,19.27,22.02,19.44,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,22.4,25.6,25.0,0.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-11,34.9,39.88,47.22,0.0,91.0,50.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-12,39.58,41.67,50.0,25.0,94.0,3.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-13,43.75,46.43,57.41,25.0,141.0,47.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-14,45.83,48.81,61.11,25.0,189.0,48.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-15,50.0,53.57,68.52,25.0,253.0,64.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-16,56.25,60.71,79.63,25.0,298.0,45.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-17,56.25,60.71,79.63,25.0,396.0,98.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-18,67.19,73.21,79.63,25.0,464.0,68.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-19,67.19,73.21,79.63,25.0,694.0,230.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-20,67.19,73.21,79.63,25.0,833.0,139.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-21,67.19,73.21,79.63,25.0,995.0,162.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-22,67.19,73.21,79.63,25.0,1120.0,125.0,1.0,1.0,0.0,0.0,0.0
22,2020-03-23,68.75,75.0,82.41,25.0,1236.0,116.0,1.0,0.0,0.0,0.0,0.0
23,2020-03-24,68.75,75.0,82.41,25.0,1394.0,158.0,3.0,2.0,0.0,0.0,0.0
24,2020-03-25,68.75,75.0,82.41,25.0,1654.0,260.0,6.0,3.0,0.0,0.0,0.0
25,2020-03-26,71.88,75.0,82.41,50.0,1925.0,271.0,9.0,3.0,0.0,0.0,0.0
26,2020-03-27,73.96,77.38,82.41,50.0,2279.0,354.0,9.0,0.0,0.0,0.0,0.0
27,2020-03-28,73.96,77.38,82.41,50.0,2631.0,352.0,11.0,2.0,0.0,0.0,0.0
28,2020-03-29,73.96,77.38,82.41,50.0,2817.0,186.0,16.0,5.0,0.0,0.0,0.0
29,2020-03-30,73.96,77.38,82.41,50.0,3001.0,184.0,23.0,7.0,0.0,0.0,0.0
30,2020-03-31,80.21,77.38,82.41,100.0,3308.0,307.0,31.0,8.0,0.0,0.0,0.0
31,2020-04-01,80.21,77.38,82.41,100.0,3508.0,200.0,39.0,8.0,0.0,0.0,0.0
32,2020-04-02,75.52,72.02,74.07,100.0,3858.0,350.0,44.0,5.0,0.0,0.0,0.0
33,2020-04-03,75.52,72.02,74.07,100.0,4091.0,233.0,53.0,9.0,0.0,0.0,0.0
34,2020-04-04,75.52,72.02,74.07,100.0,4472.0,381.0,59.0,6.0,0.0,0.0,0.0
35,2020-04-05,75.52,72.02,74.07,100.0,4587.0,115.0,67.0,8.0,0.0,0.0,0.0
