,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-11,14.58,13.1,11.11,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-12,14.58,13.1,11.11,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-13,14.58,13.1,11.11,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-14,14.58,13.1,11.11,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-15,14.58,13.1,11.11,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-16,14.58,13.1,11.11,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-17,14.58,13.1,11.11,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-18,19.27,18.45,19.44,25.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-19,38.02,39.88,52.78,25.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-20,39.58,41.67,55.56,25.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-21,39.58,41.67,55.56,25.0,23.0,5.0,1.0,1.0,0.0,0.0,0.0
11,2020-03-22,41.15,43.45,58.33,25.0,30.0,7.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-23,41.15,43.45,58.33,25.0,36.0,6.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-24,52.08,55.95,77.78,25.0,45.0,9.0,2.0,1.0,0.0,0.0,0.0
14,2020-03-25,52.08,55.95,77.78,25.0,48.0,3.0,2.0,0.0,0.0,0.0,0.0
15,2020-03-26,52.08,55.95,77.78,25.0,51.0,3.0,3.0,1.0,0.0,0.0,0.0
16,2020-03-27,52.08,55.95,77.78,25.0,51.0,0.0,3.0,0.0,0.0,0.0,0.0
17,2020-03-28,52.08,55.95,77.78,25.0,65.0,14.0,6.0,3.0,0.0,0.0,0.0
18,2020-03-29,52.08,55.95,77.78,25.0,65.0,0.0,6.0,0.0,0.0,0.0,0.0
19,2020-03-30,52.08,55.95,77.78,25.0,81.0,16.0,8.0,2.0,0.0,0.0,0.0
20,2020-03-31,52.08,55.95,77.78,25.0,98.0,17.0,8.0,0.0,0.0,0.0,0.0
