,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-18,22.92,26.19,22.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-19,29.17,33.33,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-20,29.17,33.33,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-21,29.17,33.33,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-22,36.46,41.67,46.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-23,63.54,72.62,94.44,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-24,63.54,72.62,94.44,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-25,63.54,72.62,94.44,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-26,63.54,72.62,94.44,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-27,63.54,72.62,94.44,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-28,63.54,72.62,94.44,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-29,63.54,72.62,94.44,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-30,63.54,72.62,94.44,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-31,63.54,72.62,94.44,0.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-01,63.54,72.62,94.44,0.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-02,63.54,72.62,94.44,0.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-03,63.54,72.62,94.44,0.0,49.0,9.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-04,63.54,72.62,94.44,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-05,63.54,72.62,94.44,0.0,59.0,9.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-06,63.54,72.62,94.44,0.0,90.0,31.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-07,63.54,72.62,94.44,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-08,63.54,72.62,94.44,0.0,135.0,45.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-09,63.54,72.62,94.44,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-10,63.54,72.62,94.44,0.0,150.0,15.0,1.0,1.0,0.0,0.0,0.0
24,2020-04-11,63.54,72.62,94.44,0.0,187.0,37.0,2.0,1.0,0.0,0.0,0.0
25,2020-04-12,63.54,72.62,94.44,0.0,214.0,27.0,2.0,0.0,0.0,0.0,0.0
26,2020-04-13,63.54,72.62,94.44,0.0,298.0,84.0,2.0,0.0,0.0,0.0,0.0
27,2020-04-14,63.54,72.62,94.44,0.0,363.0,65.0,2.0,0.0,0.0,0.0,0.0
28,2020-04-15,63.54,72.62,94.44,0.0,435.0,72.0,2.0,0.0,0.0,0.0,0.0
29,2020-04-16,63.54,72.62,94.44,0.0,591.0,156.0,2.0,0.0,0.0,0.0,0.0
