,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-22,18.23,20.83,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-23,26.56,30.36,25.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-24,26.56,30.36,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-25,26.56,30.36,25.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-26,26.56,30.36,25.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-27,26.56,30.36,25.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-28,29.69,33.93,30.56,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-29,29.69,33.93,30.56,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-30,29.69,33.93,30.56,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-31,29.69,33.93,30.56,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-01,57.29,65.48,79.63,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-02,57.29,65.48,79.63,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-03,57.29,65.48,79.63,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-04,57.29,65.48,79.63,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-05,57.29,65.48,79.63,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-06,57.29,65.48,79.63,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-07,57.29,65.48,79.63,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-08,57.29,65.48,79.63,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-09,57.29,65.48,79.63,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-10,57.29,65.48,79.63,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-11,57.29,65.48,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-12,57.29,65.48,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-13,57.29,65.48,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-14,57.29,65.48,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-15,57.29,65.48,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-16,61.98,70.83,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-17,61.98,70.83,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-18,61.98,70.83,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-19,61.98,70.83,79.63,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
