,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-14,8.33,9.52,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-15,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-16,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-17,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-18,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-02-19,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-02-20,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-02-21,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-02-22,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-02-23,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-02-24,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-25,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-26,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-27,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-28,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-29,8.33,9.52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-01,8.33,9.52,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-02,8.33,9.52,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-03,8.33,9.52,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-04,8.33,9.52,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-05,8.33,9.52,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-06,8.33,9.52,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-07,8.33,9.52,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-08,8.33,9.52,0.0,0.0,49.0,34.0,1.0,1.0,0.0,0.0,0.0
24,2020-03-09,8.33,9.52,0.0,0.0,55.0,6.0,1.0,0.0,0.0,0.0,0.0
25,2020-03-10,8.33,9.52,0.0,0.0,59.0,4.0,1.0,0.0,0.0,0.0,0.0
26,2020-03-11,8.33,9.52,0.0,0.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0
27,2020-03-12,8.33,9.52,0.0,0.0,67.0,7.0,1.0,0.0,0.0,0.0,0.0
28,2020-03-13,8.33,9.52,0.0,0.0,80.0,13.0,2.0,1.0,0.0,0.0,0.0
29,2020-03-14,8.33,9.52,0.0,0.0,109.0,29.0,2.0,0.0,0.0,0.0,0.0
30,2020-03-15,14.58,16.67,11.11,0.0,110.0,1.0,2.0,0.0,0.0,0.0,0.0
31,2020-03-16,18.75,21.43,18.52,0.0,150.0,40.0,2.0,0.0,0.0,0.0,0.0
32,2020-03-17,18.75,21.43,18.52,0.0,196.0,46.0,4.0,2.0,0.0,0.0,0.0
33,2020-03-18,18.75,21.43,18.52,0.0,196.0,0.0,6.0,2.0,0.0,0.0,0.0
34,2020-03-19,25.0,28.57,29.63,0.0,256.0,60.0,6.0,0.0,0.0,0.0,0.0
35,2020-03-20,25.0,28.57,29.63,0.0,285.0,29.0,8.0,2.0,0.0,0.0,0.0
36,2020-03-21,31.25,35.71,40.74,0.0,294.0,9.0,10.0,2.0,0.0,0.0,0.0
37,2020-03-22,37.5,35.71,40.74,50.0,327.0,33.0,14.0,4.0,0.0,0.0,0.0
38,2020-03-23,37.5,35.71,40.74,50.0,366.0,39.0,19.0,5.0,0.0,0.0,0.0
39,2020-03-24,43.75,42.86,51.85,50.0,402.0,36.0,20.0,1.0,0.0,0.0,0.0
40,2020-03-25,66.15,68.45,84.26,50.0,456.0,54.0,21.0,1.0,0.0,0.0,0.0
41,2020-03-26,66.15,68.45,84.26,50.0,495.0,39.0,24.0,3.0,0.0,0.0,0.0
42,2020-03-27,66.15,68.45,84.26,50.0,536.0,41.0,30.0,6.0,0.0,0.0,0.0
43,2020-03-28,66.15,68.45,84.26,50.0,576.0,40.0,36.0,6.0,0.0,0.0,0.0
44,2020-03-29,66.15,68.45,84.26,50.0,609.0,33.0,40.0,4.0,0.0,0.0,0.0
45,2020-03-30,66.15,68.45,84.26,50.0,656.0,47.0,41.0,1.0,0.0,0.0,0.0
46,2020-03-31,66.15,68.45,84.26,50.0,710.0,54.0,46.0,5.0,0.0,0.0,0.0
47,2020-04-01,66.15,68.45,84.26,50.0,779.0,69.0,52.0,6.0,0.0,0.0,0.0
48,2020-04-02,66.15,68.45,84.26,50.0,865.0,86.0,58.0,6.0,0.0,0.0,0.0
49,2020-04-03,66.15,68.45,84.26,50.0,985.0,120.0,66.0,8.0,0.0,0.0,0.0
50,2020-04-04,66.15,68.45,84.26,50.0,1070.0,85.0,71.0,5.0,0.0,0.0,0.0
51,2020-04-05,66.15,68.45,84.26,50.0,1173.0,103.0,78.0,7.0,0.0,0.0,0.0
52,2020-04-06,66.15,68.45,84.26,50.0,1322.0,149.0,85.0,7.0,0.0,0.0,0.0
53,2020-04-07,66.15,68.45,84.26,50.0,1450.0,128.0,94.0,9.0,0.0,0.0,0.0
54,2020-04-08,66.15,68.45,84.26,50.0,1560.0,110.0,103.0,9.0,0.0,0.0,0.0
55,2020-04-09,66.15,68.45,84.26,50.0,1699.0,139.0,118.0,15.0,0.0,0.0,0.0
56,2020-04-10,66.15,68.45,84.26,50.0,1794.0,95.0,135.0,17.0,0.0,0.0,0.0
