,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-19,48.44,51.79,65.74,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-20,48.44,51.79,65.74,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-21,63.54,69.05,88.89,25.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-22,63.54,69.05,88.89,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-23,63.54,69.05,88.89,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-24,63.54,69.05,88.89,25.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-25,63.54,69.05,88.89,25.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-26,63.54,69.05,88.89,25.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-27,63.54,69.05,88.89,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-28,63.54,69.05,88.89,25.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-29,63.54,69.05,88.89,25.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-30,63.54,69.05,88.89,25.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-31,63.54,69.05,88.89,25.0,32.0,2.0,1.0,1.0,0.0,0.0,0.0
13,2020-04-01,66.67,69.05,88.89,50.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2020-04-02,66.67,69.05,88.89,50.0,41.0,9.0,2.0,1.0,0.0,0.0,0.0
15,2020-04-03,66.67,69.05,88.89,50.0,46.0,5.0,2.0,0.0,0.0,0.0,0.0
16,2020-04-04,66.67,69.05,88.89,50.0,56.0,10.0,3.0,1.0,0.0,0.0,0.0
17,2020-04-05,66.67,69.05,88.89,50.0,62.0,6.0,3.0,0.0,0.0,0.0,0.0
18,2020-04-06,66.67,69.05,88.89,50.0,69.0,7.0,4.0,1.0,0.0,0.0,0.0
19,2020-04-07,66.67,69.05,88.89,50.0,78.0,9.0,4.0,0.0,0.0,0.0,0.0
