,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-27,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-01,4.69,0.0,0.0,37.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-02,4.69,0.0,0.0,37.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-03,4.69,0.0,0.0,37.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-04,4.69,0.0,0.0,37.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-05,4.69,0.0,0.0,37.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-06,4.69,0.0,0.0,37.5,10.0,7.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-07,4.69,0.0,0.0,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-08,4.69,0.0,0.0,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-09,4.69,0.0,0.0,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-10,4.69,0.0,0.0,37.5,12.0,2.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-11,4.69,0.0,0.0,37.5,16.0,4.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-12,22.92,20.83,25.0,37.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-13,26.04,20.83,25.0,62.5,79.0,63.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-14,30.73,26.19,33.33,62.5,115.0,36.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-15,30.73,26.19,33.33,62.5,171.0,56.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-16,36.98,33.33,44.44,62.5,205.0,34.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-17,40.1,36.9,50.0,62.5,225.0,20.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-18,40.1,36.9,50.0,62.5,258.0,33.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-19,40.1,36.9,50.0,62.5,267.0,9.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-20,40.1,36.9,50.0,62.5,283.0,16.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-21,40.1,36.9,50.0,62.5,306.0,23.0,0.0,0.0,0.0,0.0,0.0
