,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-13,6.77,7.74,2.78,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-14,6.77,7.74,2.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-15,6.77,7.74,2.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-16,25.0,28.57,35.19,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-17,25.0,28.57,35.19,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-18,25.0,28.57,35.19,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-19,25.0,28.57,35.19,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-20,25.0,28.57,35.19,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-21,25.0,28.57,35.19,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-22,25.0,28.57,35.19,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-23,28.12,32.14,40.74,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-24,28.12,32.14,40.74,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-25,34.38,39.29,51.85,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-26,39.06,44.64,60.19,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-27,39.06,44.64,60.19,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-28,39.06,44.64,60.19,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-29,38.02,43.45,58.33,0.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-30,42.71,48.81,66.67,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-31,42.71,48.81,66.67,0.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-01,42.71,48.81,66.67,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-02,42.71,48.81,66.67,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-03,42.71,48.81,66.67,0.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-04,42.71,48.81,66.67,0.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-05,42.71,48.81,66.67,0.0,43.0,5.0,2.0,2.0,0.0,0.0,0.0
24,2020-04-06,42.71,48.81,66.67,0.0,44.0,1.0,2.0,0.0,0.0,0.0,0.0
25,2020-04-07,42.71,48.81,66.67,0.0,52.0,8.0,2.0,0.0,0.0,0.0,0.0
26,2020-04-08,58.33,63.1,80.56,25.0,55.0,3.0,2.0,0.0,0.0,0.0,0.0
27,2020-04-09,58.33,63.1,80.56,25.0,56.0,1.0,2.0,0.0,0.0,0.0,0.0
28,2020-04-10,58.33,63.1,80.56,25.0,65.0,9.0,3.0,1.0,0.0,0.0,0.0
29,2020-04-11,58.33,63.1,80.56,25.0,69.0,4.0,3.0,0.0,0.0,0.0,0.0
30,2020-04-12,58.33,63.1,80.56,25.0,71.0,2.0,3.0,0.0,0.0,0.0,0.0
31,2020-04-13,58.33,63.1,80.56,25.0,74.0,3.0,3.0,0.0,0.0,0.0,0.0
32,2020-04-14,58.33,63.1,80.56,25.0,82.0,8.0,3.0,0.0,0.0,0.0,0.0
33,2020-04-15,58.33,63.1,80.56,25.0,85.0,3.0,3.0,0.0,0.0,0.0,0.0
34,2020-04-16,58.33,63.1,80.56,25.0,92.0,7.0,3.0,0.0,0.0,0.0,0.0
35,2020-04-17,58.33,63.1,80.56,25.0,96.0,4.0,3.0,0.0,0.0,0.0,0.0
36,2020-04-18,58.33,63.1,80.56,25.0,105.0,9.0,3.0,0.0,0.0,0.0,0.0
37,2020-04-19,58.33,63.1,80.56,25.0,108.0,3.0,3.0,0.0,0.0,0.0,0.0
38,2020-04-20,58.33,63.1,80.56,25.0,111.0,3.0,3.0,0.0,0.0,0.0,0.0
39,2020-04-21,58.33,63.1,80.56,25.0,114.0,3.0,3.0,0.0,0.0,0.0,0.0
40,2020-04-22,58.33,63.1,80.56,25.0,116.0,2.0,3.0,0.0,0.0,0.0,0.0
41,2020-04-23,58.33,63.1,80.56,25.0,116.0,0.0,3.0,0.0,0.0,0.0,0.0
