,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-04,7.29,8.33,5.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-05,7.29,8.33,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-06,7.29,8.33,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-07,7.29,8.33,5.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-08,7.29,8.33,5.56,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-09,7.29,8.33,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-10,7.29,8.33,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-11,7.29,8.33,5.56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-12,20.83,23.81,29.63,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-13,23.96,27.38,35.19,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-14,23.96,27.38,35.19,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-15,36.46,30.95,40.74,75.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-16,42.71,38.1,51.85,75.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-17,42.71,38.1,51.85,75.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-18,42.71,38.1,51.85,75.0,58.0,11.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-19,42.71,38.1,51.85,75.0,72.0,14.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-20,42.71,38.1,51.85,75.0,80.0,8.0,0.0,0.0,0.0,0.0,0.0
