,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-19,59.38,67.86,79.63,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-20,59.38,67.86,79.63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-21,59.38,67.86,79.63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-22,59.38,67.86,79.63,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-23,60.42,69.05,81.48,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-24,60.42,69.05,81.48,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-25,60.42,69.05,81.48,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-26,66.67,69.05,81.48,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-27,69.79,69.05,81.48,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-28,69.79,69.05,81.48,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-29,71.35,70.83,84.26,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-30,72.4,72.02,86.11,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-31,72.4,72.02,86.11,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-01,72.4,72.02,86.11,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-02,72.4,72.02,86.11,75.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-03,72.4,72.02,86.11,75.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-04,72.4,72.02,86.11,75.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-05,72.4,72.02,86.11,75.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-06,72.4,72.02,86.11,75.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-07,72.4,72.02,86.11,75.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-08,72.4,72.02,86.11,75.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-09,72.4,72.02,86.11,75.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-10,72.4,72.02,86.11,75.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-11,72.4,72.02,86.11,75.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-12,72.4,72.02,86.11,75.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-13,72.4,72.02,86.11,75.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-14,72.4,72.02,86.11,75.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-15,72.4,72.02,86.11,75.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-16,72.4,72.02,86.11,75.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-17,74.48,74.4,86.11,75.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-18,74.48,74.4,86.11,75.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-19,74.48,74.4,86.11,75.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-20,74.48,74.4,86.11,75.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-21,74.48,74.4,86.11,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-22,74.48,74.4,86.11,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-23,74.48,74.4,86.11,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-24,74.48,74.4,86.11,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-04-25,74.48,74.4,86.11,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-26,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-04-27,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-28,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-04-29,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-04-30,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-05-01,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-05-02,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-05-03,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-05-04,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-05-05,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-05-06,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-05-07,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-05-08,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-05-09,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-05-10,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-05-11,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-05-12,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-05-13,71.35,70.83,80.56,75.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
