,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-14,22.92,26.19,33.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-15,22.92,26.19,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-16,29.17,33.33,44.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-17,29.17,33.33,44.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-18,29.17,33.33,44.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-19,29.17,33.33,44.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-20,39.58,45.24,62.96,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0
7,2020-03-21,47.92,54.76,70.37,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-22,47.92,54.76,70.37,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-23,47.92,54.76,70.37,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-24,47.92,54.76,70.37,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-25,47.92,54.76,70.37,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-26,47.92,54.76,70.37,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-27,47.92,54.76,70.37,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-28,47.92,54.76,70.37,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
15,2020-03-29,47.92,54.76,70.37,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-30,54.17,61.9,70.37,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-31,54.17,61.9,70.37,0.0,16.0,9.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-01,54.17,61.9,70.37,0.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-02,54.17,61.9,70.37,0.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0
20,2020-04-03,58.85,61.9,70.37,37.5,21.0,0.0,1.0,0.0,0.0,0.0,0.0
21,2020-04-04,58.85,61.9,70.37,37.5,21.0,0.0,1.0,0.0,0.0,0.0,0.0
22,2020-04-05,58.85,61.9,70.37,37.5,21.0,0.0,1.0,0.0,0.0,0.0,0.0
23,2020-04-06,58.85,61.9,70.37,37.5,24.0,3.0,1.0,0.0,0.0,0.0,0.0
24,2020-04-07,58.85,61.9,70.37,37.5,30.0,6.0,1.0,0.0,0.0,0.0,0.0
25,2020-04-08,58.85,61.9,70.37,37.5,34.0,4.0,1.0,0.0,0.0,0.0,0.0
26,2020-04-09,65.1,61.9,70.37,87.5,44.0,10.0,1.0,0.0,0.0,0.0,0.0
27,2020-04-10,67.71,64.88,76.85,87.5,44.0,0.0,1.0,0.0,0.0,0.0,0.0
28,2020-04-11,67.71,64.88,76.85,87.5,46.0,2.0,1.0,0.0,0.0,0.0,0.0
29,2020-04-12,68.75,66.07,78.7,87.5,49.0,3.0,1.0,0.0,0.0,0.0,0.0
