,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-26,19.27,22.02,19.44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-27,19.27,22.02,19.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-28,19.27,22.02,19.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-29,19.27,22.02,19.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-01,25.52,29.17,30.56,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-02,31.77,36.31,41.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-03,31.77,36.31,41.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-04,31.77,36.31,41.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-05,31.77,36.31,41.67,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-06,31.77,36.31,41.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-07,31.77,36.31,41.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-08,31.77,36.31,41.67,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-09,33.85,38.69,45.37,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-10,33.85,38.69,45.37,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-11,33.85,38.69,45.37,0.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-12,33.85,38.69,45.37,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-13,33.85,38.69,45.37,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-14,38.02,43.45,52.78,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-15,38.02,43.45,52.78,0.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-16,40.1,45.83,52.78,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-17,40.1,45.83,52.78,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-18,41.67,47.62,55.56,0.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-19,43.75,50.0,59.26,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0
23,2020-03-20,43.75,50.0,59.26,0.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-21,50.0,57.14,70.37,0.0,49.0,6.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-22,54.69,62.5,78.7,0.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0
