,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-14,10.94,12.5,8.33,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-15,14.06,16.07,13.89,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-16,31.25,35.71,44.44,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-17,36.46,41.67,50.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-18,36.46,41.67,50.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-19,36.46,41.67,50.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-20,36.46,41.67,50.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-21,36.46,41.67,50.0,0.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0
8,2020-03-22,38.02,43.45,52.78,0.0,23.0,4.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-23,38.02,43.45,52.78,0.0,27.0,4.0,2.0,1.0,0.0,0.0,0.0
10,2020-03-24,38.02,43.45,52.78,0.0,53.0,26.0,2.0,0.0,0.0,0.0,0.0
11,2020-03-25,38.02,43.45,52.78,0.0,93.0,40.0,4.0,2.0,0.0,0.0,0.0
12,2020-03-26,38.02,43.45,52.78,0.0,132.0,39.0,4.0,0.0,0.0,0.0,0.0
13,2020-03-27,38.02,43.45,52.78,0.0,137.0,5.0,4.0,0.0,0.0,0.0,0.0
14,2020-03-28,38.02,43.45,52.78,0.0,141.0,4.0,5.0,1.0,0.0,0.0,0.0
15,2020-03-29,38.02,43.45,52.78,0.0,152.0,11.0,5.0,0.0,0.0,0.0,0.0
16,2020-03-30,55.73,63.69,84.26,0.0,152.0,0.0,5.0,0.0,0.0,0.0,0.0
17,2020-03-31,55.73,63.69,84.26,0.0,161.0,9.0,5.0,0.0,0.0,0.0,0.0
18,2020-04-01,60.94,69.64,86.11,0.0,195.0,34.0,5.0,0.0,0.0,0.0,0.0
19,2020-04-02,60.94,69.64,86.11,0.0,204.0,9.0,5.0,0.0,0.0,0.0,0.0
20,2020-04-03,60.94,69.64,86.11,0.0,205.0,1.0,5.0,0.0,0.0,0.0,0.0
