,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-02-26,6.25,7.14,11.11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-02-27,6.25,7.14,11.11,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-28,6.25,7.14,11.11,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-29,10.94,12.5,19.44,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-01,10.94,12.5,19.44,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-02,10.94,12.5,19.44,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-03,10.94,12.5,19.44,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-04,10.94,12.5,19.44,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-05,16.15,18.45,28.7,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-06,16.15,18.45,28.7,0.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-07,16.15,18.45,28.7,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-08,16.15,18.45,28.7,0.0,73.0,27.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-09,17.71,20.24,31.48,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-10,18.75,21.43,33.33,0.0,89.0,16.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-11,18.75,21.43,33.33,0.0,99.0,10.0,1.0,1.0,0.0,0.0,0.0
15,2020-03-12,22.92,26.19,40.74,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-13,22.92,26.19,40.74,0.0,190.0,91.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-14,30.73,35.12,54.63,0.0,228.0,38.0,3.0,2.0,0.0,0.0,0.0
18,2020-03-15,30.73,35.12,54.63,0.0,331.0,103.0,4.0,1.0,0.0,0.0,0.0
19,2020-03-16,30.73,35.12,54.63,0.0,331.0,0.0,4.0,0.0,0.0,0.0,0.0
20,2020-03-17,30.73,35.12,54.63,0.0,387.0,56.0,5.0,1.0,0.0,0.0,0.0
21,2020-03-18,38.54,42.26,65.74,12.5,418.0,31.0,5.0,0.0,0.0,0.0,0.0
22,2020-03-19,38.54,42.26,65.74,12.5,418.0,0.0,6.0,1.0,0.0,0.0,0.0
23,2020-03-20,38.54,42.26,65.74,12.5,495.0,77.0,8.0,2.0,0.0,0.0,0.0
24,2020-03-21,43.23,47.62,74.07,12.5,530.0,35.0,13.0,5.0,0.0,0.0,0.0
25,2020-03-22,43.23,47.62,74.07,12.5,624.0,94.0,15.0,2.0,0.0,0.0,0.0
26,2020-03-23,55.21,61.31,84.26,12.5,695.0,71.0,17.0,2.0,0.0,0.0,0.0
27,2020-03-24,55.21,61.31,84.26,12.5,743.0,48.0,20.0,3.0,0.0,0.0,0.0
28,2020-03-25,59.9,61.31,84.26,50.0,835.0,92.0,22.0,2.0,0.0,0.0,0.0
29,2020-03-26,59.9,61.31,84.26,50.0,835.0,0.0,22.0,0.0,0.0,0.0,0.0
30,2020-03-27,59.9,61.31,84.26,50.0,835.0,0.0,22.0,0.0,0.0,0.0,0.0
31,2020-03-28,59.9,61.31,84.26,50.0,835.0,0.0,22.0,0.0,0.0,0.0,0.0
32,2020-03-29,59.9,61.31,84.26,50.0,1156.0,321.0,38.0,16.0,0.0,0.0,0.0
33,2020-03-30,59.9,61.31,84.26,50.0,1156.0,0.0,38.0,0.0,0.0,0.0,0.0
34,2020-03-31,59.9,61.31,84.26,50.0,1156.0,0.0,38.0,0.0,0.0,0.0,0.0
35,2020-04-01,59.9,61.31,84.26,50.0,1156.0,0.0,38.0,0.0,0.0,0.0,0.0
36,2020-04-02,59.9,61.31,84.26,50.0,1156.0,0.0,38.0,0.0,0.0,0.0,0.0
37,2020-04-03,59.9,61.31,84.26,50.0,1613.0,457.0,59.0,21.0,0.0,0.0,0.0
38,2020-04-04,59.9,61.31,84.26,50.0,1673.0,60.0,68.0,9.0,0.0,0.0,0.0
39,2020-04-05,59.9,61.31,84.26,50.0,1735.0,62.0,73.0,5.0,0.0,0.0,0.0
40,2020-04-06,59.9,61.31,84.26,50.0,1755.0,20.0,79.0,6.0,0.0,0.0,0.0
41,2020-04-07,59.9,61.31,84.26,50.0,1832.0,77.0,81.0,2.0,0.0,0.0,0.0
42,2020-04-08,64.06,66.07,84.26,50.0,1884.0,52.0,83.0,2.0,0.0,0.0,0.0
43,2020-04-09,64.06,66.07,84.26,50.0,1955.0,71.0,86.0,3.0,0.0,0.0,0.0
44,2020-04-10,64.06,66.07,84.26,50.0,2009.0,54.0,90.0,4.0,0.0,0.0,0.0
45,2020-04-11,64.06,66.07,84.26,50.0,2081.0,72.0,93.0,3.0,0.0,0.0,0.0
46,2020-04-12,64.06,66.07,84.26,50.0,2081.0,0.0,93.0,0.0,0.0,0.0,0.0
47,2020-04-13,64.06,66.07,84.26,50.0,2145.0,64.0,99.0,6.0,0.0,0.0,0.0
48,2020-04-14,64.06,66.07,84.26,50.0,2170.0,25.0,101.0,2.0,0.0,0.0,0.0
49,2020-04-15,64.06,66.07,84.26,50.0,2192.0,22.0,102.0,1.0,0.0,0.0,0.0
50,2020-04-16,64.06,66.07,84.26,50.0,2207.0,15.0,105.0,3.0,0.0,0.0,0.0
51,2020-04-17,64.06,66.07,84.26,50.0,2224.0,17.0,108.0,3.0,0.0,0.0,0.0
52,2020-04-18,64.06,66.07,84.26,50.0,2235.0,11.0,110.0,2.0,0.0,0.0,0.0
53,2020-04-19,64.06,66.07,84.26,50.0,2245.0,10.0,116.0,6.0,0.0,0.0,0.0
54,2020-04-20,64.06,66.07,84.26,50.0,2245.0,0.0,116.0,0.0,0.0,0.0,0.0
55,2020-04-21,64.06,66.07,84.26,50.0,2401.0,156.0,121.0,5.0,0.0,0.0,0.0
56,2020-04-22,64.06,66.07,84.26,50.0,2408.0,7.0,121.0,0.0,0.0,0.0,0.0
