,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-16,23.96,27.38,33.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-17,23.96,27.38,33.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-18,41.67,47.62,61.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-19,47.92,54.76,72.22,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-20,47.92,54.76,72.22,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-21,52.6,54.76,72.22,37.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-22,52.6,54.76,72.22,37.5,4.0,2.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-23,52.6,54.76,72.22,37.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-24,55.73,58.33,72.22,37.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-25,55.73,58.33,72.22,37.5,6.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-26,58.85,61.9,77.78,37.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-27,58.85,61.9,77.78,37.5,10.0,4.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-28,58.85,61.9,77.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-29,58.85,61.9,77.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-30,58.85,61.9,77.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-31,58.85,61.9,77.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-01,58.85,61.9,77.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-02,58.85,61.9,77.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-03,58.85,61.9,77.78,37.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-04,58.85,61.9,77.78,37.5,11.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-05,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-06,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-07,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-08,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-09,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-10,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-11,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-12,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-13,58.85,61.9,77.78,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-14,57.81,60.71,75.93,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-15,57.81,60.71,75.93,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-16,57.81,60.71,75.93,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-17,57.81,60.71,75.93,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-18,57.81,60.71,75.93,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-04-19,57.81,60.71,75.93,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-20,56.77,59.52,74.07,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-21,56.77,59.52,74.07,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-04-22,55.21,57.74,71.3,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-23,55.21,57.74,71.3,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-04-24,55.21,57.74,71.3,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-25,53.65,55.95,68.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-04-26,53.65,55.95,68.52,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-04-27,49.48,51.19,61.11,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-04-28,49.48,51.19,61.11,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-04-29,49.48,51.19,61.11,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-04-30,46.35,47.62,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-05-01,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-05-02,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-05-03,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-05-04,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-05-05,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2020-05-06,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-05-07,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-05-08,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-05-09,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-05-10,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2020-05-11,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-05-12,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2020-05-13,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-05-14,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-05-15,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2020-05-16,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-05-17,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2020-05-18,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2020-05-19,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-05-20,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-05-21,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-05-22,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2020-05-23,50.52,52.38,55.56,37.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2020-05-24,50.52,52.38,55.56,37.5,12.0,1.0,0.0,0.0,0.0,0.0,0.0
70,2020-05-25,50.52,52.38,55.56,37.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2020-05-26,50.52,52.38,55.56,37.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2020-05-27,50.52,52.38,55.56,37.5,13.0,1.0,0.0,0.0,0.0,0.0,0.0
73,2020-05-28,50.52,52.38,55.56,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2020-05-29,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2020-05-30,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2020-05-31,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2020-06-01,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-06-02,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2020-06-03,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2020-06-04,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2020-06-05,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2020-06-06,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2020-06-07,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2020-06-08,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2020-06-09,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2020-06-10,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2020-06-11,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2020-06-12,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2020-06-13,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2020-06-14,48.44,50.0,51.85,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2020-06-15,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2020-06-16,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2020-06-17,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2020-06-18,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2020-06-19,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2020-06-20,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2020-06-21,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2020-06-22,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2020-06-23,43.23,44.05,42.59,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2020-06-24,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-06-25,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2020-06-26,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2020-06-27,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2020-06-28,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2020-06-29,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2020-06-30,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2020-07-01,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2020-07-02,40.1,40.48,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2020-07-03,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2020-07-04,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2020-07-05,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2020-07-06,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2020-07-07,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2020-07-08,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2020-07-09,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2020-07-10,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2020-07-11,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2020-07-12,38.02,38.1,37.04,37.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
