,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-14,20.83,23.81,33.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-15,25.52,29.17,41.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-16,31.77,36.31,52.78,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
3,2020-03-17,48.96,55.95,83.33,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0
4,2020-03-18,48.96,55.95,83.33,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
5,2020-03-19,48.96,55.95,83.33,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0
6,2020-03-20,48.96,55.95,83.33,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-21,48.96,55.95,83.33,0.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-22,58.85,67.26,93.52,0.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-23,58.85,67.26,93.52,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-24,58.85,67.26,93.52,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-25,58.85,67.26,93.52,0.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-26,60.94,69.64,93.52,0.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-27,60.94,69.64,93.52,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-28,60.94,69.64,93.52,0.0,34.0,6.0,1.0,0.0,0.0,0.0,0.0
15,2020-03-29,60.94,69.64,93.52,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-30,60.94,69.64,93.52,0.0,36.0,2.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-31,60.94,69.64,93.52,0.0,38.0,2.0,1.0,0.0,0.0,0.0,0.0
18,2020-04-01,60.94,69.64,93.52,0.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0
19,2020-04-02,60.94,69.64,93.52,0.0,47.0,8.0,1.0,0.0,0.0,0.0,0.0
20,2020-04-03,60.94,69.64,93.52,0.0,50.0,3.0,1.0,0.0,0.0,0.0,0.0
21,2020-04-04,60.94,69.64,93.52,0.0,61.0,11.0,2.0,1.0,0.0,0.0,0.0
22,2020-04-05,60.94,69.64,93.52,0.0,61.0,0.0,2.0,0.0,0.0,0.0,0.0
23,2020-04-06,60.94,69.64,93.52,0.0,70.0,9.0,3.0,1.0,0.0,0.0,0.0
24,2020-04-07,60.94,69.64,93.52,0.0,77.0,7.0,3.0,0.0,0.0,0.0,0.0
25,2020-04-08,65.62,75.0,93.52,0.0,87.0,10.0,3.0,0.0,0.0,0.0,0.0
26,2020-04-09,65.62,75.0,93.52,0.0,95.0,8.0,3.0,0.0,0.0,0.0,0.0
27,2020-04-10,65.62,75.0,93.52,0.0,126.0,31.0,3.0,0.0,0.0,0.0,0.0
28,2020-04-11,65.62,75.0,93.52,0.0,137.0,11.0,3.0,0.0,0.0,0.0,0.0
29,2020-04-12,65.62,75.0,93.52,0.0,155.0,18.0,5.0,2.0,0.0,0.0,0.0
30,2020-04-13,65.62,75.0,93.52,0.0,156.0,1.0,5.0,0.0,0.0,0.0,0.0
31,2020-04-14,65.62,75.0,93.52,0.0,167.0,11.0,5.0,0.0,0.0,0.0,0.0
32,2020-04-15,65.62,75.0,93.52,0.0,180.0,13.0,5.0,0.0,0.0,0.0,0.0
33,2020-04-16,65.62,75.0,93.52,0.0,196.0,16.0,5.0,0.0,0.0,0.0,0.0
34,2020-04-17,65.62,75.0,93.52,0.0,214.0,18.0,7.0,2.0,0.0,0.0,0.0
35,2020-04-18,67.19,76.79,96.3,0.0,235.0,21.0,7.0,0.0,0.0,0.0,0.0
36,2020-04-19,67.19,76.79,96.3,0.0,257.0,22.0,7.0,0.0,0.0,0.0,0.0
37,2020-04-20,67.19,76.79,96.3,0.0,289.0,32.0,7.0,0.0,0.0,0.0,0.0
38,2020-04-21,76.56,76.79,96.3,75.0,294.0,5.0,7.0,0.0,0.0,0.0,0.0
39,2020-04-22,76.56,76.79,96.3,75.0,316.0,22.0,8.0,1.0,0.0,0.0,0.0
40,2020-04-23,76.56,76.79,96.3,75.0,384.0,68.0,11.0,3.0,0.0,0.0,0.0
41,2020-04-24,76.56,76.79,96.3,75.0,430.0,46.0,11.0,0.0,0.0,0.0,0.0
42,2020-04-25,76.56,76.79,96.3,75.0,473.0,43.0,13.0,2.0,0.0,0.0,0.0
43,2020-04-26,76.56,76.79,96.3,75.0,500.0,27.0,15.0,2.0,0.0,0.0,0.0
44,2020-04-27,76.56,76.79,96.3,75.0,530.0,30.0,15.0,0.0,0.0,0.0,0.0
45,2020-04-28,76.56,76.79,96.3,75.0,530.0,0.0,15.0,0.0,0.0,0.0,0.0
46,2020-04-29,76.56,76.79,96.3,75.0,557.0,27.0,16.0,1.0,0.0,0.0,0.0
47,2020-04-30,76.56,76.79,96.3,75.0,599.0,42.0,16.0,0.0,0.0,0.0,0.0
48,2020-05-01,76.56,76.79,96.3,75.0,644.0,45.0,16.0,0.0,0.0,0.0,0.0
49,2020-05-02,76.56,76.79,96.3,75.0,688.0,44.0,17.0,1.0,0.0,0.0,0.0
