,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-13,15.1,17.26,13.89,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-14,15.1,17.26,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-15,15.1,17.26,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-16,15.1,17.26,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-17,15.1,17.26,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-18,15.1,17.26,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-19,15.1,17.26,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-20,15.1,17.26,13.89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-21,21.35,24.4,25.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-22,21.35,24.4,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-23,21.35,24.4,25.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-24,21.35,24.4,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-25,21.35,24.4,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-26,21.35,24.4,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-27,47.4,54.17,71.3,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-28,47.4,54.17,71.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-29,47.4,54.17,71.3,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-30,51.56,58.93,78.7,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0
18,2020-03-31,51.56,58.93,78.7,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-04-01,51.56,58.93,78.7,0.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-02,51.56,58.93,78.7,0.0,52.0,22.0,0.0,0.0,0.0,0.0,0.0
21,2020-04-03,51.56,58.93,78.7,0.0,73.0,21.0,0.0,0.0,0.0,0.0,0.0
22,2020-04-04,51.56,58.93,78.7,0.0,111.0,38.0,0.0,0.0,0.0,0.0,0.0
23,2020-04-05,51.56,58.93,78.7,0.0,121.0,10.0,0.0,0.0,0.0,0.0,0.0
24,2020-04-06,59.38,58.93,78.7,62.5,128.0,7.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-07,59.38,58.93,78.7,62.5,144.0,16.0,0.0,0.0,0.0,0.0,0.0
26,2020-04-08,59.38,58.93,78.7,62.5,164.0,20.0,0.0,0.0,0.0,0.0,0.0
27,2020-04-09,59.38,58.93,78.7,62.5,194.0,30.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-10,59.38,58.93,78.7,62.5,212.0,18.0,0.0,0.0,0.0,0.0,0.0
29,2020-04-11,59.38,58.93,78.7,62.5,250.0,38.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-12,59.38,58.93,78.7,62.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-13,59.38,58.93,78.7,62.5,319.0,69.0,0.0,0.0,0.0,0.0,0.0
32,2020-04-14,59.38,58.93,78.7,62.5,363.0,44.0,0.0,0.0,0.0,0.0,0.0
33,2020-04-15,59.38,58.93,78.7,62.5,404.0,41.0,1.0,1.0,0.0,0.0,0.0
34,2020-04-16,59.38,58.93,78.7,62.5,438.0,34.0,1.0,0.0,0.0,0.0,0.0
35,2020-04-17,59.38,58.93,78.7,62.5,477.0,39.0,3.0,2.0,0.0,0.0,0.0
36,2020-04-18,65.62,66.07,78.7,62.5,518.0,41.0,3.0,0.0,0.0,0.0,0.0
37,2020-04-19,65.62,66.07,78.7,62.5,579.0,61.0,5.0,2.0,0.0,0.0,0.0
38,2020-04-20,65.62,66.07,78.7,62.5,622.0,43.0,5.0,0.0,0.0,0.0,0.0
39,2020-04-21,65.62,66.07,78.7,62.5,688.0,66.0,6.0,1.0,0.0,0.0,0.0
40,2020-04-22,65.62,66.07,78.7,62.5,761.0,73.0,6.0,0.0,0.0,0.0,0.0
41,2020-04-23,65.62,66.07,78.7,62.5,862.0,101.0,6.0,0.0,0.0,0.0,0.0
42,2020-04-24,65.62,66.07,78.7,62.5,954.0,92.0,6.0,0.0,0.0,0.0,0.0
43,2020-04-25,65.62,66.07,78.7,62.5,996.0,42.0,7.0,1.0,0.0,0.0,0.0
44,2020-04-26,65.62,66.07,78.7,62.5,996.0,0.0,7.0,0.0,0.0,0.0,0.0
45,2020-04-27,65.62,66.07,78.7,62.5,1163.0,167.0,7.0,0.0,0.0,0.0,0.0
46,2020-04-28,65.62,66.07,78.7,62.5,1240.0,77.0,7.0,0.0,0.0,0.0,0.0
47,2020-04-29,65.62,66.07,78.7,62.5,1351.0,111.0,7.0,0.0,0.0,0.0,0.0
48,2020-04-30,65.62,66.07,78.7,62.5,1495.0,144.0,7.0,0.0,0.0,0.0,0.0
49,2020-05-01,65.62,66.07,78.7,62.5,1537.0,42.0,7.0,0.0,0.0,0.0,0.0
50,2020-05-02,65.62,66.07,78.7,62.5,1586.0,49.0,7.0,0.0,0.0,0.0,0.0
51,2020-05-03,65.62,66.07,78.7,62.5,1586.0,0.0,7.0,0.0,0.0,0.0,0.0
52,2020-05-04,65.62,66.07,78.7,62.5,1710.0,124.0,9.0,2.0,0.0,0.0,0.0
53,2020-05-05,65.62,66.07,78.7,62.5,1811.0,101.0,10.0,1.0,0.0,0.0,0.0
54,2020-05-06,65.62,66.07,78.7,62.5,1856.0,45.0,11.0,1.0,0.0,0.0,0.0
55,2020-05-07,65.62,66.07,78.7,62.5,1927.0,71.0,11.0,0.0,0.0,0.0,0.0
56,2020-05-08,65.62,66.07,78.7,62.5,2009.0,82.0,11.0,0.0,0.0,0.0,0.0
57,2020-05-09,65.62,66.07,78.7,62.5,2042.0,33.0,11.0,0.0,0.0,0.0,0.0
58,2020-05-10,65.62,66.07,78.7,62.5,2146.0,104.0,11.0,0.0,0.0,0.0,0.0
59,2020-05-11,65.62,66.07,78.7,62.5,2146.0,0.0,11.0,0.0,0.0,0.0,0.0
60,2020-05-12,65.62,66.07,78.7,62.5,2298.0,152.0,11.0,0.0,0.0,0.0,0.0
61,2020-05-13,65.62,66.07,78.7,62.5,2374.0,76.0,14.0,3.0,0.0,0.0,0.0
62,2020-05-14,65.62,66.07,78.7,62.5,2473.0,99.0,15.0,1.0,0.0,0.0,0.0
63,2020-05-15,65.62,66.07,78.7,62.5,2473.0,0.0,15.0,0.0,0.0,0.0,0.0
64,2020-05-16,65.62,66.07,78.7,62.5,2658.0,185.0,16.0,1.0,0.0,0.0,0.0
65,2020-05-17,65.62,66.07,78.7,62.5,2658.0,0.0,16.0,0.0,0.0,0.0,0.0
66,2020-05-18,65.62,66.07,78.7,62.5,2796.0,138.0,16.0,0.0,0.0,0.0,0.0
67,2020-05-19,65.62,66.07,78.7,62.5,2863.0,67.0,18.0,2.0,0.0,0.0,0.0
68,2020-05-20,65.62,66.07,78.7,62.5,2863.0,0.0,18.0,0.0,0.0,0.0,0.0
69,2020-05-21,65.62,66.07,78.7,62.5,3067.0,204.0,18.0,0.0,0.0,0.0,0.0
70,2020-05-22,65.62,66.07,78.7,62.5,3067.0,0.0,19.0,1.0,0.0,0.0,0.0
71,2020-05-23,65.62,66.07,78.7,62.5,3176.0,109.0,20.0,1.0,0.0,0.0,0.0
72,2020-05-24,65.62,66.07,78.7,62.5,3275.0,99.0,20.0,0.0,0.0,0.0,0.0
73,2020-05-25,65.62,66.07,78.7,62.5,3275.0,0.0,20.0,0.0,0.0,0.0,0.0
74,2020-05-26,65.62,66.07,78.7,62.5,3275.0,0.0,20.0,0.0,0.0,0.0,0.0
75,2020-05-27,65.62,66.07,78.7,62.5,3275.0,0.0,20.0,0.0,0.0,0.0,0.0
76,2020-05-28,65.62,66.07,78.7,62.5,3553.0,278.0,22.0,2.0,0.0,0.0,0.0
