,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-12,22.4,25.6,25.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2020-03-13,22.4,25.6,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2020-03-14,22.4,25.6,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2020-03-15,22.4,25.6,25.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
4,2020-03-16,28.65,32.74,36.11,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
5,2020-03-17,28.65,32.74,36.11,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0
6,2020-03-18,31.77,36.31,41.67,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2020-03-19,31.77,36.31,41.67,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
8,2020-03-20,31.77,36.31,41.67,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
9,2020-03-21,31.77,36.31,41.67,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2020-03-22,31.77,36.31,41.67,0.0,19.0,12.0,1.0,0.0,0.0,0.0,0.0
11,2020-03-23,31.77,36.31,41.67,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0
12,2020-03-24,31.77,36.31,41.67,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-25,31.77,36.31,41.67,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2020-03-26,36.98,38.69,45.37,25.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
15,2020-03-27,38.54,40.48,48.15,25.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2020-03-28,43.75,46.43,57.41,25.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-29,43.75,46.43,57.41,25.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
18,2020-03-30,43.75,46.43,57.41,25.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2020-03-31,43.75,46.43,57.41,25.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0
20,2020-04-01,45.31,48.21,57.41,25.0,19.0,7.0,2.0,0.0,0.0,0.0,0.0
21,2020-04-02,45.31,48.21,57.41,25.0,19.0,0.0,4.0,2.0,0.0,0.0,0.0
22,2020-04-03,67.19,73.21,85.19,25.0,23.0,4.0,4.0,0.0,0.0,0.0,0.0
23,2020-04-04,67.19,73.21,85.19,25.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0
24,2020-04-05,67.19,73.21,85.19,25.0,24.0,1.0,4.0,0.0,0.0,0.0,0.0
25,2020-04-06,67.19,73.21,85.19,25.0,31.0,7.0,4.0,0.0,0.0,0.0,0.0
26,2020-04-07,68.75,75.0,85.19,25.0,33.0,2.0,5.0,1.0,0.0,0.0,0.0
27,2020-04-08,68.75,75.0,85.19,25.0,37.0,4.0,6.0,1.0,0.0,0.0,0.0
28,2020-04-09,69.79,76.19,87.04,25.0,37.0,0.0,6.0,0.0,0.0,0.0,0.0
29,2020-04-10,69.79,76.19,87.04,25.0,37.0,0.0,6.0,0.0,0.0,0.0,0.0
30,2020-04-11,69.79,76.19,87.04,25.0,45.0,8.0,6.0,0.0,0.0,0.0,0.0
31,2020-04-12,69.79,76.19,87.04,25.0,45.0,0.0,6.0,0.0,0.0,0.0,0.0
32,2020-04-13,69.79,76.19,87.04,25.0,45.0,0.0,6.0,0.0,0.0,0.0,0.0
33,2020-04-14,69.79,76.19,87.04,25.0,47.0,2.0,6.0,0.0,0.0,0.0,0.0
34,2020-04-15,69.79,76.19,87.04,25.0,55.0,8.0,6.0,0.0,0.0,0.0,0.0
35,2020-04-16,69.79,76.19,87.04,25.0,55.0,0.0,6.0,0.0,0.0,0.0,0.0
36,2020-04-17,69.79,76.19,87.04,25.0,63.0,8.0,6.0,0.0,0.0,0.0,0.0
37,2020-04-18,69.79,76.19,87.04,25.0,63.0,0.0,6.0,0.0,0.0,0.0,0.0
38,2020-04-19,69.79,76.19,87.04,25.0,65.0,2.0,7.0,1.0,0.0,0.0,0.0
39,2020-04-20,69.79,76.19,87.04,25.0,65.0,0.0,7.0,0.0,0.0,0.0,0.0
40,2020-04-21,69.79,76.19,87.04,25.0,66.0,1.0,7.0,0.0,0.0,0.0,0.0
41,2020-04-22,69.79,76.19,87.04,25.0,67.0,1.0,7.0,0.0,0.0,0.0,0.0
42,2020-04-23,69.79,76.19,87.04,25.0,70.0,3.0,7.0,0.0,0.0,0.0,0.0
43,2020-04-24,69.79,76.19,87.04,25.0,73.0,3.0,7.0,0.0,0.0,0.0,0.0
44,2020-04-25,69.79,76.19,87.04,25.0,73.0,0.0,7.0,0.0,0.0,0.0,0.0
45,2020-04-26,69.79,76.19,87.04,25.0,74.0,1.0,8.0,1.0,0.0,0.0,0.0
46,2020-04-27,69.79,76.19,87.04,25.0,74.0,0.0,8.0,0.0,0.0,0.0,0.0
47,2020-04-28,69.79,76.19,87.04,25.0,74.0,0.0,8.0,0.0,0.0,0.0,0.0
48,2020-04-29,69.79,76.19,87.04,25.0,78.0,4.0,8.0,0.0,0.0,0.0,0.0
49,2020-04-30,69.79,76.19,87.04,25.0,82.0,4.0,9.0,1.0,0.0,0.0,0.0
50,2020-05-01,69.79,76.19,87.04,25.0,82.0,0.0,9.0,0.0,0.0,0.0,0.0
51,2020-05-02,69.79,76.19,87.04,25.0,82.0,0.0,9.0,0.0,0.0,0.0,0.0
52,2020-05-03,69.79,76.19,87.04,25.0,82.0,0.0,9.0,0.0,0.0,0.0,0.0
53,2020-05-04,69.79,76.19,87.04,25.0,92.0,10.0,9.0,0.0,0.0,0.0,0.0
54,2020-05-05,69.79,76.19,87.04,25.0,93.0,1.0,10.0,1.0,0.0,0.0,0.0
55,2020-05-06,69.79,76.19,87.04,25.0,93.0,0.0,10.0,0.0,0.0,0.0,0.0
56,2020-05-07,69.79,76.19,87.04,25.0,93.0,0.0,10.0,0.0,0.0,0.0,0.0
57,2020-05-08,69.79,76.19,87.04,25.0,94.0,1.0,10.0,0.0,0.0,0.0,0.0
58,2020-05-09,69.79,76.19,87.04,25.0,94.0,0.0,10.0,0.0,0.0,0.0,0.0
59,2020-05-10,69.79,76.19,87.04,25.0,104.0,10.0,10.0,0.0,0.0,0.0,0.0
60,2020-05-11,69.79,76.19,87.04,25.0,109.0,5.0,10.0,0.0,0.0,0.0,0.0
61,2020-05-12,69.79,76.19,87.04,25.0,113.0,4.0,10.0,0.0,0.0,0.0,0.0
62,2020-05-13,69.79,76.19,87.04,25.0,113.0,0.0,10.0,0.0,0.0,0.0,0.0
63,2020-05-14,69.79,76.19,87.04,25.0,113.0,0.0,10.0,0.0,0.0,0.0,0.0
64,2020-05-15,69.79,76.19,87.04,25.0,116.0,3.0,10.0,0.0,0.0,0.0,0.0
65,2020-05-16,69.79,76.19,87.04,25.0,117.0,1.0,10.0,0.0,0.0,0.0,0.0
66,2020-05-17,69.79,76.19,87.04,25.0,117.0,0.0,10.0,0.0,0.0,0.0,0.0
