,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-20,48.44,55.36,82.41,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-21,48.44,55.36,82.41,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-22,51.56,55.36,82.41,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-23,51.56,55.36,82.41,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-24,51.56,55.36,82.41,25.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-25,51.56,55.36,82.41,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-26,51.56,55.36,82.41,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-27,51.56,55.36,82.41,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-28,51.56,55.36,82.41,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-29,51.56,55.36,82.41,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-30,51.56,55.36,82.41,25.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-31,51.56,55.36,82.41,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-04-01,51.56,55.36,82.41,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-04-02,51.56,55.36,82.41,25.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2020-04-03,51.56,55.36,82.41,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-04,51.56,55.36,82.41,25.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0
16,2020-04-05,51.56,55.36,82.41,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-04-06,56.25,60.71,90.74,25.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0
18,2020-04-07,56.25,60.71,90.74,25.0,24.0,3.0,1.0,1.0,0.0,0.0,0.0
19,2020-04-08,56.25,60.71,90.74,25.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0
20,2020-04-09,56.25,60.71,90.74,25.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0
21,2020-04-10,56.25,60.71,90.74,25.0,30.0,3.0,2.0,1.0,0.0,0.0,0.0
22,2020-04-11,56.25,60.71,90.74,25.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
23,2020-04-12,56.25,60.71,90.74,25.0,31.0,1.0,2.0,0.0,0.0,0.0,0.0
24,2020-04-13,56.25,60.71,90.74,25.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0
25,2020-04-14,56.25,60.71,90.74,25.0,40.0,9.0,3.0,1.0,0.0,0.0,0.0
26,2020-04-15,56.25,60.71,90.74,25.0,40.0,0.0,3.0,0.0,0.0,0.0,0.0
27,2020-04-16,56.25,60.71,90.74,25.0,41.0,1.0,3.0,0.0,0.0,0.0,0.0
