,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
0,2020-03-11,11.46,13.1,11.11,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-12,11.46,13.1,11.11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-13,23.96,27.38,33.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-14,23.96,27.38,33.33,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-15,23.96,27.38,33.33,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-16,64.06,73.21,93.52,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-17,64.06,73.21,93.52,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-18,64.06,73.21,93.52,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-19,64.06,73.21,93.52,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-20,66.15,75.6,97.22,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-21,67.71,77.38,100.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-22,67.71,77.38,100.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-23,67.71,77.38,100.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0
13,2020-03-24,67.71,77.38,100.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-25,67.71,77.38,100.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-26,67.71,77.38,100.0,0.0,52.0,16.0,1.0,1.0,0.0,0.0,0.0
16,2020-03-27,67.71,77.38,100.0,0.0,68.0,16.0,1.0,0.0,0.0,0.0,0.0
17,2020-03-28,67.71,77.38,100.0,0.0,95.0,27.0,1.0,0.0,0.0,0.0,0.0
18,2020-03-29,67.71,77.38,100.0,0.0,110.0,15.0,3.0,2.0,0.0,0.0,0.0
19,2020-03-30,67.71,77.38,100.0,0.0,139.0,29.0,7.0,4.0,0.0,0.0,0.0
20,2020-03-31,67.71,77.38,100.0,0.0,141.0,2.0,7.0,0.0,0.0,0.0,0.0
21,2020-04-01,67.71,77.38,100.0,0.0,172.0,31.0,10.0,3.0,0.0,0.0,0.0
22,2020-04-02,67.71,77.38,100.0,0.0,219.0,47.0,14.0,4.0,0.0,0.0,0.0
23,2020-04-03,78.65,77.38,100.0,87.5,222.0,3.0,15.0,1.0,0.0,0.0,0.0
24,2020-04-04,78.65,77.38,100.0,87.5,264.0,42.0,15.0,0.0,0.0,0.0,0.0
25,2020-04-05,78.65,77.38,100.0,87.5,268.0,4.0,22.0,7.0,0.0,0.0,0.0
26,2020-04-06,78.65,77.38,100.0,87.5,298.0,30.0,22.0,0.0,0.0,0.0,0.0
27,2020-04-07,78.65,77.38,100.0,87.5,305.0,7.0,22.0,0.0,0.0,0.0,0.0
28,2020-04-08,78.65,77.38,100.0,87.5,312.0,7.0,22.0,0.0,0.0,0.0,0.0
29,2020-04-09,78.65,77.38,100.0,87.5,343.0,31.0,23.0,1.0,0.0,0.0,0.0
30,2020-04-10,78.65,77.38,100.0,87.5,382.0,39.0,23.0,0.0,0.0,0.0,0.0
31,2020-04-11,78.65,77.38,100.0,87.5,392.0,10.0,24.0,1.0,0.0,0.0,0.0
32,2020-04-12,78.65,77.38,100.0,87.5,393.0,1.0,25.0,1.0,0.0,0.0,0.0
33,2020-04-13,78.65,77.38,100.0,87.5,397.0,4.0,25.0,0.0,0.0,0.0,0.0
34,2020-04-14,78.65,77.38,100.0,87.5,407.0,10.0,26.0,1.0,0.0,0.0,0.0
35,2020-04-15,78.65,77.38,100.0,87.5,419.0,12.0,31.0,5.0,0.0,0.0,0.0
36,2020-04-16,78.65,77.38,100.0,87.5,426.0,7.0,35.0,4.0,0.0,0.0,0.0
37,2020-04-17,78.65,77.38,100.0,87.5,442.0,16.0,41.0,6.0,0.0,0.0,0.0
38,2020-04-18,78.65,77.38,100.0,87.5,457.0,15.0,46.0,5.0,0.0,0.0,0.0
39,2020-04-19,78.65,77.38,100.0,87.5,472.0,15.0,46.0,0.0,0.0,0.0,0.0
40,2020-04-20,78.65,77.38,100.0,87.5,477.0,5.0,46.0,0.0,0.0,0.0,0.0
41,2020-04-21,78.65,77.38,100.0,87.5,494.0,17.0,46.0,0.0,0.0,0.0,0.0
42,2020-04-22,78.65,77.38,100.0,87.5,510.0,16.0,46.0,0.0,0.0,0.0,0.0
43,2020-04-23,78.65,77.38,100.0,87.5,519.0,9.0,47.0,1.0,0.0,0.0,0.0
44,2020-04-24,78.65,77.38,100.0,87.5,591.0,72.0,55.0,8.0,0.0,0.0,0.0
45,2020-04-25,78.65,77.38,100.0,87.5,627.0,36.0,59.0,4.0,0.0,0.0,0.0
46,2020-04-26,78.65,77.38,100.0,87.5,627.0,0.0,59.0,0.0,0.0,0.0,0.0
47,2020-04-27,78.65,77.38,100.0,87.5,661.0,34.0,61.0,2.0,0.0,0.0,0.0
48,2020-04-28,78.65,77.38,100.0,87.5,702.0,41.0,64.0,3.0,0.0,0.0,0.0
49,2020-04-29,78.65,77.38,100.0,87.5,738.0,36.0,66.0,2.0,0.0,0.0,0.0
50,2020-04-30,78.65,77.38,100.0,87.5,771.0,33.0,71.0,5.0,0.0,0.0,0.0
51,2020-05-01,78.65,77.38,100.0,87.5,804.0,33.0,75.0,4.0,0.0,0.0,0.0
52,2020-05-02,78.65,77.38,100.0,87.5,1010.0,206.0,76.0,1.0,0.0,0.0,0.0
53,2020-05-03,78.65,77.38,100.0,87.5,1055.0,45.0,82.0,6.0,0.0,0.0,0.0
54,2020-05-04,78.65,77.38,100.0,87.5,1178.0,123.0,83.0,1.0,0.0,0.0,0.0
55,2020-05-05,78.65,77.38,100.0,87.5,1270.0,92.0,93.0,10.0,0.0,0.0,0.0
56,2020-05-06,78.65,77.38,100.0,87.5,1461.0,191.0,99.0,6.0,0.0,0.0,0.0
57,2020-05-07,78.65,77.38,100.0,87.5,1685.0,224.0,105.0,6.0,0.0,0.0,0.0
58,2020-05-08,78.65,77.38,100.0,87.5,1771.0,86.0,107.0,2.0,0.0,0.0,0.0
59,2020-05-09,78.65,77.38,100.0,87.5,1830.0,59.0,108.0,1.0,0.0,0.0,0.0
60,2020-05-10,78.65,77.38,100.0,87.5,1972.0,142.0,108.0,0.0,0.0,0.0,0.0
61,2020-05-11,78.65,77.38,100.0,87.5,2100.0,128.0,116.0,8.0,0.0,0.0,0.0
62,2020-05-12,78.65,77.38,100.0,87.5,2080.0,0.0,121.0,5.0,0.0,0.0,0.0
63,2020-05-13,78.65,77.38,100.0,87.5,2255.0,175.0,123.0,2.0,0.0,0.0,0.0
64,2020-05-14,78.65,77.38,100.0,87.5,2318.0,63.0,133.0,10.0,0.0,0.0,0.0
65,2020-05-15,78.65,77.38,100.0,87.5,2460.0,142.0,134.0,1.0,0.0,0.0,0.0
66,2020-05-16,78.65,77.38,100.0,87.5,2565.0,105.0,138.0,4.0,0.0,0.0,0.0
67,2020-05-17,78.65,77.38,100.0,87.5,2646.0,81.0,142.0,4.0,0.0,0.0,0.0
68,2020-05-18,78.65,77.38,100.0,87.5,2798.0,152.0,146.0,4.0,0.0,0.0,0.0
69,2020-05-19,78.65,77.38,100.0,87.5,2955.0,157.0,147.0,1.0,0.0,0.0,0.0
70,2020-05-20,78.65,77.38,100.0,87.5,2955.0,0.0,147.0,0.0,0.0,0.0,0.0
71,2020-05-21,83.33,82.74,100.0,87.5,3204.0,249.0,156.0,9.0,0.0,0.0,0.0
72,2020-05-22,83.33,82.74,100.0,87.5,3477.0,273.0,167.0,11.0,0.0,0.0,0.0
73,2020-05-23,83.33,82.74,100.0,87.5,3477.0,0.0,167.0,0.0,0.0,0.0,0.0
74,2020-05-24,83.33,82.74,100.0,87.5,3950.0,473.0,180.0,13.0,0.0,0.0,0.0
75,2020-05-25,83.33,82.74,100.0,87.5,4189.0,239.0,182.0,2.0,0.0,0.0,0.0
76,2020-05-26,83.33,82.74,100.0,87.5,4401.0,212.0,188.0,6.0,0.0,0.0,0.0
77,2020-05-27,83.33,82.74,100.0,87.5,4640.0,239.0,194.0,6.0,0.0,0.0,0.0
78,2020-05-28,83.33,82.74,100.0,87.5,4752.0,112.0,196.0,2.0,0.0,0.0,0.0
79,2020-05-29,83.33,82.74,100.0,87.5,4752.0,0.0,196.0,0.0,0.0,0.0,0.0
80,2020-05-30,83.33,82.74,100.0,87.5,5094.0,342.0,201.0,5.0,0.0,0.0,0.0
81,2020-05-31,83.33,82.74,100.0,87.5,5202.0,108.0,212.0,11.0,0.0,0.0,0.0
82,2020-06-01,83.33,82.74,100.0,87.5,5362.0,160.0,217.0,5.0,0.0,0.0,0.0
83,2020-06-02,83.33,82.74,100.0,87.5,5527.0,165.0,225.0,8.0,0.0,0.0,0.0
84,2020-06-03,83.33,82.74,100.0,87.5,5690.0,163.0,234.0,9.0,0.0,0.0,0.0
85,2020-06-04,83.33,82.74,100.0,87.5,5880.0,190.0,243.0,9.0,0.0,0.0,0.0
86,2020-06-05,83.33,82.74,100.0,87.5,5971.0,91.0,248.0,5.0,0.0,0.0,0.0
87,2020-06-06,83.33,82.74,100.0,87.5,6155.0,184.0,250.0,2.0,0.0,0.0,0.0
88,2020-06-07,83.33,82.74,100.0,87.5,6327.0,172.0,258.0,8.0,0.0,0.0,0.0
89,2020-06-08,81.25,80.36,96.3,87.5,6450.0,123.0,262.0,4.0,0.0,0.0,0.0
90,2020-06-09,81.25,80.36,96.3,87.5,6935.0,485.0,271.0,9.0,0.0,0.0,0.0
